season,conference,level,power,source_file,source_url,source_column
2020-21,American,D1,36.88,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2020-21,Atlantic 10,D1,33.09,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2020-21,Big Sky,D1,27.53,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2020-21,Big XII,D1,41.8,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2020-21,LSC,D2,13.24,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2020-21,Mountain West,D1,32.99,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2020-21,PAC 12,D1,41.56,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2020-21,SEC,D1,40.37,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2020-21,Sun Belt,D1,27.2,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2020-21,West Coast,D1,35.65,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2021-22,ACC,D1,41.67,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2021-22,America East,D1,26.41,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2021-22,Atlantic 10,D1,35.45,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2021-22,Big East,D1,42.2,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2021-22,Big Sky,D1,27.4,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2021-22,Big Ten,D1,43.51,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2021-22,Big West,D1,28.77,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2021-22,Big XII,D1,46.04,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2021-22,C-USA,D1,32.18,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2021-22,Colonial,D1,30.73,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2021-22,Horizon,D1,26.18,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2021-22,Ivy,D1,29.78,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2021-22,LSC,D2,17.32,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2021-22,Missouri Valley,D1,34.14,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2021-22,Northeast,D1,23.68,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2021-22,Northwest,D2,-1.72,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2021-22,Ohio Valley,D1,27.37,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2021-22,PAC 12,D1,40.79,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2021-22,PacWest,D2,12.94,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2021-22,Patriot League,D1,25.2,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2021-22,SEC,D1,43.14,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2021-22,SSC,D2,16.99,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2021-22,Southern,D1,31.55,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2021-22,Southland,D1,22.68,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2021-22,Summit League,D1,27.15,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2021-22,Sun Belt,D1,29.95,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2021-22,WAC,D1,29.25,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2021-22,West Coast,D1,36.71,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2022-23,ACC,D1,39.87,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2022-23,American,D1,38.14,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2022-23,Atlantic 10,D1,34.48,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2022-23,Big East,D1,42.46,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2022-23,Big Sky,D1,29.15,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2022-23,Big South,D1,27.12,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2022-23,Big West,D1,29.79,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2022-23,CCAA,D2,14.06,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2022-23,GAC,D2,16.46,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2022-23,MAAC,D1,27.53,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2022-23,MEAC,D1,22.52,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2022-23,Missouri Valley,D1,31.81,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2022-23,Mountain East,D2,12.53,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2022-23,Mountain West,D1,38.01,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2022-23,Ohio Valley,D1,23.43,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2022-23,PAC 12,D1,40.74,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2022-23,PacWest,D2,13.16,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2022-23,Patriot League,D1,25.82,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2022-23,RMAC,D2,15.68,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2022-23,SEC,D1,41.92,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2022-23,SIAC,D2,12.64,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2022-23,SSC,D2,16.75,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2022-23,SWAC,D1,21.82,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
