season,conference,level,power
2020-21,American,D1,
2020-21,Atlantic 10,D1,
2020-21,Big Sky,D1,
2020-21,Big XII,D1,
2020-21,Mountain West,D1,
2020-21,PAC 12,D1,
2020-21,SEC,D1,
2020-21,Sun Belt,D1,
2020-21,West Coast,D1,
2020-21,LSC,D2,
2021-22,ACC,D1,
2021-22,America East,D1,
2021-22,Atlantic 10,D1,
2021-22,Big East,D1,
2021-22,Big Sky,D1,
2021-22,Big Ten,D1,
2021-22,Big West,D1,
2021-22,Big XII,D1,
2021-22,C-USA,D1,
2021-22,Colonial,D1,
2021-22,Horizon,D1,
2021-22,Ivy,D1,
2021-22,Missouri Valley,D1,
2021-22,Northeast,D1,
2021-22,Ohio Valley,D1,
2021-22,PAC 12,D1,
2021-22,Patriot League,D1,
2021-22,SEC,D1,
2021-22,Southern,D1,
2021-22,Southland,D1,
2021-22,Summit League,D1,
2021-22,Sun Belt,D1,
2021-22,WAC,D1,
2021-22,West Coast,D1,
2021-22,LSC,D2,
2021-22,Northwest,D2,
2021-22,PacWest,D2,
2021-22,SSC,D2,
2022-23,ACC,D1,
2022-23,American,D1,
2022-23,Atlantic 10,D1,
2022-23,Big East,D1,
2022-23,Big Sky,D1,
2022-23,Big South,D1,
2022-23,Big West,D1,
2022-23,MAAC,D1,
2022-23,MEAC,D1,
2022-23,Missouri Valley,D1,
2022-23,Mountain West,D1,
2022-23,Ohio Valley,D1,
2022-23,PAC 12,D1,
2022-23,Patriot League,D1,
2022-23,SEC,D1,
2022-23,SWAC,D1,
2022-23,Southland,D1,
2022-23,WAC,D1,
2022-23,West Coast,D1,
2022-23,CCAA,D2,
2022-23,GAC,D2,
2022-23,Mountain East,D2,
2022-23,PacWest,D2,
2022-23,RMAC,D2,
2022-23,SIAC,D2,
2022-23,SSC,D2,
2022-23,Southern Cal IAC,D2,
2023-24,ACC,D1,
2023-24,ASUN,D1,
2023-24,American,D1,
2023-24,Atlantic 10,D1,
2023-24,Big East,D1,
2023-24,Big Ten,D1,
2023-24,Big West,D1,
2023-24,Big XII,D1,
2023-24,C-USA,D1,
2023-24,Colonial,D1,
2023-24,Horizon,D1,
2023-24,Ivy,D1,
2023-24,MAAC,D1,
2023-24,Missouri Valley,D1,
2023-24,Mountain West,D1,
2023-24,PAC 12,D1,
2023-24,Patriot League,D1,
2023-24,SEC,D1,
2023-24,SWAC,D1,
2023-24,Southern,D1,
2023-24,Southland,D1,
2023-24,WAC,D1,
2023-24,West Coast,D1,
2023-24,CCAA,D2,
2023-24,GAC,D2,
2023-24,GLVC,D2,
2023-24,LSC,D2,
2023-24,PacWest,D2,
2023-24,RMAC,D2,
2023-24,SSC,D2,
2023-24,United East,D2,
2024-25,ACC,D1,
2024-25,ASUN,D1,
2024-25,America East,D1,
2024-25,American,D1,
2024-25,Atlantic 10,D1,
2024-25,Big East,D1,
2024-25,Big Sky,D1,
2024-25,Big South,D1,
2024-25,Big Ten,D1,
2024-25,Big West,D1,
2024-25,Big XII,D1,
2024-25,Horizon,D1,
2024-25,MAAC,D1,
2024-25,MAC,D1,
2024-25,MEAC,D1,
2024-25,Missouri Valley,D1,
2024-25,Mountain West,D1,
2024-25,Northeast,D1,
2024-25,Ohio Valley,D1,
2024-25,Patriot League,D1,
2024-25,SEC,D1,
2024-25,SWAC,D1,
2024-25,Southland,D1,
2024-25,Summit League,D1,
2024-25,Sun Belt,D1,
2024-25,WAC,D1,
2024-25,West Coast,D1,
2024-25,CCAA,D2,
2024-25,GLVC,D2,
2024-25,PacWest,D2,
2024-25,SSC,D2,
2025-26,Big West,D1,
2025-26,West Coast,D1,
