conference,avg_power,median_power,seasons,min_power,max_power
Mountain West,36.7225,37.915,4,32.99,38.07
American,36.29,36.235,4,34.55,38.14
West Coast,35.98833333333334,36.085,6,34.66,36.74
Atlantic 10,34.62,34.66,5,33.09,35.45
Missouri Valley,33.4625,33.95,4,31.81,34.14
C-USA,32.21,32.21,2,32.18,32.24
WAC,31.04,30.89,4,29.25,33.13
Southern,30.845,30.845,2,30.14,31.55
Ivy,30.325000000000003,30.325000000000003,2,29.78,30.87
Colonial,29.935000000000002,29.935000000000002,2,29.14,30.73
Big West,29.586000000000002,29.59,5,28.77,30.41
Sun Belt,28.813333333333333,29.29,3,27.2,29.95
MAC,28.35,28.35,1,28.35,28.35
Big Sky,28.1075,27.94,4,27.4,29.15
Summit League,27.935,27.935,2,27.15,28.72
Big South,27.66,27.66,2,27.12,28.2
Horizon,27.233333333333334,27.17,3,26.18,28.35
ASUN,26.63,26.63,2,26.18,27.08
MAAC,26.44,26.62,3,25.17,27.53
America East,25.705,25.705,2,25.0,26.41
Ohio Valley,25.05,24.35,3,23.43,27.37
Patriot League,24.77,24.64,4,23.98,25.82
Southland,23.775,23.02,4,22.43,26.63
Northeast,22.365000000000002,22.365000000000002,2,21.05,23.68
MEAC,22.134999999999998,22.134999999999998,2,21.75,22.52
SWAC,21.213333333333335,21.33,3,20.49,21.82
