player_name,source_school,source_season,target_conference,source_level,source_games,college_stat_seasons_before_transfer,college_stat_seasons_source,source_url,outcome_url,needs_manual_review
E.J. Anosike,Tennessee,2020-21,Big West,D1,22,4.0,data/cache/sports_reference_d1_profile_audit/ej-anosike-1.html,https://www.sports-reference.com/cbb/schools/tennessee/men/2021.html,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2022.html,False
Hamad Mousa,Dayton,2024-25,Big West,D1,20,1.0,data/cache/sports_reference_d1_profile_audit/hamad-mousa-1.html,https://www.sports-reference.com/cbb/schools/dayton/men/2025.html,https://www.sports-reference.com/cbb/schools/cal-poly/men/2026.html,False
Dominic Brewton,Alcorn State,2022-23,Big West,D1,27,4.0,data/cache/sports_reference_d1_profile_audit/dominic-brewton-1.html,https://www.sports-reference.com/cbb/schools/alcorn-state/men/2023.html,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2024.html,False
"Larry Hughes, Jr.",Saint Louis,2024-25,Big West,D1,7,3.0,data/cache/sports_reference_d1_profile_audit/larry-hughes-jr-1.html,https://www.sports-reference.com/cbb/schools/saint-louis/men/2025.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2026.html,False
Stephan Swenson,Stetson,2023-24,Big West,D1,35,4.0,data/cache/sports_reference_d1_profile_audit/stephan-swenson-1.html,https://www.sports-reference.com/cbb/schools/stetson/men/2024.html,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2025.html,False
Aniwaniwa Tait-Jones,Hawaii–Hilo,2022-23,Big West,D2,23,3.0,data/cache/sports_reference_d2_outcome_audit/aniwaniwa-tait-jones-1.html,https://hiloathletics.com/sports/mens-basketball/stats/2022-23,https://www.sports-reference.com/cbb/players/aniwaniwa-tait-jones-1.html,False
Joel Murray,West Texas A&M,2020-21,Big West,D2,22,3.0,data/cache/sports_reference_d2_outcome_audit/joel-murray-1.html,https://gobuffsgo.com/sports/mens-basketball/stats/2020-21,https://www.sports-reference.com/cbb/players/joel-murray-1.html,False
"Marcus Adams, Jr.",Brigham Young,2023-24,Big West,D1,1,1.0,data/cache/sports_reference_d1_profile_audit/marcus-adams-jr-1.html,https://www.sports-reference.com/cbb/schools/brigham-young/men/2024.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2025.html,False
Max Jones,Tampa,2021-22,Big West,D2,21,2.0,data/cache/sports_reference_d2_outcome_audit/max-jones-2.html,https://www.tampaspartans.com/sports/mbkb/2021-22/players/maxjonesdgr9?view=career,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2023.html,False
Devin Askew,California,2023-24,Big West,D1,6,4.0,data/cache/sports_reference_d1_profile_audit/devin-askew-1.html,https://www.sports-reference.com/cbb/schools/california/men/2024.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2025.html,False
Owen Koonce,Colorado Mesa,2023-24,Big West,D2,34,4.0,data/cache/sports_reference_d2_outcome_audit/owen-koonce-1.html,https://cmumavericks.com/sports/mens-basketball/stats/2023-24,https://www.sports-reference.com/cbb/players/owen-koonce-1.html,False
Petar Majstorović,Syracuse,2024-25,Big West,D1,31,1.0,data/cache/sports_reference_d1_profile_audit/petar-majstorovic-1.html,https://www.sports-reference.com/cbb/schools/syracuse/men/2025.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2026.html,False
Hayden Gray,Azusa Pacific,2022-23,Big West,D2,30,2.0,data/cache/sports_reference_d2_outcome_audit/hayden-gray-1.html,https://athletics.apu.edu/sports/mens-basketball/stats/2022-23,https://www.sports-reference.com/cbb/players/hayden-gray-1.html,False
Joshua Ward,Palm Beach Atlantic,2024-25,Big West,D2,29,3.0,"manual_college_stat_seasons_override: https://basketball.realgm.com/player/Joshua-Ward/Summary/209945 (2022-23 Life University, 2023-24 Life University, 2024-25 Palm Beach Atlantic; then Cal State Fullerton)",https://pbasailfish.com/sports/mens-basketball/stats/2024-25,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2026.html,False
