target_conference,player_name,source_level,source_school,source_conference,source_season,first_big_west_season,source_games,source_mpg,source_ppg,source_url,outcome_url,college_stat_seasons_before_transfer,college_stat_seasons_source,class_entering_destination,sportsref_profile_slug,history_review_status,cached_profile_paths,likely_sports_reference_profile_url,resolution_status,source_roster_cache_file,roster_link_count,resolved_sports_reference_profile_url,resolved_roster_player_name,match_score,match_method,guessed_url_matches_resolved
Big West,Aleks Szymczyk,D1,Charlotte,American,2024-25,2025-26,20,4.9,1.1,https://www.sports-reference.com/cbb/schools/charlotte/men/2025.html,https://gomatadors.com/sports/mens-basketball/stats/2025-26,1.0,minimum_from_source_stats,JR,,no_profile_url_not_enough_history,,,resolved_from_cached_roster,data/cache/sports_reference_source_schools/charlotte_2025.html,19.0,https://www.sports-reference.com/cbb/players/aleksander-szymczyk-1.html,Aleksander Szymczyk,76.0,same_last_first_name_substring,False
Big West,B.J. Kolly,D1,Montana State,Big Sky,2024-25,2025-26,24,8.6,2.3,https://www.sports-reference.com/cbb/schools/montana-state/men/2025.html,https://www.sports-reference.com/cbb/schools/california-riverside/men/2026.html,1.0,minimum_from_source_stats,SR,,no_profile_url_not_enough_history,,,resolved_from_cached_roster,data/cache/sports_reference_source_schools/montana-state_2025.html,19.0,https://www.sports-reference.com/cbb/players/bj-kolly-1.html,BJ Kolly,76.0,same_last_first_name_substring,False
Big West,Ben Griscti,D1,Incarnate Word,Southland,2022-23,2023-24,31,14.5,5.2,https://www.sports-reference.com/cbb/schools/incarnate-word/men/2023.html,https://gohighlanders.com/sports/mens-basketball/stats/2023-24,1.0,minimum_from_source_stats,JR,,no_profile_url_not_enough_history,,,resolved_from_cached_roster,data/cache/sports_reference_source_schools/incarnate-word_2023.html,19.0,https://www.sports-reference.com/cbb/players/benjamin-griscti-1.html,Benjamin Griscti,76.0,same_last_first_name_substring,False
Big West,"Carl Daughtery, Jr.",D1,Central Arkansas,ASUN,2023-24,2024-25,29,19.2,9.9,https://www.sports-reference.com/cbb/schools/central-arkansas/men/2024.html,https://ucdavisaggies.com/sports/mens-basketball/stats/2024-25,1.0,minimum_from_source_stats,unknown,,no_profile_url_not_enough_history,,,resolved_from_cached_roster,data/cache/sports_reference_source_schools/central-arkansas_2024.html,20.0,https://www.sports-reference.com/cbb/players/carl-daugherty-1.html,Carl Daugherty,78.0,same_first_initial_similar_last,False
Big West,E.J. Anosike,D1,Tennessee,SEC,2020-21,2021-22,22,8.5,1.7,https://www.sports-reference.com/cbb/schools/tennessee/men/2021.html,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2022.html,1.0,minimum_from_source_stats,GR,,no_profile_url_not_enough_history,,,resolved_from_cached_roster,data/cache/sports_reference_source_schools/tennessee_2021.html,19.0,https://www.sports-reference.com/cbb/players/ej-anosike-1.html,E.J. Anosike,100.0,exact_normalized,False
Big West,Gytis Nemeikša,D1,Xavier,Big East,2023-24,2024-25,34,18.5,5.2,https://www.sports-reference.com/cbb/schools/xavier/men/2024.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2025.html,1.0,minimum_from_source_stats,GR,,no_profile_url_not_enough_history,,,resolved_from_cached_roster,data/cache/sports_reference_source_schools/xavier_2024.html,18.0,https://www.sports-reference.com/cbb/players/gytis-nemeiksa-1.html,Gytis Nemeikša,100.0,exact_normalized,False
Big West,Isaac Johnson,D1,Utah State,Mountain West,2024-25,2025-26,30,8.7,3.7,https://www.sports-reference.com/cbb/schools/utah-state/men/2025.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2026.html,1.0,minimum_from_source_stats,SR,,no_profile_url_not_enough_history,,,resolved_from_cached_roster,data/cache/sports_reference_source_schools/utah-state_2025.html,18.0,https://www.sports-reference.com/cbb/players/isaac-johnson-23.html,Isaac Johnson,100.0,exact_normalized,False
Big West,J.P. Moorman II,D1,Temple,American,2020-21,2021-22,16,26.8,7.3,https://www.sports-reference.com/cbb/schools/temple/men/2021.html,https://www.sports-reference.com/cbb/schools/california-riverside/men/2022.html,1.0,minimum_from_source_stats,GR,,no_profile_url_not_enough_history,,,resolved_from_cached_roster,data/cache/sports_reference_source_schools/temple_2021.html,17.0,https://www.sports-reference.com/cbb/players/jp-moorman-1.html,J.P. Moorman,100.0,exact_normalized,False
Big West,"John Square, Jr.",D1,Fairleigh Dickinson,Northeast,2021-22,2022-23,25,22.0,8.5,https://www.sports-reference.com/cbb/schools/fairleigh-dickinson/men/2022.html,https://fullertontitans.com/sports/mens-basketball/stats/2022-23,1.0,minimum_from_source_stats,JR,,no_profile_url_not_enough_history,,,resolved_from_cached_roster,data/cache/sports_reference_source_schools/fairleigh-dickinson_2022.html,21.0,https://www.sports-reference.com/cbb/players/john-squarejr-1.html,John Mikey Square,88.0,same_first_similar_last,False
Big West,Josh O'Garro,D1,Texas State,Sun Belt,2024-25,2025-26,32,30.1,9.6,https://www.sports-reference.com/cbb/schools/texas-state/men/2025.html,https://gomatadors.com/sports/mens-basketball/stats/2025-26,1.0,minimum_from_source_stats,GR,,no_profile_url_not_enough_history,,,resolved_from_cached_roster,data/cache/sports_reference_source_schools/texas-state_2025.html,18.0,https://www.sports-reference.com/cbb/players/josh-ogarro-1.html,Joshua O'Garro,76.0,same_last_first_name_substring,False
Big West,Lassina Traoré,D1,Saint Louis,Atlantic 10,2021-22,2022-23,19,7.8,2.4,https://www.sports-reference.com/cbb/schools/saint-louis/men/2022.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2023.html,1.0,minimum_from_source_stats,SO,,no_profile_url_not_enough_history,,,resolved_from_cached_roster,data/cache/sports_reference_source_schools/saint-louis_2022.html,18.0,https://www.sports-reference.com/cbb/players/lassina-traore-1.html,Lassina Traore,100.0,exact_normalized,False
Big West,Luka Tarlać,D1,Utah,PAC 12,2023-24,2024-25,20,5.4,0.6,https://www.sports-reference.com/cbb/schools/utah/men/2024.html,https://www.sports-reference.com/cbb/schools/cal-poly/men/2025.html,1.0,minimum_from_source_stats,JR,,no_profile_url_not_enough_history,,,resolved_from_cached_roster,data/cache/sports_reference_source_schools/utah_2024.html,18.0,https://www.sports-reference.com/cbb/players/luka-tarlac-1.html,Luka Tarlac,100.0,exact_normalized,False
Big West,"Marqui Worthy, Jr.",D1,Massachusetts,Atlantic 10,2024-25,2025-26,31,18.2,5.8,https://www.sports-reference.com/cbb/schools/massachusetts/men/2025.html,https://www.sports-reference.com/cbb/schools/california-riverside/men/2026.html,1.0,minimum_from_source_stats,JR,,no_profile_url_not_enough_history,,,resolved_from_cached_roster,data/cache/sports_reference_source_schools/massachusetts_2025.html,18.0,https://www.sports-reference.com/cbb/players/marqui-worthy-1.html,Marqui Worthy,100.0,exact_normalized,False
Big West,Matija Svetozarević,D1,Portland,West Coast,2021-22,2022-23,23,9.7,2.6,https://www.sports-reference.com/cbb/schools/portland/men/2022.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2023.html,1.0,minimum_from_source_stats,SO,,no_profile_url_not_enough_history,,,resolved_from_cached_roster,data/cache/sports_reference_source_schools/portland_2022.html,19.0,https://www.sports-reference.com/cbb/players/matija-svetozarevic-1.html,Matija Svetozarevic,100.0,exact_normalized,False
Big West,Petar Majstorović,D1,Syracuse,ACC,2024-25,2025-26,31,13.3,2.6,https://www.sports-reference.com/cbb/schools/syracuse/men/2025.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2026.html,1.0,minimum_from_source_stats,SO,,no_profile_url_not_enough_history,,,resolved_from_cached_roster,data/cache/sports_reference_source_schools/syracuse_2025.html,21.0,https://www.sports-reference.com/cbb/players/petar-majstorovic-1.html,Petar Majstorovic,100.0,exact_normalized,False
Big West,Pierre Crockrell II,D1,Pacific,West Coast,2021-22,2022-23,30,29.2,6.7,https://www.sports-reference.com/cbb/schools/pacific/men/2022.html,https://www.sports-reference.com/cbb/schools/california-irvine/men/2023.html,1.0,minimum_from_source_stats,SR,,no_profile_url_not_enough_history,,,resolved_from_cached_roster,data/cache/sports_reference_source_schools/pacific_2022.html,18.0,https://www.sports-reference.com/cbb/players/pierre-crockrellii-1.html,Pierre Crockrell,100.0,exact_normalized,False
Big West,Ronald Jessamy,D1,Tennessee State,Ohio Valley,2024-25,2025-26,26,18.7,8.9,https://www.sports-reference.com/cbb/schools/tennessee-state/men/2025.html,https://gorunners.com/sports/mens-basketball/stats/2025-26,1.0,minimum_from_source_stats,JR,,no_profile_url_not_enough_history,,,resolved_from_cached_roster,data/cache/sports_reference_source_schools/tennessee-state_2025.html,20.0,https://www.sports-reference.com/cbb/players/ron-jessamy-1.html,Ron Jessamy,76.0,same_last_first_name_substring,False
Big West,"Shay Johnson, Jr.",D1,San Diego State,Mountain West,2024-25,2025-26,15,4.4,1.1,https://www.sports-reference.com/cbb/schools/san-diego-state/men/2025.html,https://longbeachstate.com/sports/mens-basketball/stats/2025-26,1.0,minimum_from_source_stats,unknown,,no_profile_url_not_enough_history,,,resolved_from_cached_roster,data/cache/sports_reference_source_schools/san-diego-state_2025.html,19.0,https://www.sports-reference.com/cbb/players/demarshay-johnsonjr-1.html,Demarshay Johnson,76.0,same_last_first_name_substring,False
Big West,T.J. Wainwright,D1,Robert Morris,Horizon,2023-24,2024-25,27,22.6,10.0,https://www.sports-reference.com/cbb/schools/robert-morris/men/2024.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2025.html,1.0,minimum_from_source_stats,JR,,no_profile_url_not_enough_history,,,resolved_from_cached_roster,data/cache/sports_reference_source_schools/robert-morris_2024.html,19.0,https://www.sports-reference.com/cbb/players/tj-wainwright-1.html,TJ Wainwright,76.0,same_last_first_name_substring,False
Big West,"De'Undrae Perteete, Jr.",D2,Westmont,PacWest,2024-25,2025-26,29,34.758620689655174,10.551724137931034,https://athletics.westmont.edu/sports/mens-basketball/roster/de-undrae-perteete/9474,https://www.sports-reference.com/cbb/schools/california-riverside/men/2026.html,1.0,minimum_from_source_stats,JR,,no_profile_url_not_enough_history,,,no_sports_reference_source_url,,,,,,,
Big West,Emanuel Prospere II,D2,Missouri–St. Louis,GLVC,2024-25,2025-26,32,32.34375,12.625,https://umsltritons.com/sports/mens-basketball/roster/emanuel-prospere-ii/4207,https://www.sports-reference.com/cbb/schools/california-san-diego/men/2026.html,1.0,minimum_from_source_stats,GR,,no_profile_url_not_enough_history,,,no_sports_reference_source_url,,,,,,,
Big West,Joshua Ward,D2,Palm Beach Atlantic,SSC,2024-25,2025-26,29,32.13793103448276,14.96551724137931,https://pbasailfish.com/sports/mens-basketball/stats/2024-25,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2026.html,1.0,minimum_from_source_stats,GR,,no_profile_url_not_enough_history,,,no_sports_reference_source_url,,,,,,,
Big West,Max Jones,D2,Tampa,SSC,2021-22,2022-23,21,33.04761904761905,21.904761904761905,https://www.tampaspartans.com/sports/mbkb/2021-22/players/maxjonesdgr9?view=career,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2023.html,1.0,minimum_from_source_stats,GR,,no_profile_url_not_enough_history,,,no_sports_reference_source_url,,,,,,,
Big West,Rob Diaz III,D2,Cal Poly Humboldt,CCAA,2024-25,2025-26,29,32.96551724137931,16.03448275862069,https://humboldtathletics.com/sports/mens-basketball/roster/rob-diaz-iii/10223,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2026.html,1.0,minimum_from_source_stats,SR,,no_profile_url_not_enough_history,,,no_sports_reference_source_url,,,,,,,
