target_conference,player_name,source_level,source_school,source_conference,source_season,first_big_west_season,source_games,source_mpg,source_ppg,source_url,outcome_url,college_stat_seasons_before_transfer,college_stat_seasons_source,class_entering_destination,sportsref_profile_slug,history_review_status,cached_profile_paths,likely_sports_reference_profile_url
Big West,Aleks Szymczyk,D1,Charlotte,American,2024-25,2025-26,20,4.9,1.1,https://www.sports-reference.com/cbb/schools/charlotte/men/2025.html,https://gomatadors.com/sports/mens-basketball/stats/2025-26,1.0,minimum_from_source_stats,JR,,no_profile_url_not_enough_history,,
Big West,B.J. Kolly,D1,Montana State,Big Sky,2024-25,2025-26,24,8.6,2.3,https://www.sports-reference.com/cbb/schools/montana-state/men/2025.html,https://www.sports-reference.com/cbb/schools/california-riverside/men/2026.html,1.0,minimum_from_source_stats,SR,,no_profile_url_not_enough_history,,
Big West,Ben Griscti,D1,Incarnate Word,Southland,2022-23,2023-24,31,14.5,5.2,https://www.sports-reference.com/cbb/schools/incarnate-word/men/2023.html,https://gohighlanders.com/sports/mens-basketball/stats/2023-24,1.0,minimum_from_source_stats,JR,,no_profile_url_not_enough_history,,
Big West,"Carl Daughtery, Jr.",D1,Central Arkansas,ASUN,2023-24,2024-25,29,19.2,9.9,https://www.sports-reference.com/cbb/schools/central-arkansas/men/2024.html,https://ucdavisaggies.com/sports/mens-basketball/stats/2024-25,1.0,minimum_from_source_stats,unknown,,no_profile_url_not_enough_history,,
Big West,E.J. Anosike,D1,Tennessee,SEC,2020-21,2021-22,22,8.5,1.7,https://www.sports-reference.com/cbb/schools/tennessee/men/2021.html,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2022.html,1.0,minimum_from_source_stats,GR,,no_profile_url_not_enough_history,,
Big West,Gytis Nemeikša,D1,Xavier,Big East,2023-24,2024-25,34,18.5,5.2,https://www.sports-reference.com/cbb/schools/xavier/men/2024.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2025.html,1.0,minimum_from_source_stats,GR,,no_profile_url_not_enough_history,,
Big West,Isaac Johnson,D1,Utah State,Mountain West,2024-25,2025-26,30,8.7,3.7,https://www.sports-reference.com/cbb/schools/utah-state/men/2025.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2026.html,1.0,minimum_from_source_stats,SR,,no_profile_url_not_enough_history,,
Big West,J.P. Moorman II,D1,Temple,American,2020-21,2021-22,16,26.8,7.3,https://www.sports-reference.com/cbb/schools/temple/men/2021.html,https://www.sports-reference.com/cbb/schools/california-riverside/men/2022.html,1.0,minimum_from_source_stats,GR,,no_profile_url_not_enough_history,,
Big West,"John Square, Jr.",D1,Fairleigh Dickinson,Northeast,2021-22,2022-23,25,22.0,8.5,https://www.sports-reference.com/cbb/schools/fairleigh-dickinson/men/2022.html,https://fullertontitans.com/sports/mens-basketball/stats/2022-23,1.0,minimum_from_source_stats,JR,,no_profile_url_not_enough_history,,
Big West,Josh O'Garro,D1,Texas State,Sun Belt,2024-25,2025-26,32,30.1,9.6,https://www.sports-reference.com/cbb/schools/texas-state/men/2025.html,https://gomatadors.com/sports/mens-basketball/stats/2025-26,1.0,minimum_from_source_stats,GR,,no_profile_url_not_enough_history,,
