player_name,target_conference,source_level,source_school,destination_school,source_season,first_big_west_season,missing_column
J.P. Moorman II,Big West,D1,Temple,UC Riverside,2020-21,2021-22,big_west_bpr
Jacob Davison,Big West,D1,Eastern Washington,Cal Poly,2020-21,2021-22,big_west_bpr
Modestas Kancleris,Big West,D1,Creighton,Cal State Bakersfield,2021-22,2022-23,big_west_bpr
Yacine Toumi,Big West,D1,Seton Hall,Hawaii,2024-25,2025-26,big_west_bpr
Ryan Rapp,Big West,D1,Washington State,Hawaii,2021-22,2022-23,big_west_bpr
Aleks Szymczyk,Big West,D1,Charlotte,Cal State Northridge,2024-25,2025-26,big_west_bpr
Judson Martindale,Big West,D1,Pacific,Cal State Northridge,2023-24,2024-25,big_west_bpr
Lathaniel Bastian,Big West,D2,Angelo State,Cal State Fullerton,2021-22,2022-23,big_west_bpr
Miloš Vićentić,Big West,D2,McKendree,UC San Diego,2023-24,2024-25,big_west_bpr
Caleb McCarty,Big West,D1,South Carolina State,Cal State Bakersfield,2024-25,2025-26,big_west_bpr
Kieran Elliott,Big West,D2,West Texas A&M,Cal Poly,2023-24,2024-25,big_west_bpr
Jalen Cooper,Big West,D2,Palm Beach Atlantic,Cal State Fullerton,2022-23,2023-24,big_west_bpr
Ethan Menzies,Big West,D2,Colorado Mesa,Cal Poly,2023-24,2024-25,big_west_bpr
Denzel Hines,Big West,D1,Coastal Carolina,UC Riverside,2024-25,2025-26,big_west_bpr
Isaac Spears,Big West,D1,Montana State,Cal Poly,2021-22,2022-23,big_west_bpr
Dylan Godfrey,Big West,D1,Canisius,UC Riverside,2024-25,2025-26,big_west_bpr
Jerome Palm,Big West,D1,Valparaiso,Hawaii,2023-24,2024-25,big_west_bpr
Jalen Myers,Big West,D1,Norfolk State,Hawaii,2024-25,2025-26,big_west_bpr
Sydney Shipp,Big West,D2,Occidental,Cal State Fullerton,2022-23,2023-24,big_west_bpr
Festus Ndumanya,Big West,D1,Southern,Cal State Northridge,2023-24,2024-25,big_west_bpr
Derek Sangster,Big West,D1,Princeton,UC Davis,2023-24,2024-25,big_west_bpr
Chris Mitchell,Big West,D2,Cal State San Bernardino,UC Santa Barbara,2023-24,2024-25,big_west_bpr
Daniel Tobiloba,Big West,D1,South Florida,UC Riverside,2024-25,2025-26,big_west_bpr
Matija Svetozarević,Big West,D1,Portland,Hawaii,2021-22,2022-23,big_west_bpr
Efton Reid,WCC,D1,Louisiana State,Gonzaga,2021-22,2022-23,big_west_bpr
Matar Diop,WCC,D1,Nebraska,Loyola Marymount,2023-24,2024-25,big_west_bpr
MJ Amey,WCC,D1,San Jose State,Loyola Marymount,2023-24,2024-25,big_west_bpr
Nakyel Shelton,WCC,D1,Eastern Illinois,Loyola Marymount,2024-25,2025-26,big_west_bpr
Malcolm Christie,WCC,D1,Oakland,Oregon State,2024-25,2025-26,big_west_bpr
Stephen Olowoniyi,WCC,D1,Southern Indiana,Oregon State,2024-25,2025-26,big_west_bpr
Kris Keinys,WCC,D1,Minnesota,Pacific,2023-24,2024-25,big_west_bpr
Alexis Marmolejos,WCC,D1,Lamar,Pacific,2024-25,2025-26,big_west_bpr
KC Ibekwe,WCC,D1,Washington,Pacific,2024-25,2025-26,big_west_bpr
Boubacar Coulibaly,WCC,D1,Southern California,Pepperdine,2021-22,2022-23,big_west_bpr
Alonso Faure,WCC,D1,Loyola (MD),Pepperdine,2023-24,2024-25,big_west_bpr
Mike Saunders,WCC,D1,McNeese State,Pepperdine,2023-24,2024-25,big_west_bpr
Preston Phillips,WCC,D1,Evansville,Pepperdine,2022-23,2025-26,big_west_bpr
Joey St. Pierre,WCC,D1,Milwaukee,Portland,2021-22,2022-23,big_west_bpr
Wyatt Lowell,WCC,D1,Brigham Young,Portland,2020-21,2022-23,big_west_bpr
Alimamy Koroma,WCC,D1,Cal Poly,Portland,2022-23,2023-24,big_west_bpr
Yuto Yamanouchi,WCC,D1,Lamar,Portland,2022-23,2023-24,big_west_bpr
Jermaine Ballisager-Webb,WCC,D1,American,Portland,2023-24,2024-25,big_west_bpr
Mezziah Oakman,WCC,D1,UC Santa Barbara,Portland,2023-24,2024-25,big_west_bpr
Riley Parker,WCC,D1,Saint Francis (PA),Portland,2024-25,2025-26,big_west_bpr
Ashton Hardaway,WCC,D1,Memphis,Saint Mary's,2023-24,2024-25,big_west_bpr
Tony Duckett,WCC,D1,San Diego,Saint Mary's,2024-25,2025-26,big_west_bpr
Deven Dahlke,WCC,D1,Drake,San Diego,2021-22,2022-23,big_west_bpr
Jaiden Delaire,WCC,D1,Stanford,San Diego,2021-22,2022-23,big_west_bpr
Seikou Sisoho Jawara,WCC,D1,Weber State,San Diego,2021-22,2022-23,big_west_bpr
Colby Brooks,WCC,D1,Gonzaga,San Diego,2023-24,2024-25,big_west_bpr
Juan Sebastian Gorosito,WCC,D1,Ball State,San Diego,2024-25,2025-26,big_west_bpr
Toni Rocak,WCC,D1,UC San Diego,San Francisco,2021-22,2022-23,big_west_bpr
Robby Beasley,WCC,D1,UC Davis,San Francisco,2022-23,2023-24,big_west_bpr
Stefan Todorovic,WCC,D1,SMU,San Francisco,2022-23,2023-24,big_west_bpr
Jason Rivera-Torres,WCC,D1,Vanderbilt,San Francisco,2023-24,2024-25,big_west_bpr
Aidan Braccia,WCC,D1,Belmont,San Francisco,2024-25,2025-26,big_west_bpr
Carlos Marshall,WCC,D1,Tennessee State,Santa Clara,2021-22,2022-23,big_west_bpr
Aleksandar Gavalyugov,WCC,D1,Villanova,Santa Clara,2024-25,2025-26,big_west_bpr
Juan Reyna,WCC,D1,Jackson State,Santa Clara,2024-25,2025-26,big_west_bpr
Tredyn Christensen,WCC,D2,Chaminade,BYU,2021-22,2022-23,big_west_bpr
Alex Leiba,WCC,D2,Penn State Harrisburg,Pepperdine,2023-24,2024-25,big_west_bpr
Noah Jordan,WCC,D2,West Virginia State,Portland,2022-23,2023-24,big_west_bpr
Elliyas Delaire,WCC,D2,Lewis & Clark,San Diego,2021-22,2022-23,big_west_bpr
Mohamed Sylla,Mountain West,D1,Detroit Mercy,Boise State,2021-22,2022-23,big_west_bpr
Josiah Strong,Mountain West,D1,Illinois State,Colorado State,2021-22,2022-23,big_west_bpr
Javonte Johnson,Mountain West,D1,New Mexico,Colorado State,2022-23,2023-24,big_west_bpr
Nikola Djapa,Mountain West,D1,LIU,Colorado State,2023-24,2024-25,big_west_bpr
Chuks Isitua,Mountain West,D1,IUPUI,Fresno State,2021-22,2022-23,big_west_bpr
Pierre Geneste,Mountain West,D1,Louisiana Tech,Fresno State,2022-23,2023-24,big_west_bpr
David Douglas,Mountain West,D1,Green Bay,Fresno State,2023-24,2024-25,big_west_bpr
Hunter McIntosh,Mountain West,D1,Elon,Nevada,2021-22,2022-23,big_west_bpr
Tyler Powell,Mountain West,D1,Seton Hall,Nevada,2021-22,2022-23,big_west_bpr
Tylan Pope,Mountain West,D1,Tulane,Nevada,2022-23,2023-24,big_west_bpr
