target_conference,player_name,player_slug,source_school,source_school_slug,source_conference,source_level,destination_school,destination_school_slug,first_big_west_season,source_season,source_stat_source,source_url,outcome_url,source_class,source_class_context,seasons_played_before_transfer,class_entering_destination,years_in_college_entering_destination,college_stat_seasons_before_transfer,college_stat_seasons_source,height_in,weight_lbs,source_games,source_mpg,source_minutes_share,source_ppg,source_rpg,source_apg,source_spg,source_bpg,source_topg,source_fg_pct,source_fg3_pct,source_ft_pct,source_efg_pct,source_pts_per_40,source_reb_per_40,source_ast_per_40,source_stl_per_40,source_blk_per_40,source_tov_per_40,source_conf_power,destination_conf_power,conf_power_delta,source_team_power,destination_team_power,team_power_delta,source_low_minutes_flag,source_low_games_flag,position,position_bucket,height_bucket,source_role_bucket,big_west_games,big_west_games_started,big_west_mpg,big_west_minutes,big_west_minutes_share,big_west_ppg,big_west_rpg,big_west_apg,big_west_bpr,big_west_obpr,big_west_dbpr,big_west_bpr_poss,big_west_bpm,big_west_porpag,target_porpag,target_barttorvik_bpm,target_barttorvik_obpm,target_barttorvik_dbpm,production_score,impact_score,outcome_tier,big_west_bpm_percentile,projected_destination_mpg
Big West,E.J. Anosike,ej-anosike,Tennessee,tennessee,SEC,D1,Cal State Fullerton,cal-state-fullerton,2021-22,2020-21,target_conference_common_box,https://www.sports-reference.com/cbb/schools/tennessee/men/2021.html,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2022.html,SR,cached_sports_reference_school_roster,4.0,GR,5.0,4.0,data/cache/sports_reference_d1_profile_audit/ej-anosike-1.html,79.0,236.0,22,8.5,0.2125,1.7,1.9,0.3,0.4,0.0,0.2,0.342,0.0,0.6,0.342,8.0,8.941176470588236,1.411764705882353,1.8823529411764703,0.0,0.9411764705882352,40.37,28.77,-11.599999999999998,43.25,30.74,-12.510000000000002,1,0,F,forward,forward,bench,32,32,32.7,1046.4,0.8175000000000001,16.3,8.3,1.8,3.23,2.57,0.67,1662.0,3.3,4.21684,4.21684,2.45774,2.69785,-0.240118,23.19,92.31037924151696,Target-conference impact starter,80.47808764940238,32.7
Big West,Hamad Mousa,hamad-mousa,Dayton,dayton,Atlantic 10,D1,Cal Poly,cal-poly,2025-26,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/dayton/men/2025.html,https://www.sports-reference.com/cbb/schools/cal-poly/men/2026.html,FR,cached_sports_reference_school_roster,1.0,SO,2.0,1.0,data/cache/sports_reference_d1_profile_audit/hamad-mousa-1.html,80.0,190.0,20,7.6,0.19,1.3,0.5,0.4,0.2,0.0,0.6,0.304,0.077,0.688,0.326,6.842105263157895,2.6315789473684212,2.1052631578947367,1.0526315789473684,0.0,3.1578947368421053,34.66,29.37,-5.289999999999996,40.23,26.88,-13.349999999999998,1,0,G,guard,forward,bench,32,30,31.3,1001.6,0.7825,20.4,6.3,2.0,2.08,2.68,-0.6,1798.0,3.7,3.60809,3.60809,1.00368,2.42033,-1.41665,25.94,90.63373253493012,Target-conference impact starter,83.06772908366534,31.3
Big West,Dominic Brewton,dominic-brewton,Alcorn State,alcorn-state,SWAC,D1,Cal State Fullerton,cal-state-fullerton,2023-24,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/alcorn-state/men/2023.html,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2024.html,JR,cached_sports_reference_school_roster,3.0,SR,4.0,4.0,data/cache/sports_reference_d1_profile_audit/dominic-brewton-1.html,75.0,185.0,27,25.7,0.6425,12.0,3.7,1.7,1.1,0.0,1.9,0.403,0.254,0.816,0.433,18.67704280155642,5.7587548638132295,2.6459143968871595,1.7120622568093389,0.0,2.9571984435797667,21.82,29.59,7.77,24.49,28.95,4.460000000000001,0,0,G,guard,wing_guard,starter,31,28,33.1,1026.1,0.8275,17.0,4.8,2.4,0.53,-0.05,0.58,1658.0,2.0,2.64603,2.64603,0.775468,0.823526,-0.0480579,22.18,85.95808383233533,Target-conference impact starter,68.32669322709162,33.1
Big West,"Larry Hughes, Jr.",larry-hughes-jr,Saint Louis,saint-louis,Atlantic 10,D1,Cal State Northridge,cal-state-northridge,2025-26,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/saint-louis/men/2025.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2026.html,JR,cached_sports_reference_school_roster,3.0,SR,4.0,3.0,data/cache/sports_reference_d1_profile_audit/larry-hughes-jr-1.html,76.0,175.0,7,15.1,0.3775,4.7,2.1,0.7,0.1,0.3,0.4,0.4,0.346,0.0,0.55,12.450331125827814,5.562913907284768,1.8543046357615895,0.2649006622516556,0.794701986754967,1.0596026490066226,34.66,29.37,-5.289999999999996,34.99,29.25,-5.740000000000002,0,1,G,guard,wing_guard,rotation,33,33,31.5,1039.5,0.7875,17.7,2.9,0.9,1.53,1.73,-0.2,1882.0,2.2,2.64754,2.64754,0.540584,1.74717,-1.20659,20.85,85.79840319361278,Target-conference impact starter,70.3187250996016,31.5
Big West,Stephan Swenson,stephan-swenson,Stetson,stetson,ASUN,D1,UC Santa Barbara,uc-santa-barbara,2024-25,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/stetson/men/2024.html,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2025.html,SR,cached_sports_reference_school_roster,4.0,GR,5.0,4.0,data/cache/sports_reference_d1_profile_audit/stephan-swenson-1.html,74.0,195.0,35,33.3,0.8324999999999999,13.9,4.7,5.8,1.5,0.1,2.7,0.41,0.324,0.819,0.466,16.696696696696698,5.645645645645646,6.966966966966967,1.801801801801802,0.1201201201201201,3.243243243243243,27.08,30.41,3.330000000000002,28.51,32.33,3.8199999999999967,0,0,G,guard,small_guard,high_usage_role,33,33,29.8,983.4,0.745,13.4,3.7,4.4,5.0,3.3,1.7,1610.0,5.1,2.96127,2.96127,4.40489,3.87211,0.532784,19.37,88.438123752495,Target-conference impact starter,91.73306772908366,29.8
Big West,Aniwaniwa Tait-Jones,aniwaniwa-tait-jones,Hawaii–Hilo,hawaii-hilo,PacWest,D2,UC San Diego,uc-san-diego,2023-24,2022-23,target_conference_common_box,https://hiloathletics.com/sports/mens-basketball/stats/2022-23,https://www.sports-reference.com/cbb/players/aniwaniwa-tait-jones-1.html,JR,source_season_class,3.0,SR,4.0,3.0,data/cache/sports_reference_d2_outcome_audit/aniwaniwa-tait-jones-1.html,78.0,205.0,23,32.73913043478261,0.8184782608695652,17.608695652173914,9.173913043478262,3.4782608695652173,1.173913043478261,0.391304347826087,3.347826086956522,0.466,0.259,0.701,0.4773462783171521,21.51394422310757,11.208499335989378,4.249667994687915,1.4342629482071714,0.4780876494023904,4.090305444887118,13.16,29.59,16.43,12.95,30.56,17.61,0,0,W,unknown,wing_guard,high_usage_role,33,33,29.6,976.8,0.74,13.8,5.8,2.9,2.55,2.49,0.06,1590.0,3.3,3.26841,3.26841,2.55826,1.94807,0.610193,19.77,86.00299401197606,Target-conference impact starter,80.47808764940238,29.6
Big West,Joel Murray,joel-murray,West Texas A&M,west-texas-a-m,LSC,D2,Long Beach State,long-beach-state,2021-22,2020-21,target_conference_common_box,https://gobuffsgo.com/sports/mens-basketball/stats/2020-21,https://www.sports-reference.com/cbb/players/joel-murray-1.html,JR,source_season_class,3.0,SR,4.0,3.0,data/cache/sports_reference_d2_outcome_audit/joel-murray-1.html,72.0,170.0,22,35.45454545454545,0.8863636363636364,23.318181818181817,6.181818181818182,4.181818181818182,1.8636363636363635,0.0909090909090909,2.4545454545454546,0.47,0.3,0.807,0.509090909090909,26.307692307692307,6.9743589743589745,4.717948717948717,2.102564102564102,0.1025641025641025,2.7692307692307696,13.24,28.77,15.53,26.69,30.39,3.6999999999999993,0,0,G,guard,small_guard,high_usage_role,33,30,32.1,1059.3,0.8025,16.7,3.0,2.8,1.5,1.38,0.12,1814.0,1.3,3.10224,3.10224,-0.427833,0.860128,-1.28796,20.63,83.8323353293413,Target-conference impact starter,60.85657370517929,32.1
Big West,"Marcus Adams, Jr.",marcus-adams-jr,Brigham Young,brigham-young,Big XII,D1,Cal State Northridge,cal-state-northridge,2024-25,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/brigham-young/men/2024.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2025.html,FR,cached_sports_reference_school_roster,1.0,SO,2.0,1.0,data/cache/sports_reference_d1_profile_audit/marcus-adams-jr-1.html,80.0,195.0,1,8.0,0.2,2.0,2.0,1.0,0.0,0.0,0.0,0.167,0.0,0.0,0.167,10.0,10.0,5.0,0.0,0.0,0.0,44.56,30.41,-14.150000000000002,44.96,30.82,-14.14,1,1,F,forward,forward,bench,32,20,28.9,924.8,0.7224999999999999,16.1,4.9,1.5,4.1,3.16,0.94,1599.0,4.3,3.00037,3.00037,2.54161,3.11374,-0.572134,20.69,86.83133732534931,Target-conference impact starter,86.75298804780877,28.9
Big West,Max Jones,max-jones,Tampa,tampa,SSC,D2,Cal State Fullerton,cal-state-fullerton,2022-23,2021-22,target_conference_common_box,https://www.tampaspartans.com/sports/mbkb/2021-22/players/maxjonesdgr9?view=career,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2023.html,SR,source_season_class,4.0,GR,5.0,2.0,data/cache/sports_reference_d2_outcome_audit/max-jones-2.html,77.0,205.0,21,33.04761904761905,0.8261904761904763,21.904761904761905,4.476190476190476,2.7142857142857144,1.1904761904761905,0.3809523809523809,2.2857142857142856,0.445,0.325,0.853,0.5014836795252225,26.51296829971181,5.4178674351585006,3.2853025936599423,1.440922190201729,0.4610951008645532,2.766570605187319,16.99,29.79,12.8,16.83,32.66,15.829999999999998,0,0,G,guard,wing_guard,high_usage_role,32,32,31.9,1020.8,0.7975,12.5,4.0,2.2,1.8,1.54,0.26,1644.0,2.8,2.63081,2.63081,2.60501,1.70328,0.901727,16.63,85.18463073852296,Target-conference impact starter,75.89641434262948,31.9
Big West,Devin Askew,devin-askew,California,california,PAC 12,D1,Long Beach State,long-beach-state,2024-25,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/california/men/2024.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2025.html,SR,cached_sports_reference_school_roster,4.0,GR,5.0,4.0,data/cache/sports_reference_d1_profile_audit/devin-askew-1.html,77.0,195.0,6,24.3,0.6075,6.2,4.2,2.5,0.7,0.0,1.8,0.313,0.143,0.789,0.344,10.205761316872428,6.91358024691358,4.11522633744856,1.1522633744855966,0.0,2.962962962962963,41.26,30.41,-10.849999999999998,34.44,26.72,-7.719999999999999,0,1,G,guard,wing_guard,starter,32,32,36.0,1152.0,0.9,18.9,4.6,4.5,0.58,0.9,-0.33,1813.0,0.6,3.03766,3.03766,-0.782547,0.97285,-1.7554,24.539999999999996,83.2435129740519,Target-conference impact starter,53.286852589641434,36.0
