player_name,target_conference,source_level,source_school,destination_school,source_season,first_big_west_season,missing_column,candidate_status,bart_player_name,bart_team,bart_conf,bart_year,bart_porpag,bart_bpm,bart_obpm,bart_dbpm,bart_pid,source_file,team_score
Joshua Ward,Big West,D2,Palm Beach Atlantic,Cal State Fullerton,2024-25,2025-26,big_west_porpag,name_only_candidate,B.J. Edwards,SMU,ACC,2026.0,3.78562,7.71034,5.03294,2.6774,76713.0,Bart data/trank_data_2026.csv,0.0
Joshua Ward,Big West,D2,Palm Beach Atlantic,Cal State Fullerton,2024-25,2025-26,big_west_porpag,name_only_candidate,Jason Edwards,Providence,BE,2026.0,3.50652,2.15374,4.43498,-2.28124,78641.0,Bart data/trank_data_2026.csv,0.0
Joshua Ward,Big West,D2,Palm Beach Atlantic,Cal State Fullerton,2024-25,2025-26,big_west_porpag,name_only_candidate,Josh Ward,Cal St. Fullerton,BW,2026.0,2.14099,1.64966,0.93444,0.715218,133900.0,Bart data/trank_data_2026.csv,0.0
Joshua Ward,Big West,D2,Palm Beach Atlantic,Cal State Fullerton,2024-25,2025-26,big_west_porpag,name_only_candidate,Cayden Ward,Cal Poly,BW,2026.0,1.62499,-1.39649,-0.174223,-1.22226,127581.0,Bart data/trank_data_2026.csv,0.0
Joshua Ward,Big West,D2,Palm Beach Atlantic,Cal State Fullerton,2024-25,2025-26,big_west_porpag,name_only_candidate,Finley Woodward,IU Indy,Horz,2026.0,1.46342,-2.51948,-1.25461,-1.26487,133850.0,Bart data/trank_data_2026.csv,0.0
Josh O'Garro,Big West,D1,Texas State,Cal State Northridge,2024-25,2025-26,big_west_porpag,name_only_candidate,Joshua O'Garro,Cal St. Northridge,BW,2026.0,1.46583,1.22978,-0.204647,1.43443,72786.0,Bart data/trank_data_2026.csv,0.0
J.P. Moorman II,Big West,D1,Temple,UC Riverside,2020-21,2021-22,big_west_porpag,team_match_candidate,JP Moorman II,UC Riverside,BW,2022.0,1.89196,-0.106994,0.232863,-0.339857,50801.0,Bart data/trank_data_2022.csv,2.0
"John Square, Jr.",Big West,D1,Fairleigh Dickinson,Cal State Fullerton,2021-22,2022-23,big_west_porpag,name_only_candidate,John Mikey Square,Cal St. Fullerton,BW,2023.0,0.524614,2.96613,-1.66353,4.62966,73586.0,Bart data/trank_data_2023.csv,0.0
MJ Amey,WCC,D1,San Jose State,Loyola Marymount,2023-24,2024-25,big_west_porpag,team_match_candidate,Myron Amey Jr.,Loyola Marymount,WCC,2025.0,0.764377,-0.930682,-0.938772,0.00808912,75346.0,Bart data/trank_data_2025.csv,2.0
MJ Amey,WCC,D1,San Jose State,Loyola Marymount,2023-24,2024-25,big_west_porpag,name_only_candidate,Zach Lamey,Lipscomb,ASun,2025.0,0.0540824,-9.55885,-4.36276,-5.1961,79255.0,Bart data/trank_data_2025.csv,0.0
