player_name,target_conference,source_level,source_school,destination_school,source_season,first_big_west_season,source_stat_source,source_url
Tanner Christensen,Big West,D1,Utah Tech,Hawaii,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/dixie-state/men/2024.html
T.J. Wainwright,Big West,D1,Robert Morris,Long Beach State,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/robert-morris/men/2024.html
Josh O'Garro,Big West,D1,Texas State,Cal State Northridge,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/texas-state/men/2025.html
Ty Johnson,Big West,D1,Loyola Chicago,UC Davis,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/loyola-il/men/2022.html
Dailin Smith,Big West,D1,Alabama A&M,Cal State Bakersfield,2022-23,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/alabama-am/men/2023.html
Dre Bullock,Big West,D1,South Dakota,Hawaii,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/south-dakota/men/2025.html
Ronald Jessamy,Big West,D1,Tennessee State,Cal State Bakersfield,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/tennessee-state/men/2025.html
Marcus Tsohonis,Big West,D1,VCU,Long Beach State,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/virginia-commonwealth/men/2022.html
B.J. Kolly,Big West,D1,Montana State,UC Riverside,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/montana-state/men/2025.html
Derrick Michael Xzavierro,Big West,D1,GCU,Long Beach State,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/grand-canyon/men/2024.html
Donovan Oday,Big West,D1,McNeese,Cal State Fullerton,2022-23,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/mcneese-state/men/2023.html
Emmanuel Tshimanga,Big West,D1,UC Irvine,UC San Diego,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/california-irvine/men/2022.html
Kieves Turner,Big West,D1,San Diego,UC Santa Barbara,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/san-diego/men/2024.html
Isaiah Lewis,Big West,D1,Little Rock,Long Beach State,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/arkansas-little-rock/men/2025.html
A.J. George,Big West,D1,SMU,Cal State Bakersfield,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/southern-methodist/men/2025.html
Marcus Greene,Big West,D1,Houston Christian,Hawaii,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/houston-baptist/men/2024.html
Ben Griscti,Big West,D1,Incarnate Word,UC Riverside,2022-23,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/incarnate-word/men/2023.html
"Carl Daughtery, Jr.",Big West,D1,Central Arkansas,UC Davis,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/central-arkansas/men/2024.html
"Shay Johnson, Jr.",Big West,D1,San Diego State,Long Beach State,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/san-diego-state/men/2025.html
Jasman Sangha,Big West,D1,Texas A&M–Corpus Christi,Cal State Northridge,2022-23,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/texas-am-corpus-christi/men/2023.html
"John Square, Jr.",Big West,D1,Fairleigh Dickinson,Cal State Fullerton,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/fairleigh-dickinson/men/2022.html
Messiah Thompson,Big West,D1,Alabama A&M,Long Beach State,2022-23,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/alabama-am/men/2023.html
Aleks Szymczyk,Big West,D1,Charlotte,Cal State Northridge,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/charlotte/men/2025.html
Tredyn Christensen,WCC,D2,Chaminade,BYU,2021-22,2022-23,target_conference_common_box,https://goswords.com/sports/mens-basketball/stats/2021-22
Alex Leiba,WCC,D2,Penn State Harrisburg,Pepperdine,2023-24,2024-25,target_conference_common_box,https://psuharrisburgsports.com/sports/mens-basketball/stats/2023-24
Noah Jordan,WCC,D2,West Virginia State,Portland,2022-23,2023-24,target_conference_common_box,https://wvsuyellowjackets.com/sports/mens-basketball/stats/2022-23
Elliyas Delaire,WCC,D2,Lewis & Clark,San Diego,2021-22,2022-23,target_conference_common_box,https://lcpioneers.com/sports/mens-basketball/stats/2021-22
PJ Hayes,WCC,D2,Black Hills State,San Diego,2022-23,2023-24,target_conference_common_box,https://bhsuathletics.com/sports/mens-basketball/stats/2022-23
Kody Clouet,WCC,D2,Southeastern Oklahoma State,San Diego,2023-24,2024-25,target_conference_common_box,https://gosoutheastern.com/sports/mens-basketball/stats/2023-24
