target_conference,player_name,player_slug,destination_school,destination_school_slug,first_big_west_season,big_west_porpag,barttorvik_bpm,barttorvik_obpm,barttorvik_dbpm,barttorvik_url,barttorvik_player_name,barttorvik_team,match_status,source_file
Big West,E.J. Anosike,ej-anosike,Cal State Fullerton,cal-state-fullerton,2021-22,4.21684,2.45774,2.69785,-0.240118,https://barttorvik.com/playerstat.php?year=2022&p=52294,E.J. Anosike,Cal St. Fullerton,matched_player_and_team,Bart data/trank_data_2022.csv
Big West,Hamad Mousa,hamad-mousa,Cal Poly,cal-poly,2025-26,3.60809,1.00368,2.42033,-1.41665,https://barttorvik.com/playerstat.php?year=2026&p=126991,Hamad Mousa,Cal Poly,matched_player_and_team,Bart data/trank_data_2026.csv
Big West,Dominic Brewton,dominic-brewton,Cal State Fullerton,cal-state-fullerton,2023-24,2.64603,0.775468,0.823526,-0.0480579,https://barttorvik.com/playerstat.php?year=2024&p=71761,DJ Brewton,Cal St. Fullerton,matched_player_and_team,Bart data/trank_data_2024.csv
Big West,"Larry Hughes, Jr.",larry-hughes-jr,Cal State Northridge,cal-state-northridge,2025-26,2.64754,0.540584,1.74717,-1.20659,https://barttorvik.com/playerstat.php?year=2026&p=77551,Larry Hughes II,Cal St. Northridge,matched_player_and_team,Bart data/trank_data_2026.csv
Big West,Stephan Swenson,stephan-swenson,UC Santa Barbara,uc-santa-barbara,2024-25,2.96127,4.40489,3.87211,0.532784,https://barttorvik.com/playerstat.php?year=2025&p=74051,Stephan Swenson,UC Santa Barbara,matched_player_and_team,Bart data/trank_data_2025.csv
Big West,Aniwaniwa Tait-Jones,aniwaniwa-tait-jones,UC San Diego,uc-san-diego,2023-24,3.26841,2.55826,1.94807,0.610193,https://barttorvik.com/playerstat.php?year=2024&p=79100,Aniwaniwa Tait-Jones,UC San Diego,matched_player_and_team,Bart data/trank_data_2024.csv
Big West,Joel Murray,joel-murray,Long Beach State,long-beach-state,2021-22,3.10224,-0.427833,0.860128,-1.28796,https://barttorvik.com/playerstat.php?year=2022&p=75139,Joel Murray,Long Beach St.,matched_player_and_team,Bart data/trank_data_2022.csv
Big West,"Marcus Adams, Jr.",marcus-adams-jr,Cal State Northridge,cal-state-northridge,2024-25,3.00037,2.54161,3.11374,-0.572134,https://barttorvik.com/playerstat.php?year=2025&p=79160,Marcus Adams Jr.,Cal St. Northridge,matched_player_and_team,Bart data/trank_data_2025.csv
Big West,Max Jones,max-jones,Cal State Fullerton,cal-state-fullerton,2022-23,2.63081,2.60501,1.70328,0.901727,https://barttorvik.com/playerstat.php?year=2023&p=77272,Max Jones,Cal St. Fullerton,matched_player_and_team,Bart data/trank_data_2023.csv
Big West,Devin Askew,devin-askew,Long Beach State,long-beach-state,2024-25,3.03766,-0.782547,0.97285,-1.7554,https://barttorvik.com/playerstat.php?year=2025&p=72678,Devin Askew,Long Beach St.,matched_player_and_team,Bart data/trank_data_2025.csv
