season,team,team_key,level,conference_2020_21,wins,losses,win_pct,delta,rating_rank,rating,power_rank,power,offense_rank,offense,defense_rank,defense,hfa,sos_rank,sos,source_row
2025-26,Michigan,michigan,NCAA D1,,37.0,3.0,0.925,2.0,1.0,9.26,3.0,55.49,5.0,105.25,13.0,27.81,2.77,2.0,44.9,2
2025-26,Arizona,arizona,NCAA D1,,36.0,3.0,0.923,-1.0,2.0,9.26,2.0,55.89,3.0,106.69,2.0,26.78,2.81,3.0,44.36,3
2025-26,Duke,duke,NCAA D1,,35.0,3.0,0.921,-1.0,3.0,9.13,1.0,56.0,17.0,102.12,2.0,31.45,2.61,33.0,41.63,4
2025-26,Connecticut,connecticut,NCAA D1,,34.0,6.0,0.85,1.0,4.0,8.85,11.0,51.93,57.0,98.27,3.0,31.23,2.61,19.0,42.6,5
2025-26,Houston,houston,NCAA D1,,30.0,7.0,0.811,-1.0,5.0,8.84,4.0,55.28,63.0,97.8,1.0,35.05,2.88,24.0,42.16,6
2025-26,Purdue,purdue,NCAA D1,,30.0,9.0,0.769,,6.0,8.78,8.0,52.94,14.0,102.56,12.0,27.95,2.81,4.0,44.08,7
2025-26,Florida,florida,NCAA D1,,27.0,8.0,0.771,1.0,7.0,8.73,5.0,54.41,4.0,105.51,23.0,26.48,2.82,1.0,43.41,8
2025-26,Iowa St,iowa st,NCAA D1,,29.0,8.0,0.784,1.0,8.0,8.72,7.0,53.26,22.0,101.04,5.0,29.79,2.78,23.0,42.3,9
2025-26,Illinois,illinois,NCAA D1,,28.0,9.0,0.757,-2.0,9.0,8.71,6.0,53.34,7.0,104.58,24.0,26.34,2.78,9.0,43.53,10
2025-26,Gonzaga,gonzaga,NCAA D1,,31.0,4.0,0.886,,1.0,8.69,1.0,52.1,15.0,102.36,16.0,27.31,2.8,78.0,37.63,11
2025-26,St John's,st john s,NCAA D1,,30.0,7.0,0.811,,1.0,18.66,14.0,50.58,21.0,101.38,21.0,26.77,2.65,31.0,41.73,12
