season,level,rows,teams,power_missing
2020-21,NCAA D1,347,347,0
2020-21,NCAA D2,220,220,0
2020-21,NCAA D3,269,269,0
2020-21,NCCAA,1,1,0
2020-21,NCCAA I,4,4,0
2020-21,NCCAA II,1,1,0
2020-21,USCAA-1,3,3,0
2020-21,USCAA-2,1,1,0
2021-22,NCAA D1,358,358,0
2021-22,NCAA D2,295,295,0
2021-22,NCAA D3,334,334,0
2021-22,NCCAA,1,1,0
2021-22,NCCAA I,4,4,0
2021-22,NCCAA II,5,5,0
2021-22,USCAA-1,2,2,0
2021-22,USCAA-2,1,1,0
2022-23,NCAA D1,363,363,0
2022-23,NCAA D2,287,287,0
2022-23,NCAA D3,329,329,0
2022-23,NCCAA,2,2,0
2022-23,NCCAA I,4,4,0
2022-23,NCCAA II,7,7,0
2022-23,USCAA-1,4,4,0
2022-23,USCAA-2,4,4,0
2023-24,NCAA D1,362,362,0
2023-24,NCAA D2,289,289,0
2023-24,NCAA D3,330,330,0
2023-24,NCCAA,2,2,0
2023-24,NCCAA I,2,2,0
2023-24,NCCAA II,8,8,0
2023-24,USCAA-1,2,2,0
2023-24,USCAA-2,5,5,0
2024-25,NCAA D1,364,364,0
2024-25,NCAA D2,289,289,0
2024-25,NCAA D3,322,322,0
2024-25,NCCAA,2,2,0
2024-25,NCCAA I,4,4,0
2024-25,NCCAA II,10,10,0
2024-25,USCAA-1,4,4,0
2024-25,USCAA-2,5,5,0
2025-26,NCAA D1,365,365,0
2025-26,NCAA D2,288,288,0
2025-26,NCAA D3,325,325,0
2025-26,NCCAA,3,3,0
2025-26,NCCAA I,5,5,0
2025-26,NCCAA II,6,6,0
2025-26,USCAA-1,4,4,0
2025-26,USCAA-2,4,4,0
nan,,347,1,347
