player_name,target_conference,source_level,source_school,destination_school,source_season,first_big_west_season,source_stat_source,source_url,source_class,seasons_played_before_transfer,class_backfill_source,class_backfill_file,class_backfill_table,class_backfill_matched_name
E.J. Anosike,Big West,D1,Tennessee,Cal State Fullerton,2020-21,2021-22,target_conference_common_box,https://www.sports-reference.com/cbb/schools/tennessee/men/2021.html,SR,4.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/tennessee_2021.html,0,E.J. Anosike
Hamad Mousa,Big West,D1,Dayton,Cal Poly,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/dayton/men/2025.html,FR,1.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/dayton_2025.html,0,Hamad Mousa
Dominic Brewton,Big West,D1,Alcorn State,Cal State Fullerton,2022-23,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/alcorn-state/men/2023.html,JR,3.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/alcorn-state_2023.html,0,Dominic Brewton
"Larry Hughes, Jr.",Big West,D1,Saint Louis,Cal State Northridge,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/saint-louis/men/2025.html,JR,3.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/saint-louis_2025.html,0,Larry Hughes
Stephan Swenson,Big West,D1,Stetson,UC Santa Barbara,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/stetson/men/2024.html,SR,4.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/stetson_2024.html,0,Stephan Swenson
"Marcus Adams, Jr.",Big West,D1,Brigham Young,Cal State Northridge,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/brigham-young/men/2024.html,FR,1.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/brigham-young_2024.html,0,Marcus Adams
Devin Askew,Big West,D1,California,Long Beach State,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/california/men/2024.html,SR,4.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/california_2024.html,0,Devin Askew
Tom Beattie,Big West,D1,Hawaii,UC San Diego,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/hawaii/men/2025.html,SO,2.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/hawaii_2025.html,0,Tom Beattie
Justin McKoy,Big West,D1,North Carolina,Hawaii,2022-23,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/north-carolina/men/2023.html,SR,4.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/north-carolina_2023.html,0,Justin McKoy
Aidan Mahaney,Big West,D1,Connecticut,UC Santa Barbara,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/connecticut/men/2025.html,JR,3.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/connecticut_2025.html,0,Aidan Mahaney
