player_name,target_conference,source_level,source_school,destination_school,source_season,first_big_west_season,source_stat_source,source_url
E.J. Anosike,Big West,D1,Tennessee,Cal State Fullerton,2020-21,2021-22,target_conference_common_box,https://www.sports-reference.com/cbb/schools/tennessee/men/2021.html
Hamad Mousa,Big West,D1,Dayton,Cal Poly,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/dayton/men/2025.html
Dominic Brewton,Big West,D1,Alcorn State,Cal State Fullerton,2022-23,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/alcorn-state/men/2023.html
"Larry Hughes, Jr.",Big West,D1,Saint Louis,Cal State Northridge,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/saint-louis/men/2025.html
Stephan Swenson,Big West,D1,Stetson,UC Santa Barbara,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/stetson/men/2024.html
"Marcus Adams, Jr.",Big West,D1,Brigham Young,Cal State Northridge,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/brigham-young/men/2024.html
Devin Askew,Big West,D1,California,Long Beach State,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/california/men/2024.html
Tom Beattie,Big West,D1,Hawaii,UC San Diego,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/hawaii/men/2025.html
Justin McKoy,Big West,D1,North Carolina,Hawaii,2022-23,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/north-carolina/men/2023.html
Aidan Mahaney,Big West,D1,Connecticut,UC Santa Barbara,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/connecticut/men/2025.html
Miro Little,Big West,D1,Utah,UC Santa Barbara,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/utah/men/2025.html
Chris Howell,Big West,D1,Saint Mary's,UC San Diego,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/saint-marys-ca/men/2024.html
"Marqui Worthy, Jr.",Big West,D1,Massachusetts,UC Riverside,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/massachusetts/men/2025.html
Scotty Washington,Big West,D1,California Baptist,Cal State Northridge,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/california-baptist/men/2024.html
Isaac Johnson,Big West,D1,Utah State,Hawaii,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/utah-state/men/2025.html
Hunter Erickson,Big West,D1,Utah,Hawaii,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/utah/men/2025.html
