target_conference,first_target_season,destination_school,player_name,player_key,source_school,source_conference,source_level,source_season,class,position,height,weight,games,mpg,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,sports_reference_player_url,source_url,candidate_action
Missouri Valley,2024-25,Drake,Cam Manyawu,cam manyawu,Wyoming,MWC,D1,2023-24,FR,F,6-9,228,32,22.5,7.5,6.7,0.9,1.0,0.5,1.3,.607,.000,.576,.607,https://www.sports-reference.com/cbb/players/cam-manyawu-1.html,https://www.sports-reference.com/cbb/players/cam-manyawu-1.html,add_transfer_row_and_d1_source_stats
Missouri Valley,2024-25,Drake,Kael Combs,kael combs,Wyoming,MWC,D1,2023-24,FR,G,6-4,190,27,10.5,2.7,1.0,0.7,0.5,0.2,0.6,.481,.333,.600,.529,https://www.sports-reference.com/cbb/players/kael-combs-1.html,https://www.sports-reference.com/cbb/players/kael-combs-1.html,add_transfer_row_and_d1_source_stats
Missouri Valley,2025-26,Drake,Braden Appelhans,braden appelhans,New Mexico,MWC,D1,2024-25,SO,G,6-7,185,31,9.9,3.3,0.7,0.5,0.3,0.2,0.2,.405,.438,.769,.582,https://www.sports-reference.com/cbb/players/braden-appelhans-1.html,https://www.sports-reference.com/cbb/players/braden-appelhans-1.html,add_transfer_row_and_d1_source_stats
Missouri Valley,2024-25,Evansville,Tayshawn Comer,tayshawn comer,Eastern Kentucky,A-Sun,D1,2023-24,SO,G,6-1,190,31,25.5,7.8,2.5,3.0,0.8,0.1,1.8,.389,.365,.635,.459,https://www.sports-reference.com/cbb/players/tayshawn-comer-1.html,https://www.sports-reference.com/cbb/players/tayshawn-comer-1.html,add_transfer_row_and_d1_source_stats
Missouri Valley,2023-24,UIC,Isaiah Rivera,isaiah rivera,Colorado State,MWC,D1,2022-23,JR,G,6-5,209,33,28.3,8.6,3.7,1.9,1.0,0.5,0.9,.469,.379,.746,.547,https://www.sports-reference.com/cbb/players/isaiah-rivera-1.html,https://www.sports-reference.com/cbb/players/isaiah-rivera-1.html,add_transfer_row_and_d1_source_stats
Missouri Valley,2024-25,UIC,Javon Jackson,javon jackson,Utah State,MWC,D1,2023-24,SO,G,6-3,190,28,14.0,4.5,1.0,0.5,0.4,0.0,0.4,.414,.379,.808,.525,https://www.sports-reference.com/cbb/players/javon-jackson-1.html,https://www.sports-reference.com/cbb/players/javon-jackson-1.html,add_transfer_row_and_d1_source_stats
Missouri Valley,2024-25,UIC,Modestas Kancleris,modestas kancleris,Cal State Bakersfield,Big West,D1,2023-24,JR,F,6-9,195,32,21.3,6.5,6.1,1.3,0.6,0.8,1.4,.506,.400,.589,.537,https://www.sports-reference.com/cbb/players/modestas-kancleris-1.html,https://www.sports-reference.com/cbb/players/modestas-kancleris-1.html,add_transfer_row_and_d1_source_stats
Missouri Valley,2024-25,Missouri State,Dez White,dez white,Austin Peay,A-Sun,D1,2023-24,FR,G,6-2,176,35,32.1,7.9,3.1,1.0,1.0,0.1,0.6,.366,.333,.850,.494,https://www.sports-reference.com/cbb/players/dez-white-1.html,https://www.sports-reference.com/cbb/players/dez-white-1.html,add_transfer_row_and_d1_source_stats
Missouri Valley,2023-24,Murray State,Alden Applewhite,alden applewhite,Portland,WCC,D1,2022-23,FR,F,6-7,200,32,17.5,7.7,2.9,1.2,0.7,0.1,1.4,.448,.311,.709,.510,https://www.sports-reference.com/cbb/players/alden-applewhite-1.html,https://www.sports-reference.com/cbb/players/alden-applewhite-1.html,add_transfer_row_and_d1_source_stats
Missouri Valley,2025-26,Murray State,Ben Shtolzberg,ben shtolzberg,UC Santa Barbara,Big West,D1,2024-25,JR,G,6-4,200,33,13.4,3.8,1.8,1.5,0.3,0.1,0.6,.500,.200,.952,.518,https://www.sports-reference.com/cbb/players/ben-shtolzberg-1.html,https://www.sports-reference.com/cbb/players/ben-shtolzberg-1.html,add_transfer_row_and_d1_source_stats
Missouri Valley,2025-26,Murray State,Dylan Anderson,dylan anderson,Boise State,MWC,D1,2024-25,SO,F,7-0,240,24,10.1,3.5,1.7,0.8,0.2,0.1,0.7,.538,.385,.667,.577,https://www.sports-reference.com/cbb/players/dylan-anderson-1.html,https://www.sports-reference.com/cbb/players/dylan-anderson-1.html,add_transfer_row_and_d1_source_stats
Missouri Valley,2025-26,Murray State,Javon Jackson,javon jackson,Illinois–Chicago,MVC,D1,2024-25,JR,G,6-3,190,31,25.5,11.6,1.9,2.7,1.5,0.1,2.2,.382,.306,.816,.449,https://www.sports-reference.com/cbb/players/javon-jackson-1.html,https://www.sports-reference.com/cbb/players/javon-jackson-1.html,add_transfer_row_and_d1_source_stats
Missouri Valley,2024-25,Valparaiso,Jefferson De La Cruz Monegro,jefferson de la cruz monegro,Western Michigan,MAC,D1,2023-24,SO,G,6-3,205,32,31.2,8.8,3.4,3.1,0.7,0.2,1.9,.416,.320,.750,.472,https://www.sports-reference.com/cbb/players/jefferson-de-la-cruz-monegro-1.html,https://www.sports-reference.com/cbb/players/jefferson-de-la-cruz-monegro-1.html,add_transfer_row_and_d1_source_stats
