target_conference,first_target_season,destination_school,destination_school_slug,player_name,player_key,class,position,height,weight,sports_reference_player_url,roster_cache_path,previous_team_roster_status,profile_cache_status,profile_prior_season,profile_prior_school,profile_prior_conf,profile_prior_level_guess,profile_transfer_candidate,candidate_action,audit_status
Missouri Valley,2024-25,Belmont,belmont,Aidan Braccia,aidan braccia,SO,G,6-2,165,https://www.sports-reference.com/cbb/players/aidan-braccia-1.html,data/cache/sports_reference_mvc_schools/belmont_2025.html,not_on_previous_roster,cached,2023-24,Did not play - redshirt,,NO_STATS,TRUE,do_not_use_without_earlier_playable_season,possible_transfer
Missouri Valley,2024-25,Drake,drake,Cam Manyawu,cam manyawu,SO,F,6-9,228,https://www.sports-reference.com/cbb/players/cam-manyawu-1.html,data/cache/sports_reference_mvc_schools/drake_2025.html,not_on_previous_roster,cached,2023-24,Wyoming,MWC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Missouri Valley,2024-25,Drake,drake,Kael Combs,kael combs,SO,G,6-4,190,https://www.sports-reference.com/cbb/players/kael-combs-1.html,data/cache/sports_reference_mvc_schools/drake_2025.html,not_on_previous_roster,cached,2023-24,Wyoming,MWC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Missouri Valley,2025-26,Drake,drake,Braden Appelhans,braden appelhans,JR,G,6-7,185,https://www.sports-reference.com/cbb/players/braden-appelhans-1.html,data/cache/sports_reference_mvc_schools/drake_2026.html,not_on_previous_roster,cached,2024-25,New Mexico,MWC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Missouri Valley,2022-23,Evansville,evansville,Yacine Toumi,yacine toumi,JR,G,6-9,200,https://www.sports-reference.com/cbb/players/yacine-toumi-1.html,data/cache/sports_reference_mvc_schools/evansville_2023.html,not_on_previous_roster,cached,2021-22,Did not play - juco,,JUCO,TRUE,add_transfer_row_and_find_juco_source_stats,possible_transfer
Missouri Valley,2024-25,Evansville,evansville,Tayshawn Comer,tayshawn comer,JR,G,6-1,190,https://www.sports-reference.com/cbb/players/tayshawn-comer-1.html,data/cache/sports_reference_mvc_schools/evansville_2025.html,not_on_previous_roster,cached,2023-24,Eastern Kentucky,A-Sun,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Missouri Valley,2023-24,UIC,illinois-chicago,Isaiah Rivera,isaiah rivera,SR,G,6-5,209,https://www.sports-reference.com/cbb/players/isaiah-rivera-1.html,data/cache/sports_reference_mvc_schools/illinois-chicago_2024.html,not_on_previous_roster,cached,2022-23,Colorado State,MWC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Missouri Valley,2024-25,UIC,illinois-chicago,Javon Jackson,javon jackson,JR,G,6-3,190,https://www.sports-reference.com/cbb/players/javon-jackson-1.html,data/cache/sports_reference_mvc_schools/illinois-chicago_2025.html,not_on_previous_roster,cached,2023-24,Utah State,MWC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Missouri Valley,2024-25,UIC,illinois-chicago,Modestas Kancleris,modestas kancleris,SR,F,6-9,195,https://www.sports-reference.com/cbb/players/modestas-kancleris-1.html,data/cache/sports_reference_mvc_schools/illinois-chicago_2025.html,not_on_previous_roster,cached,2023-24,Cal State Bakersfield,Big West,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Missouri Valley,2022-23,Missouri State,missouri-state,Jonathan Mogbo,jonathan mogbo,JR,F,6-8,225,https://www.sports-reference.com/cbb/players/jonathan-mogbo-1.html,data/cache/sports_reference_mvc_schools/missouri-state_2023.html,not_on_previous_roster,cached,2021-22,Did not play - juco,,JUCO,TRUE,add_transfer_row_and_find_juco_source_stats,possible_transfer
