target_conference,first_target_season,destination_school,destination_school_slug,player_name,player_key,class,position,height,weight,sports_reference_player_url,roster_cache_path,previous_team_roster_status,profile_cache_status,profile_prior_season,profile_prior_school,profile_prior_conf,profile_prior_level_guess,profile_transfer_candidate,candidate_action,audit_status
Missouri Valley,2022-23,Belmont,belmont,Aidan Braccia,aidan braccia,FR,G,6-2,165,https://www.sports-reference.com/cbb/players/aidan-braccia-1.html,data/cache/sports_reference_mvc_schools/belmont_2023.html,no_previous_team_cache,cached,,,,,FALSE,,needs_prior_roster_cache
Missouri Valley,2022-23,Belmont,belmont,Ben Sheppard,ben sheppard,SR,G,6-6,185,https://www.sports-reference.com/cbb/players/ben-sheppard-1.html,data/cache/sports_reference_mvc_schools/belmont_2023.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
Missouri Valley,2022-23,Belmont,belmont,Cade Tyson,cade tyson,FR,F,6-7,200,https://www.sports-reference.com/cbb/players/cade-tyson-1.html,data/cache/sports_reference_mvc_schools/belmont_2023.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
Missouri Valley,2022-23,Belmont,belmont,Derek Sabin,derek sabin,SR,F,6-9,230,https://www.sports-reference.com/cbb/players/derek-sabin-1.html,data/cache/sports_reference_mvc_schools/belmont_2023.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
Missouri Valley,2022-23,Belmont,belmont,Drew Friberg,drew friberg,SR,F,6-6,210,https://www.sports-reference.com/cbb/players/drew-friberg-1.html,data/cache/sports_reference_mvc_schools/belmont_2023.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
Missouri Valley,2022-23,Belmont,belmont,EJ Bellinger,ej bellinger,SR,G,6-4,195,https://www.sports-reference.com/cbb/players/ej-bellinger-1.html,data/cache/sports_reference_mvc_schools/belmont_2023.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
Missouri Valley,2022-23,Belmont,belmont,Even Brauns,even brauns,JR,C,6-9,250,https://www.sports-reference.com/cbb/players/even-brauns-1.html,data/cache/sports_reference_mvc_schools/belmont_2023.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
Missouri Valley,2022-23,Belmont,belmont,Frank Jakubicek,frank jakubicek,JR,F,6-8,235,https://www.sports-reference.com/cbb/players/frank-jakubicek-1.html,data/cache/sports_reference_mvc_schools/belmont_2023.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
Missouri Valley,2022-23,Belmont,belmont,Isaiah Walker,isaiah walker,FR,G,6-5,185,https://www.sports-reference.com/cbb/players/isaiah-walker-2.html,data/cache/sports_reference_mvc_schools/belmont_2023.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
Missouri Valley,2022-23,Belmont,belmont,Ja'Kobi Gillespie,ja kobi gillespie,FR,G,6-0,175,https://www.sports-reference.com/cbb/players/jakobi-gillespie-1.html,data/cache/sports_reference_mvc_schools/belmont_2023.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
