target_conference,player_name,player_key,source_school,source_conference,source_level,destination_school,first_target_season,source_season,position,height,weight,source_games,source_mpg,source_minutes_share,source_ppg,source_rpg,source_apg,source_spg,source_bpg,source_topg,source_fg_pct,source_fg3_pct,source_ft_pct,source_efg_pct,source_pts_per_40,source_reb_per_40,source_ast_per_40,source_stl_per_40,source_blk_per_40,source_tov_per_40,target_games,target_games_started,target_mpg,target_minutes,target_minutes_share,target_ppg,target_rpg,target_apg,target_spg,target_bpg,target_topg,target_ts_pct,target_per,target_usg_pct,target_ws,target_ws_per_40,target_bpm,source_url,outcome_url
Mountain West,Chibuzo Agbo,chibuzo agbo,Texas Tech,Big 12,D1,Boise State,2022-23,2021-22,G,6-7,215,23,6.7,0.1675,1.5,1.0,0.0,0.2,0.0,0.2,0.417,0.2,0.2,0.472,8.955223880597014,5.970149253731343,0.0,1.1940298507462686,0.0,1.1940298507462686,34,33,29.5,1003.0,0.7375,11.5,4.8,0.8,0.7,0.1,1.6,0.5511886503067486,14.4,21.7,3.4,0.136,3.5,https://www.sports-reference.com/cbb/players/chibuzo-agbo-1.html,https://www.sports-reference.com/cbb/players/chibuzo-agbo-1.html
Mountain West,Mohamed Sylla,mohamed sylla,Detroit Mercy,Horizon,D1,Boise State,2022-23,2021-22,C,6-11,235,10,4.8,0.12,1.5,0.7,0.0,0.0,0.2,0.4,0.857,0.0,0.6,0.857,12.5,5.833333333333334,0.0,0.0,1.6666666666666667,3.3333333333333335,18,0,5.7,102.60000000000001,0.14250000000000002,1.8,1.2,0.0,0.0,0.3,0.3,0.5798969072164949,13.9,17.0,0.4,0.14,-2.4,https://www.sports-reference.com/cbb/players/mouhamed-sylla-1.html,https://www.sports-reference.com/cbb/players/mouhamed-sylla-1.html
Mountain West,Cam Martin,cam martin,Kansas,Big 12,D1,Boise State,2023-24,2022-23,F,6-9,230,4,2.5,0.0625,1.8,0.5,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.875,28.8,8.0,0.0,0.0,0.0,0.0,32,6,17.7,566.4,0.4425,5.3,4.4,2.4,0.6,0.2,1.6,0.5443714050944946,16.1,18.7,1.9,0.132,4.4,https://www.sports-reference.com/cbb/players/cam-martin-1.html,https://www.sports-reference.com/cbb/players/cam-martin-1.html
Mountain West,O'mar Stanley,o mar stanley,St. John's (NY),Big East,D1,Boise State,2023-24,2022-23,F,6-8,240,31,15.1,0.3775,4.7,2.7,0.4,0.4,0.8,0.6,0.649,0.455,0.556,0.675,12.450331125827814,7.152317880794702,1.0596026490066226,1.0596026490066226,2.119205298013245,1.589403973509934,33,27,26.3,867.9,0.6575,12.7,6.6,1.5,0.7,1.2,1.8,0.612934362934363,24.2,23.9,4.5,0.208,6.9,https://www.sports-reference.com/cbb/players/omar-stanley-1.html,https://www.sports-reference.com/cbb/players/omar-stanley-1.html
Mountain West,Roddie Anderson,roddie anderson,UC San Diego,Big West,D1,Boise State,2023-24,2022-23,G,6-2,190,30,31.3,0.7825,13.1,3.8,3.6,1.2,0.2,3.2,0.394,0.298,0.735,0.427,16.741214057507985,4.856230031948882,4.600638977635783,1.5335463258785942,0.25559105431309903,4.0894568690095845,33,27,26.4,871.1999999999999,0.6599999999999999,6.5,3.0,2.4,1.2,0.2,1.9,0.4331023454157783,7.4,18.3,1.1,0.049,0.4,https://www.sports-reference.com/cbb/players/roddie-anderson-iii-1.html,https://www.sports-reference.com/cbb/players/roddie-anderson-iii-1.html
Mountain West,Alvaro Cardenas,alvaro cardenas,San Jose State,MWC,D1,Boise State,2024-25,2023-24,G,6-1,180,31,35.5,0.8875,13.2,3.3,5.5,0.9,0.1,2.1,0.457,0.385,0.809,0.524,14.873239436619718,3.7183098591549295,6.197183098591549,1.0140845070422535,0.11267605633802817,2.3661971830985915,37,37,34.8,1287.6,0.8699999999999999,11.5,3.1,6.9,1.4,0.1,2.5,0.5465779467680608,16.2,19.6,4.8,0.148,5.0,https://www.sports-reference.com/cbb/players/alvaro-cardenas-1.html,https://www.sports-reference.com/cbb/players/alvaro-cardenas-1.html
Mountain West,Dominic Parolin,dominic parolin,Lehigh,Patriot,D1,Boise State,2025-26,2023-24,F,6-8,230,28,25.2,0.63,11.5,6.3,1.6,0.5,0.7,1.3,0.455,0.329,0.809,0.504,18.253968253968253,10.0,2.5396825396825395,0.7936507936507937,1.1111111111111112,2.0634920634920637,32,3,17.0,544.0,0.425,5.5,4.7,0.6,0.6,0.5,0.8,0.6138392857142857,18.8,16.1,2.2,0.162,5.2,https://www.sports-reference.com/cbb/players/dominic-parolin-1.html,https://www.sports-reference.com/cbb/players/dominic-parolin-1.html
Mountain West,Drew Fielder,drew fielder,Georgetown,Big East,D1,Boise State,2025-26,2024-25,F,6-10,216,31,23.5,0.5875,7.1,5.4,1.0,0.4,0.4,0.9,0.463,0.25,0.717,0.514,12.085106382978724,9.191489361702128,1.702127659574468,0.6808510638297872,0.6808510638297872,1.5319148936170213,32,30,23.7,758.4,0.5925,14.7,5.7,1.3,0.4,0.5,1.7,0.6463243053112908,25.8,28.6,3.8,0.199,7.9,https://www.sports-reference.com/cbb/players/drew-fielder-1.html,https://www.sports-reference.com/cbb/players/drew-fielder-1.html
Mountain West,Dylan Andrews,dylan andrews,UCLA,Big Ten,D1,Boise State,2025-26,2024-25,G,6-2,170,32,24.8,0.62,6.9,1.6,3.4,0.6,0.1,1.7,0.379,0.327,0.696,0.455,11.129032258064516,2.5806451612903225,5.483870967741935,0.9677419354838709,0.16129032258064516,2.7419354838709675,32,32,29.3,937.6,0.7325,12.5,2.5,3.2,0.7,0.1,2.1,0.5513408609738885,14.5,23.8,2.6,0.11,3.0,https://www.sports-reference.com/cbb/players/dylan-andrews-1.html,https://www.sports-reference.com/cbb/players/dylan-andrews-1.html
Mountain West,Josiah Strong,josiah strong,Illinois State,MVC,D1,Colorado State,2022-23,2021-22,G,6-3,194,33,32.6,0.8150000000000001,11.5,3.3,2.2,1.0,0.1,1.2,0.404,0.409,0.705,0.534,14.110429447852761,4.049079754601227,2.6993865030674846,1.2269938650306749,0.12269938650306748,1.4723926380368098,7,0,20.4,142.79999999999998,0.51,4.4,2.4,1.6,0.7,0.1,0.7,0.3884180790960452,6.9,17.4,0.0,0.013,-0.5,https://www.sports-reference.com/cbb/players/josiah-strong-1.html,https://www.sports-reference.com/cbb/players/josiah-strong-1.html
Mountain West,Javonte Johnson,javonte johnson,New Mexico,MWC,D1,Colorado State,2023-24,2022-23,G,6-6,190,33,26.6,0.665,5.8,3.6,0.8,0.6,0.2,0.8,0.458,0.31,0.913,0.545,8.721804511278195,5.413533834586466,1.2030075187969924,0.9022556390977443,0.3007518796992481,1.2030075187969924,19,0,6.2,117.8,0.155,1.9,0.7,0.3,0.2,0.1,0.4,0.5821078431372548,12.8,17.4,0.3,0.106,-0.3,https://www.sports-reference.com/cbb/players/javonte-johnson-1.html,https://www.sports-reference.com/cbb/players/javonte-johnson-1.html
Mountain West,Nique Clifford,nique clifford,Colorado,Pac-12,D1,Colorado State,2023-24,2022-23,G,6-5,175,35,21.8,0.545,5.9,3.9,1.5,0.7,0.6,1.7,0.374,0.288,0.532,0.423,10.825688073394495,7.155963302752293,2.7522935779816513,1.2844036697247705,1.1009174311926606,3.1192660550458715,36,36,30.3,1090.8,0.7575000000000001,12.2,7.6,3.0,1.4,0.9,1.8,0.615415657788539,21.1,20.8,4.9,0.178,8.9,https://www.sports-reference.com/cbb/players/nique-clifford-1.html,https://www.sports-reference.com/cbb/players/nique-clifford-1.html
Mountain West,Bowen Born,bowen born,Northern Iowa,MVC,D1,Colorado State,2024-25,2023-24,G,5-11,170,31,27.5,0.6875,13.3,2.5,1.8,1.0,0.0,1.2,0.376,0.32,0.883,0.452,19.345454545454544,3.6363636363636362,2.618181818181818,1.4545454545454546,0.0,1.7454545454545454,36,0,14.8,532.8000000000001,0.37,5.0,1.3,1.4,0.5,0.0,0.7,0.5323679727427598,12.4,19.6,1.6,0.118,2.3,https://www.sports-reference.com/cbb/players/bowen-born-1.html,https://www.sports-reference.com/cbb/players/bowen-born-1.html
Mountain West,Ethan Morton,ethan morton,Purdue,Big Ten,D1,Colorado State,2024-25,2023-24,G,6-6,215,37,10.0,0.25,0.6,0.9,1.1,0.4,0.2,0.3,0.235,0.211,0.571,0.294,2.4,3.6,4.4,1.6,0.8,1.2,35,9,23.5,822.5,0.5875,3.7,3.2,2.2,0.9,0.3,0.7,0.565403422982885,11.6,9.2,2.7,0.129,4.6,https://www.sports-reference.com/cbb/players/ethan-morton-1.html,https://www.sports-reference.com/cbb/players/ethan-morton-1.html
Mountain West,Jaylen Crocker-Johnson,jaylen crocker johnson,Little Rock,OVC,D1,Colorado State,2024-25,2023-24,F,6-8,230,34,23.3,0.5825,9.1,5.3,1.6,0.5,0.8,1.4,0.498,0.283,0.692,0.533,15.622317596566523,9.09871244635193,2.7467811158798283,0.8583690987124464,1.3733905579399142,2.4034334763948495,36,29,21.5,774.0,0.5375,9.0,4.4,0.8,0.3,0.8,0.9,0.6071235833783054,17.6,21.2,3.1,0.162,4.3,https://www.sports-reference.com/cbb/players/jaylen-crocker-johnson-1.html,https://www.sports-reference.com/cbb/players/jaylen-crocker-johnson-1.html
Mountain West,Keshawn Williams,keshawn williams,Northern Illinois,MAC,D1,Colorado State,2024-25,2023-24,G,6-3,175,1,14.0,0.35,6.0,1.0,0.0,0.0,0.0,1.0,0.4,0.667,0.0,0.6,17.142857142857142,2.857142857142857,0.0,0.0,0.0,2.857142857142857,36,0,13.6,489.59999999999997,0.33999999999999997,5.1,1.6,0.7,0.2,0.0,0.6,0.5859374999999999,12.9,19.8,1.3,0.105,1.3,https://www.sports-reference.com/cbb/players/keshawn-williams-1.html,https://www.sports-reference.com/cbb/players/keshawn-williams-1.html
Mountain West,Nikola Djapa,nikola djapa,LIU,NEC,D1,Colorado State,2024-25,2023-24,F,7-0,230,29,21.4,0.5349999999999999,6.1,5.6,0.4,0.6,0.6,1.3,0.568,0.286,0.585,0.583,11.401869158878505,10.46728971962617,0.7476635514018692,1.1214953271028039,1.1214953271028039,2.429906542056075,22,1,7.5,165.0,0.1875,2.4,1.5,0.3,0.1,0.1,0.6,0.7407407407407408,11.2,15.7,0.5,0.124,-1.1,https://www.sports-reference.com/cbb/players/nikola-djapa-1.html,https://www.sports-reference.com/cbb/players/nikola-djapa-1.html
Mountain West,Augustinas Kiudulas,augustinas kiudulas,VMI,Southern,D1,Colorado State,2025-26,2024-25,F,6-8,215,31,29.3,0.7325,15.2,6.3,1.6,0.9,0.5,2.2,0.439,0.303,0.81,0.484,20.75085324232082,8.600682593856655,2.1843003412969284,1.2286689419795223,0.68259385665529,3.0034129692832763,34,4,14.6,496.4,0.365,5.9,2.7,0.8,0.5,0.0,1.1,0.6352282515073213,16.9,21.4,1.6,0.132,1.7,https://www.sports-reference.com/cbb/players/augustinas-kiudulas-1.html,https://www.sports-reference.com/cbb/players/augustinas-kiudulas-1.html
