target_conference,first_target_season,destination_school,player_name,sr_season,sr_team,sr_conf,class,position,games,games_started,mpg,minutes,minutes_share,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,ts_pct,three_rate,ft_rate,per,ts_pct_advanced,usg_pct,ows,dws,ws,ws_per_40,bpm,source_url
Mountain West,2022-23,Boise State,Chibuzo Agbo,2022-23,Boise State,MWC,JR,G,34,33,29.5,1003.0,0.7375,11.5,4.8,0.8,0.7,0.1,1.6,0.397,0.402,0.813,0.503,0.5511886503067486,0.5217391304347826,0.30434782608695654,14.4,0.548,21.7,1.6,1.8,3.4,0.136,3.5,https://www.sports-reference.com/cbb/players/chibuzo-agbo-1.html
Mountain West,2022-23,Boise State,Mohamed Sylla,2022-23,Boise State,MWC,SR,C,18,0,5.7,102.60000000000001,0.14250000000000002,1.8,1.2,0.0,0.0,0.3,0.3,0.524,0.0,0.733,0.524,0.5798969072164949,0.0,0.6666666666666667,13.9,0.587,17.0,0.2,0.2,0.4,0.14,-2.4,https://www.sports-reference.com/cbb/players/mouhamed-sylla-1.html
Mountain West,2023-24,Boise State,Cam Martin,2023-24,Boise State,MWC,SR,F,32,6,17.7,566.4,0.4425,5.3,4.4,2.4,0.6,0.2,1.6,0.476,0.185,0.652,0.496,0.5443714050944946,0.20512820512820515,0.5641025641025642,16.1,0.536,18.7,0.8,1.1,1.9,0.132,4.4,https://www.sports-reference.com/cbb/players/cam-martin-1.html
Mountain West,2023-24,Boise State,O'mar Stanley,2023-24,Boise State,MWC,JR,F,33,27,26.3,867.9,0.6575,12.7,6.6,1.5,0.7,1.2,1.8,0.537,0.313,0.759,0.564,0.612934362934363,0.1744186046511628,0.46511627906976744,24.2,0.607,23.9,2.9,1.7,4.5,0.208,6.9,https://www.sports-reference.com/cbb/players/omar-stanley-1.html
Mountain West,2023-24,Boise State,Roddie Anderson,2023-24,Boise State,MWC,SO,G,33,27,26.4,871.1999999999999,0.6599999999999999,6.5,3.0,2.4,1.2,0.2,1.9,0.364,0.267,0.547,0.409,0.4331023454157783,0.338235294117647,0.23529411764705885,7.4,0.426,18.3,-0.4,1.5,1.1,0.049,0.4,https://www.sports-reference.com/cbb/players/roddie-anderson-iii-1.html
Mountain West,2024-25,Boise State,Alvaro Cardenas,2024-25,Boise State,MWC,SR,G,37,37,34.8,1287.6,0.8699999999999999,11.5,3.1,6.9,1.4,0.1,2.5,0.422,0.318,0.768,0.501,0.5465779467680608,0.5,0.32608695652173914,16.2,0.543,19.6,2.7,2.0,4.8,0.148,5.0,https://www.sports-reference.com/cbb/players/alvaro-cardenas-1.html
Mountain West,2025-26,Boise State,Dominic Parolin,2025-26,Boise State,MWC,SR,F,32,3,17.0,544.0,0.425,5.5,4.7,0.6,0.6,0.5,0.8,0.513,0.292,0.81,0.543,0.6138392857142857,0.22222222222222224,0.5555555555555556,18.8,0.607,16.1,1.3,0.9,2.2,0.162,5.2,https://www.sports-reference.com/cbb/players/dominic-parolin-1.html
Mountain West,2025-26,Boise State,Drew Fielder,2025-26,Boise State,MWC,JR,F,32,30,23.7,758.4,0.5925,14.7,5.7,1.3,0.4,0.5,1.7,0.547,0.409,0.785,0.608,0.6463243053112908,0.29896907216494845,0.3917525773195876,25.8,0.643,28.6,2.7,1.0,3.8,0.199,7.9,https://www.sports-reference.com/cbb/players/drew-fielder-1.html
Mountain West,2025-26,Boise State,Dylan Andrews,2025-26,Boise State,MWC,SR,G,32,32,29.3,937.6,0.7325,12.5,2.5,3.2,0.7,0.1,2.1,0.38,0.313,0.887,0.457,0.5513408609738885,0.4893617021276595,0.46808510638297873,14.5,0.544,23.8,1.6,0.9,2.6,0.11,3.0,https://www.sports-reference.com/cbb/players/dylan-andrews-1.html
Mountain West,2022-23,Colorado State,Josiah Strong,2022-23,Colorado State,MWC,SR,G,7,0,20.4,142.79999999999998,0.51,4.4,2.4,1.6,0.7,0.1,0.7,0.263,0.276,0.75,0.368,0.3884180790960452,0.7592592592592592,0.1111111111111111,6.9,0.388,17.4,-0.1,0.1,0.0,0.013,-0.5,https://www.sports-reference.com/cbb/players/josiah-strong-1.html
