target_conference,first_target_season,destination_school,player_name,player_key,source_school,source_conference,source_level,source_season,class,position,height,weight,games,mpg,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,sports_reference_player_url,source_url,candidate_action
Mountain West,2022-23,Boise State,Chibuzo Agbo,chibuzo agbo,Texas Tech,Big 12,D1,2021-22,SO,G,6-7,215,23,6.7,1.5,1.0,0.0,0.2,0.0,0.2,.417,.200,.200,.472,https://www.sports-reference.com/cbb/players/chibuzo-agbo-1.html,https://www.sports-reference.com/cbb/players/chibuzo-agbo-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2022-23,Boise State,Mohamed Sylla,mohamed sylla,Detroit Mercy,Horizon,D1,2021-22,JR,C,6-11,235,10,4.8,1.5,0.7,0.0,0.0,0.2,0.4,.857,,.600,.857,https://www.sports-reference.com/cbb/players/mouhamed-sylla-1.html,https://www.sports-reference.com/cbb/players/mouhamed-sylla-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2023-24,Boise State,Cam Martin,cam martin,Kansas,Big 12,D1,2022-23,SR,F,6-9,230,4,2.5,1.8,0.5,0.0,0.0,0.0,0.0,.750,1.000,,.875,https://www.sports-reference.com/cbb/players/cam-martin-1.html,https://www.sports-reference.com/cbb/players/cam-martin-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2023-24,Boise State,O'mar Stanley,o mar stanley,St. John's (NY),Big East,D1,2022-23,SO,F,6-8,240,31,15.1,4.7,2.7,0.4,0.4,0.8,0.6,.649,.455,.556,.675,https://www.sports-reference.com/cbb/players/omar-stanley-1.html,https://www.sports-reference.com/cbb/players/omar-stanley-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2023-24,Boise State,Roddie Anderson,roddie anderson,UC San Diego,Big West,D1,2022-23,FR,G,6-2,190,30,31.3,13.1,3.8,3.6,1.2,0.2,3.2,.394,.298,.735,.427,https://www.sports-reference.com/cbb/players/roddie-anderson-iii-1.html,https://www.sports-reference.com/cbb/players/roddie-anderson-iii-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2024-25,Boise State,Alvaro Cardenas,alvaro cardenas,San Jose State,MWC,D1,2023-24,JR,G,6-1,180,31,35.5,13.2,3.3,5.5,0.9,0.1,2.1,.457,.385,.809,.524,https://www.sports-reference.com/cbb/players/alvaro-cardenas-1.html,https://www.sports-reference.com/cbb/players/alvaro-cardenas-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2025-26,Boise State,Dominic Parolin,dominic parolin,Lehigh,Patriot,D1,2023-24,SR,F,6-8,230,28,25.2,11.5,6.3,1.6,0.5,0.7,1.3,.455,.329,.809,.504,https://www.sports-reference.com/cbb/players/dominic-parolin-1.html,https://www.sports-reference.com/cbb/players/dominic-parolin-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2025-26,Boise State,Drew Fielder,drew fielder,Georgetown,Big East,D1,2024-25,SO,F,6-10,216,31,23.5,7.1,5.4,1.0,0.4,0.4,0.9,.463,.250,.717,.514,https://www.sports-reference.com/cbb/players/drew-fielder-1.html,https://www.sports-reference.com/cbb/players/drew-fielder-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2025-26,Boise State,Dylan Andrews,dylan andrews,UCLA,Big Ten,D1,2024-25,JR,G,6-2,170,32,24.8,6.9,1.6,3.4,0.6,0.1,1.7,.379,.327,.696,.455,https://www.sports-reference.com/cbb/players/dylan-andrews-1.html,https://www.sports-reference.com/cbb/players/dylan-andrews-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2022-23,Colorado State,Josiah Strong,josiah strong,Illinois State,MVC,D1,2021-22,JR,G,6-3,194,33,32.6,11.5,3.3,2.2,1.0,0.1,1.2,.404,.409,.705,.534,https://www.sports-reference.com/cbb/players/josiah-strong-1.html,https://www.sports-reference.com/cbb/players/josiah-strong-1.html,add_transfer_row_and_d1_source_stats
