target_conference,first_target_season,destination_school,destination_school_slug,player_name,player_key,class,position,height,weight,sports_reference_player_url,roster_cache_path,previous_team_roster_status,profile_cache_status,profile_prior_season,profile_prior_school,profile_prior_conf,profile_prior_level_guess,profile_transfer_candidate,candidate_action,audit_status
Mountain West,2022-23,Air Force,air-force,Beau Becker,beau becker,SO,F,6-7,205,https://www.sports-reference.com/cbb/players/beau-becker-1.html,data/cache/sports_reference_mwc_schools/air-force_2023.html,not_on_previous_roster,cached,2021-22,Did not play - dnp,,NO_STATS,TRUE,do_not_use_without_earlier_playable_season,possible_transfer
Mountain West,2022-23,Air Force,air-force,Chase Beasley,chase beasley,SO,F,6-7,190,https://www.sports-reference.com/cbb/players/chase-beasley-1.html,data/cache/sports_reference_mwc_schools/air-force_2023.html,not_on_previous_roster,cached,2021-22,Did not play - dnp,,NO_STATS,TRUE,do_not_use_without_earlier_playable_season,possible_transfer
Mountain West,2022-23,Air Force,air-force,Kaleb Lichau,kaleb lichau,SO,F,6-9,200,https://www.sports-reference.com/cbb/players/kaleb-lichau-1.html,data/cache/sports_reference_mwc_schools/air-force_2023.html,not_on_previous_roster,cached,2021-22,Did not play - dnp,,NO_STATS,TRUE,do_not_use_without_earlier_playable_season,possible_transfer
Mountain West,2024-25,Air Force,air-force,Josh Gatete,josh gatete,SO,F,6-9,190,https://www.sports-reference.com/cbb/players/josh-gatete-1.html,data/cache/sports_reference_mwc_schools/air-force_2025.html,not_on_previous_roster,cached,2023-24,Did not play - dnp,,NO_STATS,TRUE,do_not_use_without_earlier_playable_season,possible_transfer
Mountain West,2024-25,Air Force,air-force,Sam Akinrelere,sam akinrelere,SO,G,6-2,228,https://www.sports-reference.com/cbb/players/sam-akinrelere-1.html,data/cache/sports_reference_mwc_schools/air-force_2025.html,not_on_previous_roster,cached,2023-24,Did not play - dnp,,NO_STATS,TRUE,do_not_use_without_earlier_playable_season,possible_transfer
Mountain West,2022-23,Boise State,boise-state,Burke Smith,burke smith,SO,F,6-11,212,https://www.sports-reference.com/cbb/players/burke-smith-1.html,data/cache/sports_reference_mwc_schools/boise-state_2023.html,not_on_previous_roster,cached,2021-22,Did not play - redshirt,,NO_STATS,TRUE,do_not_use_without_earlier_playable_season,possible_transfer
Mountain West,2022-23,Boise State,boise-state,Chibuzo Agbo,chibuzo agbo,JR,G,6-7,215,https://www.sports-reference.com/cbb/players/chibuzo-agbo-1.html,data/cache/sports_reference_mwc_schools/boise-state_2023.html,not_on_previous_roster,cached,2021-22,Texas Tech,Big 12,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Mountain West,2022-23,Boise State,boise-state,Kobe Young,kobe young,FR,G,6-6,204,https://www.sports-reference.com/cbb/players/kobe-young-1.html,data/cache/sports_reference_mwc_schools/boise-state_2023.html,not_on_previous_roster,cached,2021-22,Did not play - redshirt,,NO_STATS,TRUE,do_not_use_without_earlier_playable_season,possible_transfer
Mountain West,2022-23,Boise State,boise-state,Mohamed Sylla,mohamed sylla,SR,C,6-11,235,https://www.sports-reference.com/cbb/players/mouhamed-sylla-1.html,data/cache/sports_reference_mwc_schools/boise-state_2023.html,not_on_previous_roster,cached,2021-22,Detroit Mercy,Horizon,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Mountain West,2023-24,Boise State,boise-state,Cam Martin,cam martin,SR,F,6-9,230,https://www.sports-reference.com/cbb/players/cam-martin-1.html,data/cache/sports_reference_mwc_schools/boise-state_2024.html,not_on_previous_roster,cached,2022-23,Kansas,Big 12,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
