target_conference,first_target_season,destination_school,player_name,source_school_or_label,source_level,source_season,sports_reference_player_url,candidate_action,needed
Mountain West,2022-23,Air Force,Beau Becker,Did not play - dnp,NO_STATS,2021-22,https://www.sports-reference.com/cbb/players/beau-becker-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2022-23,Air Force,Chase Beasley,Did not play - dnp,NO_STATS,2021-22,https://www.sports-reference.com/cbb/players/chase-beasley-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2022-23,Air Force,Kaleb Lichau,Did not play - dnp,NO_STATS,2021-22,https://www.sports-reference.com/cbb/players/kaleb-lichau-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2024-25,Air Force,Josh Gatete,Did not play - dnp,NO_STATS,2023-24,https://www.sports-reference.com/cbb/players/josh-gatete-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2024-25,Air Force,Sam Akinrelere,Did not play - dnp,NO_STATS,2023-24,https://www.sports-reference.com/cbb/players/sam-akinrelere-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2022-23,Boise State,Burke Smith,Did not play - redshirt,NO_STATS,2021-22,https://www.sports-reference.com/cbb/players/burke-smith-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2022-23,Boise State,Kobe Young,Did not play - redshirt,NO_STATS,2021-22,https://www.sports-reference.com/cbb/players/kobe-young-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2023-24,Boise State,Kade Rice,Did not play - redshirt,NO_STATS,2022-23,https://www.sports-reference.com/cbb/players/kade-rice-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2023-24,Boise State,RJ Keene,Did not play - redshirt,NO_STATS,2022-23,https://www.sports-reference.com/cbb/players/rj-keene-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2023-24,Boise State,Vince Barringer,Did not play - redshirt,NO_STATS,2022-23,https://www.sports-reference.com/cbb/players/vince-barringer-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
Mountain West,2024-25,Boise State,Brennan Ramirez,Did not play - manager,,2023-24,https://www.sports-reference.com/cbb/players/brennan-ramirez-1.html,manual_review_prior_school,manual review prior school/level
Mountain West,2024-25,Boise State,Dylan Anderson,Did not play - redshirt,NO_STATS,2023-24,https://www.sports-reference.com/cbb/players/dylan-anderson-1.html,do_not_use_without_earlier_playable_season,exclude or check earlier playable season before adding
