target_conference,first_target_season,destination_school,destination_school_slug,player_name,player_key,class,position,height,weight,sports_reference_player_url,roster_cache_path,previous_team_roster_status,profile_cache_status,profile_prior_season,profile_prior_school,profile_prior_conf,profile_prior_level_guess,profile_transfer_candidate,candidate_action,audit_status
Mountain West,2021-22,Air Force,air-force,A.J. Walker,a j walker,SR,G,6-2,191,https://www.sports-reference.com/cbb/players/aj-walker-1.html,data/cache/sports_reference_mwc_schools/air-force_2022.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
Mountain West,2021-22,Air Force,air-force,Abe Kinrade,abe kinrade,SR,F,6-7,200,https://www.sports-reference.com/cbb/players/abe-kinrade-1.html,data/cache/sports_reference_mwc_schools/air-force_2022.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
Mountain West,2021-22,Air Force,air-force,Byron Brown,byron brown,FR,G,6-4,205,https://www.sports-reference.com/cbb/players/byron-brown-2.html,data/cache/sports_reference_mwc_schools/air-force_2022.html,no_previous_team_cache,cached,,,,,FALSE,,needs_prior_roster_cache
Mountain West,2021-22,Air Force,air-force,Camden Vander Zwaag,camden vander zwaag,JR,G,6-4,200,https://www.sports-reference.com/cbb/players/camden-vanderzwaag-1.html,data/cache/sports_reference_mwc_schools/air-force_2022.html,no_previous_team_cache,cached,2020-21,Air Force,MWC,D1,FALSE,,needs_prior_roster_cache
Mountain West,2021-22,Air Force,air-force,Carter Murphy,carter murphy,JR,G,6-4,190,https://www.sports-reference.com/cbb/players/carter-murphy-1.html,data/cache/sports_reference_mwc_schools/air-force_2022.html,no_previous_team_cache,cached,2020-21,Air Force,MWC,D1,FALSE,,needs_prior_roster_cache
Mountain West,2021-22,Air Force,air-force,Ethan Taylor,ethan taylor,FR,G,6-5,190,https://www.sports-reference.com/cbb/players/ethan-taylor-1.html,data/cache/sports_reference_mwc_schools/air-force_2022.html,no_previous_team_cache,cached,,,,,FALSE,,needs_prior_roster_cache
Mountain West,2021-22,Air Force,air-force,Ezra McKenna,ezra mckenna,FR,F,6-8,215,https://www.sports-reference.com/cbb/players/ezra-mckenna-1.html,data/cache/sports_reference_mwc_schools/air-force_2022.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
Mountain West,2021-22,Air Force,air-force,Jake Heidbreder,jake heidbreder,FR,G,6-5,180,https://www.sports-reference.com/cbb/players/jake-heidbreder-1.html,data/cache/sports_reference_mwc_schools/air-force_2022.html,no_previous_team_cache,cached,,,,,FALSE,,needs_prior_roster_cache
Mountain West,2021-22,Air Force,air-force,Jake Murphy,jake murphy,FR,G,6-4,200,https://www.sports-reference.com/cbb/players/jake-murphy-1.html,data/cache/sports_reference_mwc_schools/air-force_2022.html,no_previous_team_cache,cached,,,,,FALSE,,needs_prior_roster_cache
Mountain West,2021-22,Air Force,air-force,Jeffrey Mills,jeffrey mills,FR,G,6-4,195,https://www.sports-reference.com/cbb/players/jeffrey-mills-1.html,data/cache/sports_reference_mwc_schools/air-force_2022.html,no_previous_team_cache,cached,,,,,FALSE,,needs_prior_roster_cache
Mountain West,2021-22,Air Force,air-force,Joe Octave,joe octave,SO,G,6-4,207,https://www.sports-reference.com/cbb/players/joseph-octave-1.html,data/cache/sports_reference_mwc_schools/air-force_2022.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
Mountain West,2021-22,Air Force,air-force,Kyle Brown,kyle brown,SO,G,6-2,185,https://www.sports-reference.com/cbb/players/kyle-brown-4.html,data/cache/sports_reference_mwc_schools/air-force_2022.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
Mountain West,2021-22,Air Force,air-force,Lucas Moerman,lucas moerman,FR,G,6-10,205,https://www.sports-reference.com/cbb/players/lucas-moerman-1.html,data/cache/sports_reference_mwc_schools/air-force_2022.html,no_previous_team_cache,cached,,,,,FALSE,,needs_prior_roster_cache
Mountain West,2021-22,Air Force,air-force,Nikc Jackson,nikc jackson,JR,F,6-8,195,https://www.sports-reference.com/cbb/players/nikc-jackson-1.html,data/cache/sports_reference_mwc_schools/air-force_2022.html,no_previous_team_cache,cached,2020-21,Air Force,MWC,D1,FALSE,,needs_prior_roster_cache
Mountain West,2021-22,Air Force,air-force,Ryan Corner,ryan corner,FR,C,6-11,210,https://www.sports-reference.com/cbb/players/ryan-corner-1.html,data/cache/sports_reference_mwc_schools/air-force_2022.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
Mountain West,2022-23,Air Force,air-force,Beau Becker,beau becker,SO,F,6-7,205,https://www.sports-reference.com/cbb/players/beau-becker-1.html,data/cache/sports_reference_mwc_schools/air-force_2023.html,not_on_previous_roster,cached,2021-22,Did not play - dnp,,NO_STATS,TRUE,do_not_use_without_earlier_playable_season,possible_transfer
Mountain West,2022-23,Air Force,air-force,Byron Brown,byron brown,SO,G,6-4,205,https://www.sports-reference.com/cbb/players/byron-brown-2.html,data/cache/sports_reference_mwc_schools/air-force_2023.html,returning_same_roster,cached,2021-22,Air Force,MWC,D1,FALSE,,returning_or_freshman
