player_name,d2_school,d1_school,first_d1_season,sr_season,sr_team,sr_conf,class,position,games,games_started,mpg,minutes,minutes_share,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,ts_pct,three_rate,ft_rate,per,ts_pct_advanced,usg_pct,ows,dws,ws,ws_per_40,bpm,source_url
Guzmán Vasilić,Southeastern Oklahoma State,Cal Poly,2024-25,2024-25,Cal Poly,Big West,FR,G,30,9,17.6,528.0,0.44000000000000006,5.2,2.3,0.7,0.2,0.1,1.1,0.437,0.356,0.737,0.56,0.5824372759856631,0.6904761904761905,0.14285714285714285,8.4,0.574,15.1,0.3,0.3,0.5,0.04,-3.3,https://www.sports-reference.com/cbb/players/guzman-vasilic-1.html
Kieran Elliott,West Texas A&M,Cal Poly,2024-25,2024-25,Cal Poly,Big West,SO,G,11,2,15.0,165.0,0.375,5.4,3.7,0.5,0.3,0.0,1.4,0.49,0.167,0.588,0.5,0.5232558139534884,0.1111111111111111,0.3333333333333333,10.6,0.517,20.6,0.0,0.1,0.2,0.038,-5.5,https://www.sports-reference.com/cbb/players/kieran-elliott-1.html
Ethan Menzies,Colorado Mesa,Cal Poly,2024-25,2024-25,Cal Poly,Big West,SR,F,26,5,9.7,252.2,0.2425,2.4,1.5,0.7,0.3,0.1,0.8,0.463,0.318,0.625,0.528,0.5376344086021505,0.38095238095238093,0.14285714285714285,7.9,0.536,14.7,0.0,0.2,0.2,0.03,-3.0,https://www.sports-reference.com/cbb/players/ethan-menzies-1.html
Owen Koonce,Colorado Mesa,Cal Poly,2024-25,2024-25,Cal Poly,Big West,SR,G,35,35,30.1,1053.5,0.7525000000000001,16.9,4.8,1.8,1.1,0.5,2.6,0.517,0.404,0.881,0.6,0.6419021573989667,0.4152542372881356,0.2627118644067796,19.8,0.637,24.9,2.6,1.0,3.6,0.135,2.0,https://www.sports-reference.com/cbb/players/owen-koonce-1.html
Isaac Jessup,Colorado Mesa,Cal Poly,2024-25,2024-25,Cal Poly,Big West,SR,G,31,31,30.6,948.6,0.765,11.7,3.5,2.6,1.5,0.1,1.3,0.456,0.428,0.76,0.631,0.6392045454545453,0.8181818181818181,0.09090909090909091,15.9,0.638,16.1,2.2,0.8,3.0,0.127,3.0,https://www.sports-reference.com/cbb/players/isaac-jessup-1.html
Mac Riniker,Colorado Mesa,Cal Poly,2024-25,2024-25,Cal Poly,Big West,SR,G,35,35,24.8,868.0,0.62,9.4,4.6,2.5,1.5,0.6,2.7,0.523,0.342,0.622,0.579,0.6016385048643114,0.338235294117647,0.338235294117647,14.3,0.59,20.2,0.7,1.1,1.9,0.087,-1.0,https://www.sports-reference.com/cbb/players/mac-riniker-1.html
Max Jones,Tampa,Cal State Fullerton,2022-23,2022-23,Cal State Fullerton,Big West,,G,32,32,31.9,1020.8,0.7975,12.5,4.0,2.2,0.9,0.3,2.1,0.444,0.395,0.785,0.502,0.5657132512671976,0.29347826086956524,0.4565217391304348,16.8,0.56,22.3,2.0,1.7,3.7,0.144,2.8,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2023.html
Beril Kabamba,Spring Hill,Cal State Fullerton,2023-24,2023-24,Cal State Fullerton,Big West,JR,F,29,7,17.1,495.90000000000003,0.42750000000000005,3.6,3.5,0.8,0.4,0.1,1.3,0.381,0.192,0.686,0.411,0.4875406283856988,0.3103448275862069,0.6206896551724138,7.5,0.48,15.7,-0.2,0.7,0.5,0.04,-4.7,https://www.sports-reference.com/cbb/players/beril-kabamba-1.html
Jalen Cooper,Palm Beach Atlantic,Cal State Fullerton,2023-24,2023-24,Cal State Fullerton,Big West,JR,G,20,4,13.6,272.0,0.33999999999999997,3.4,3.1,0.6,0.4,0.2,1.0,0.509,0.4,0.438,0.566,0.5570117955439056,0.2962962962962963,0.2962962962962963,11.3,0.553,15.7,0.0,0.4,0.5,0.072,-4.4,https://www.sports-reference.com/cbb/players/jalen-cooper-1.html
Zion Richardson,Quincy,Cal State Fullerton,2024-25,2024-25,Cal State Fullerton,Big West,SR,G,21,4,18.1,380.1,0.4525,7.6,3.3,0.9,0.6,0.0,1.1,0.439,0.343,0.837,0.551,0.6217277486910995,0.6470588235294118,0.45098039215686275,16.7,0.61,20.6,0.8,0.3,1.1,0.11,1.0,https://www.sports-reference.com/cbb/players/zion-richardson-1.html
