feature,label,corr_impact,corr_bpm,corr_minutes,corr_ws,importance,direction
stlPer40,D2 steals per 40,0.4843118130872442,0.3828043880255335,0.4624965361186516,0.4226355809369619,0.454570413314585,positive
heightIn,D2 height,-0.43810659601591917,-0.42875366236532736,-0.4549160207886455,-0.2656064951879127,0.4215074129189092,negative
astPer40,D2 assists per 40,0.380866516117474,0.3982158424423761,0.2732505350361483,0.39848225321283703,0.36995555792979196,positive
rebPer40,D2 rebounds per 40,-0.37259960355923966,-0.40483359259018287,-0.4035156453801768,-0.16669566579386305,0.36309341386203126,negative
threePaRate,D2 3PA/FGA,0.37018050696568816,0.3502024216329703,0.46036368189106464,0.1911618076259681,0.36181049620397904,positive
tsPct,D2 true shooting,-0.31943340048671703,-0.2957775991191851,-0.34792569687669894,-0.323082772180813,0.31934102184111757,negative
blkPer40,D2 blocks per 40,-0.3210061098145624,-0.32222742349097483,-0.36392664172256767,-0.23354539825133544,0.318942381179723,negative
usagePct,D2 usage proxy,0.31216701235272787,0.14868208290127263,0.30105095691196115,0.30820908826433885,0.27740682573748293,positive
minutesPct,D2 minutes share,0.28630768244929394,0.2160636656183081,0.3418818172578657,0.23219628927758104,0.27518385998721123,positive
ftRate,D2 FTA/FGA,-0.2314026867232399,-0.2552051120303488,-0.2564407213868768,-0.09089601728844061,0.2258682100407273,negative
ptsPer40,D2 scoring per 40,0.21689255294879375,0.048583852134266345,0.2078467706791314,0.20268168517151366,0.18045285866771088,positive
age,D2 class age proxy,0.09184637103896036,0.18536667527353995,0.024715830613094614,0.01354552282457714,0.09265076600055809,positive
threePct,D2 3P%,-0.045084706479340646,-0.10221333155037195,0.052011225709414036,-0.2171229950765923,0.07475323823778308,negative
tovPer40,D2 turnovers per 40,0.06075303333818209,-0.02132708158740005,0.02762484921994952,0.08437535790314867,0.050260847826787455,positive
