player_name,d2_school,d2_conference,d2_season,d1_school,first_d1_season,position,heightIn,age,minutesPct,usagePct,ptsPer40,tsPct,astPer40,tovPer40,rebPer40,stlPer40,blkPer40,threePaRate,threePct,ftRate,d1_games,d1_games_started,d1_mpg,d1_minutes,d1_minutes_share,d1_ppg,d1_rpg,d1_apg,d1_spg,d1_bpg,d1_topg,d1_ts_pct,d1_per,d1_usg_pct,d1_ws,d1_ws_per_40,d1_bpm,production_score,impact_score,outcome_tier,d2_source_url,d1_source_url
Max Jones,Tampa,SSC,2021-22,Cal State Fullerton,2022-23,G,77.0,21.8,82.61904761904762,64.54178674351584,26.512968299711815,0.5751150230046009,3.2853025936599423,2.76657060518732,5.417867435158501,1.440922190201729,0.4610951008645533,0.34718100890207715,0.325,0.42433234421364985,32,32,31.9,1020.8,0.7975,12.5,4.0,2.2,0.9,0.3,2.1,0.5657132512671976,16.8,22.3,3.7,0.144,2.8,16.63,85.74074074074073,D1 impact starter,https://www.tampaspartans.com/sports/mbkb/2021-22/players/maxjonesdgr9?view=career,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2023.html
Aniwaniwa Tait-Jones,Hawaii-Hilo,PacWest,2022-23,UC San Diego,2023-24,W,78.0,20.8,81.84782608695652,60.43559096945551,21.51394422310757,0.53560093101989,4.249667994687915,4.090305444887118,11.208499335989377,1.4342629482071714,0.47808764940239046,0.08737864077669903,0.259,0.5080906148867314,33,33,29.6,976.8000000000001,0.74,13.8,5.8,2.9,1.1,0.3,2.2,0.631868131868132,22.7,23.5,4.5,0.186,3.3,19.77,85.74074074074073,D1 impact starter,https://hiloathletics.com/sports/mens-basketball/stats/2022-23,https://www.sports-reference.com/cbb/players/aniwaniwa-tait-jones-1.html
Hayden Gray,Azusa Pacific,PacWest,2022-23,UC San Diego,2023-24,G,76.0,20.8,67.08333333333333,41.47577639751553,14.906832298136646,0.5228667038482989,5.6645962732919255,2.3354037267080745,4.521739130434782,2.732919254658385,0.4472049689440994,0.35984848484848486,0.326,0.19696969696969696,33,33,32.7,1079.1000000000001,0.8175000000000001,9.0,4.2,3.8,1.7,0.5,1.7,0.5639097744360902,16.1,15.5,3.7,0.136,2.5,15.290000000000001,85.18518518518519,D1 impact starter,https://athletics.apu.edu/sports/mens-basketball/stats/2022-23,https://www.sports-reference.com/cbb/players/hayden-gray-1.html
Joel Murray,West Texas A&M,LSC,2020-21,Long Beach State,2021-22,G,72.0,20.8,88.63636363636364,64.74358974358975,26.307692307692307,0.5687361419068736,4.717948717948718,2.769230769230769,6.9743589743589745,2.1025641025641026,0.10256410256410256,0.2597402597402597,0.3,0.38961038961038963,33,30,32.1,1059.3,0.8025,16.7,3.0,2.8,1.5,0.1,2.5,0.5509369226708893,19.2,27.4,3.5,0.131,1.3,20.63,83.88888888888889,D1 impact starter,https://gobuffsgo.com/sports/mens-basketball/stats/2020-21,https://www.sports-reference.com/cbb/players/joel-murray-1.html
Joshua Ward,Palm Beach Atlantic,SSC,2024-25,Cal State Fullerton,2025-26,G,73.0,21.8,80.3448275862069,49.892703862660944,18.626609442060087,0.547979797979798,5.021459227467811,2.96137339055794,6.266094420600858,2.1459227467811157,0.6008583690987125,0.26420454545454547,0.29,0.2840909090909091,34,34,30.9,1050.6,0.7725,14.5,4.5,3.5,1.6,0.5,2.0,0.5620155038759691,17.1,22.8,3.2,0.121,2.1,20.57,82.59259259259258,D1 impact starter,https://pbasailfish.com/sports/mens-basketball/stats/2024-25,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2026.html
Owen Koonce,Colorado Mesa,RMAC,2023-24,Cal Poly,2024-25,G,77.0,21.8,61.39705882352941,48.58443113772456,21.55688622754491,0.66434392346758,2.874251497005988,3.2095808383233533,6.37125748502994,1.9161676646706587,0.7664670658682635,0.46905537459283386,0.354,0.23452768729641693,35,35,30.1,1053.5,0.7525000000000001,16.9,4.8,1.8,1.1,0.5,2.6,0.6419021573989667,19.8,24.9,3.6,0.135,2.0,21.34,80.55555555555556,D1 impact starter,https://cmumavericks.com/sports/mens-basketball/stats/2023-24,https://www.sports-reference.com/cbb/players/owen-koonce-1.html
Isaac Jessup,Colorado Mesa,RMAC,2023-24,Cal Poly,2024-25,G,74.0,21.8,62.35294117647059,41.7311320754717,16.27358490566038,0.5771547109207709,3.9150943396226414,2.5943396226415096,4.433962264150943,1.7452830188679245,0.2358490566037736,0.7630662020905923,0.37,0.09407665505226481,31,31,30.6,948.6,0.765,11.7,3.5,2.6,1.5,0.1,1.3,0.6392045454545453,15.9,16.1,3.0,0.127,3.0,16.44,79.81481481481481,D1 starter/plus rotation,https://cmumavericks.com/sports/mens-basketball/stats/2023-24,https://www.sports-reference.com/cbb/players/isaac-jessup-1.html
Andrew Henderson,Cal State San Bernardino,CCAA,2024-25,UC Riverside,2025-26,G,77.0,21.8,84.5,50.99915469146239,20.422654268808113,0.5716232586311326,1.7920540997464074,2.53592561284869,8.04733727810651,1.6906170752324599,1.048182586644125,0.3411016949152542,0.366,0.2711864406779661,32,29,33.3,1065.6,0.8324999999999999,18.1,4.9,2.0,0.9,0.8,2.1,0.5311032863849766,16.6,28.5,2.4,0.091,0.6,23.069999999999997,79.81481481481481,D1 starter/plus rotation,https://csusbathletics.com/sports/mens-basketball/stats/2024-25,https://www.sports-reference.com/cbb/players/andrew-henderson-1.html
Tyler McGhie,Southern Nazarene,GAC,2022-23,UC San Diego,2023-24,G,77.0,20.8,79.765625,43.13418217433888,20.80313418217434,0.6597912524850895,1.6062683643486777,1.4887365328109696,4.662095984329089,1.0577864838393731,0.2742409402546523,0.5988700564971752,0.448,0.3107344632768362,23,0,28.6,657.8000000000001,0.7150000000000001,13.9,2.9,1.3,0.5,0.2,0.3,0.5811036789297659,19.2,22.6,2.7,0.162,4.0,17.180000000000003,77.22222222222221,D1 starter/plus rotation,https://snuathletics.com/sports/mens-basketball/stats/2022-23,https://www.sports-reference.com/cbb/players/tyler-mcghie-1.html
Leo Beath,Lynn,SSC,2024-25,UC San Diego,2025-26,F,80.0,20.8,75.83333333333333,59.951648351648345,23.516483516483518,0.5441858572707299,4.0,2.3736263736263736,12.615384615384615,1.5824175824175823,0.7912087912087912,0.33482142857142855,0.327,0.22098214285714285,34,33,30.1,1023.4000000000001,0.7525000000000001,12.2,5.1,1.6,1.2,0.4,1.5,0.538298623367455,15.0,21.5,3.0,0.118,0.0,17.26,69.44444444444446,D1 starter/plus rotation,https://lynnfightingknights.com/sports/mens-basketball/stats/2024-25,https://www.sports-reference.com/cbb/players/leo-beath-1.html
