first_wcc_season,destination_school,destination_school_slug,player_name,player_key,class,position,height,weight,sports_reference_player_url,roster_cache_path,previous_team_roster_status,profile_cache_status,profile_prior_season,profile_prior_school,profile_prior_conf,profile_prior_level_guess,profile_transfer_candidate,candidate_action,audit_status,source_school,source_conference,source_season,games,mpg,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,source_url,model_recommendation
2022-23,BYU,brigham-young,Jaxson Robinson,jaxson robinson,SO,G,6-7,193,https://www.sports-reference.com/cbb/players/jaxson-robinson-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2023.html,not_on_previous_roster,cached,2021-22,Arkansas,SEC,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,Arkansas,SEC,2021-22,16,10.2,3.4,1.3,0.4,0.1,0.3,0.4,0.38,0.326,1.0,0.52,https://www.sports-reference.com/cbb/players/jaxson-robinson-1.html,include_d1_transfer_after_outcome_stats
2022-23,BYU,brigham-young,Noah Waterman,noah waterman,JR,F,6-11,210,https://www.sports-reference.com/cbb/players/noah-waterman-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2023.html,not_on_previous_roster,cached,2021-22,Detroit Mercy,Horizon,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,Detroit Mercy,Horizon,2021-22,21,25.3,8.0,4.0,0.5,0.8,0.7,0.9,0.429,0.375,0.75,0.564,https://www.sports-reference.com/cbb/players/noah-waterman-1.html,include_d1_transfer_after_outcome_stats
2022-23,BYU,brigham-young,Rudi Williams,rudi williams,SR,G,6-3,182,https://www.sports-reference.com/cbb/players/rudi-williams-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2023.html,not_on_previous_roster,cached,2021-22,Coastal Carolina,Sun Belt,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,Coastal Carolina,Sun Belt,2021-22,33,30.2,14.7,4.2,3.2,1.5,0.1,2.2,0.509,0.447,0.735,0.582,https://www.sports-reference.com/cbb/players/rudi-williams-1.html,include_d1_transfer_after_outcome_stats
2022-23,Gonzaga,gonzaga,Efton Reid,efton reid,SO,C,6-11,238,https://www.sports-reference.com/cbb/players/efton-reid-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2023.html,not_on_previous_roster,cached,2021-22,Louisiana State,SEC,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,Louisiana State,SEC,2021-22,34,19.6,6.3,4.3,0.5,0.5,0.8,1.4,0.519,0.25,0.483,0.532,https://www.sports-reference.com/cbb/players/efton-reid-1.html,include_d1_transfer_after_outcome_stats
2022-23,Gonzaga,gonzaga,Malachi Smith,malachi smith,SR,G,6-4,205,https://www.sports-reference.com/cbb/players/malachi-smith-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2023.html,not_on_previous_roster,cached,2021-22,Chattanooga,Southern,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,Chattanooga,Southern,2021-22,35,35.4,19.9,6.7,3.0,1.7,0.1,2.3,0.493,0.407,0.827,0.552,https://www.sports-reference.com/cbb/players/malachi-smith-1.html,include_d1_transfer_after_outcome_stats
2023-24,Gonzaga,gonzaga,Ryan Nembhard,ryan nembhard,JR,G,6-0,167,https://www.sports-reference.com/cbb/players/ryan-nembhard-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2024.html,not_on_previous_roster,cached,2022-23,Creighton,Big East,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,Creighton,Big East,2022-23,37,34.0,12.1,4.0,4.8,0.7,0.1,2.1,0.432,0.356,0.871,0.503,https://www.sports-reference.com/cbb/players/ryan-nembhard-1.html,include_d1_transfer_after_outcome_stats
2024-25,Gonzaga,gonzaga,Emmanuel Innocenti,emmanuel innocenti,SO,F,6-5,198,https://www.sports-reference.com/cbb/players/emmanuel-innocenti-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2025.html,not_on_previous_roster,cached,2023-24,Tarleton State,WAC,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,Tarleton State,WAC,2023-24,35,31.7,6.6,6.4,2.9,1.7,0.2,1.7,0.406,0.308,0.8,0.465,https://www.sports-reference.com/cbb/players/emmanuel-innocenti-1.html,include_d1_transfer_after_outcome_stats
2024-25,Gonzaga,gonzaga,Khalif Battle,khalif battle,SR,G,6-5,175,https://www.sports-reference.com/cbb/players/khalif-battle-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2025.html,not_on_previous_roster,cached,2023-24,Arkansas,SEC,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,Arkansas,SEC,2023-24,32,24.8,14.8,3.3,1.3,0.8,0.3,1.5,0.406,0.353,0.873,0.488,https://www.sports-reference.com/cbb/players/khalif-battle-1.html,include_d1_transfer_after_outcome_stats
2024-25,Gonzaga,gonzaga,Michael Ajayi,michael ajayi,SR,G,6-7,220,https://www.sports-reference.com/cbb/players/michael-ajayi-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2025.html,not_on_previous_roster,cached,2023-24,Pepperdine,WCC,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,Pepperdine,WCC,2023-24,33,34.7,17.2,9.9,1.9,0.9,0.5,2.0,0.467,0.47,0.709,0.511,https://www.sports-reference.com/cbb/players/michael-ajayi-1.html,include_d1_transfer_after_outcome_stats
2025-26,Gonzaga,gonzaga,Adam Miller,adam miller,SR,G,6-3,180,https://www.sports-reference.com/cbb/players/adam-miller-3.html,data/cache/sports_reference_wcc_schools/gonzaga_2026.html,not_on_previous_roster,cached,2024-25,Arizona State,Big 12,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,Arizona State,Big 12,2024-25,30,29.7,9.8,2.3,1.9,1.0,0.0,1.4,0.449,0.429,0.756,0.576,https://www.sports-reference.com/cbb/players/adam-miller-3.html,include_d1_transfer_after_outcome_stats
