target_conference,player_name,player_key,source_school,source_conference,source_level,destination_school,first_target_season,source_season,position,height,weight,source_games,source_mpg,source_minutes_share,source_ppg,source_rpg,source_apg,source_spg,source_bpg,source_topg,source_fg_pct,source_fg3_pct,source_ft_pct,source_efg_pct,source_pts_per_40,source_reb_per_40,source_ast_per_40,source_stl_per_40,source_blk_per_40,source_tov_per_40,target_games,target_games_started,target_mpg,target_minutes,target_minutes_share,target_ppg,target_rpg,target_apg,target_spg,target_bpg,target_topg,target_ts_pct,target_per,target_usg_pct,target_ws,target_ws_per_40,target_bpm,source_url,outcome_url
WCC,Jaxson Robinson,jaxson robinson,Arkansas,SEC,D1,BYU,2022-23,2021-22,G,6-7,193,16,10.2,0.255,3.4,1.3,0.4,0.1,0.3,0.4,0.38,0.326,1.0,0.52,13.333333333333334,5.098039215686275,1.5686274509803924,0.3921568627450981,1.1764705882352942,1.5686274509803924,33,30,28.1,927.3000000000001,0.7025,8.5,2.9,1.8,0.8,0.5,1.5,0.508860153256705,10.6,17.0,2.0,0.086,2.2,https://www.sports-reference.com/cbb/players/jaxson-robinson-1.html,https://www.sports-reference.com/cbb/players/jaxson-robinson-1.html
WCC,Noah Waterman,noah waterman,Detroit Mercy,Horizon,D1,BYU,2022-23,2021-22,F,6-11,210,21,25.3,0.6325000000000001,8.0,4.0,0.5,0.8,0.7,0.9,0.429,0.375,0.75,0.564,12.648221343873518,6.324110671936759,0.7905138339920948,1.2648221343873518,1.1067193675889329,1.4229249011857708,33,14,17.0,561.0,0.425,4.6,2.8,0.8,0.5,0.4,1.1,0.4807692307692307,8.3,17.0,0.9,0.067,-1.0,https://www.sports-reference.com/cbb/players/noah-waterman-1.html,https://www.sports-reference.com/cbb/players/noah-waterman-1.html
WCC,Rudi Williams,rudi williams,Coastal Carolina,Sun Belt,D1,BYU,2022-23,2021-22,G,6-3,182,33,30.2,0.755,14.7,4.2,3.2,1.5,0.1,2.2,0.509,0.447,0.735,0.582,19.47019867549669,5.562913907284768,4.23841059602649,1.9867549668874174,0.13245033112582782,2.913907284768212,34,13,23.5,799.0,0.5875,12.8,2.7,2.8,0.8,0.2,2.2,0.5923731951129212,20.3,27.5,3.3,0.164,5.2,https://www.sports-reference.com/cbb/players/rudi-williams-1.html,https://www.sports-reference.com/cbb/players/rudi-williams-1.html
WCC,Efton Reid,efton reid,Louisiana State,SEC,D1,Gonzaga,2022-23,2021-22,C,6-11,238,34,19.6,0.49000000000000005,6.3,4.3,0.5,0.5,0.8,1.4,0.519,0.25,0.483,0.532,12.857142857142856,8.775510204081632,1.0204081632653061,1.0204081632653061,1.6326530612244896,2.8571428571428568,25,0,4.6,114.99999999999999,0.11499999999999999,2.1,1.0,0.1,0.1,0.1,0.6,0.6104651162790699,14.0,24.0,0.3,0.088,-7.3,https://www.sports-reference.com/cbb/players/efton-reid-1.html,https://www.sports-reference.com/cbb/players/efton-reid-1.html
WCC,Malachi Smith,malachi smith,Chattanooga,Southern,D1,Gonzaga,2022-23,2021-22,G,6-4,205,35,35.4,0.885,19.9,6.7,3.0,1.7,0.1,2.3,0.493,0.407,0.827,0.552,22.48587570621469,7.570621468926554,3.3898305084745766,1.92090395480226,0.11299435028248588,2.598870056497175,37,1,20.8,769.6,0.52,8.7,3.6,1.4,0.9,0.0,0.8,0.6618989653073645,21.0,17.4,3.5,0.184,8.2,https://www.sports-reference.com/cbb/players/malachi-smith-1.html,https://www.sports-reference.com/cbb/players/malachi-smith-1.html
WCC,Ryan Nembhard,ryan nembhard,Creighton,Big East,D1,Gonzaga,2023-24,2022-23,G,6-0,167,37,34.0,0.85,12.1,4.0,4.8,0.7,0.1,2.1,0.432,0.356,0.871,0.503,14.235294117647058,4.705882352941177,5.647058823529412,0.8235294117647058,0.11764705882352941,2.4705882352941178,35,35,35.8,1253.0,0.8949999999999999,12.6,4.0,6.9,1.2,0.0,2.3,0.530481643651061,16.6,19.8,4.6,0.148,4.4,https://www.sports-reference.com/cbb/players/ryan-nembhard-1.html,https://www.sports-reference.com/cbb/players/ryan-nembhard-1.html
WCC,Emmanuel Innocenti,emmanuel innocenti,Tarleton State,WAC,D1,Gonzaga,2024-25,2023-24,F,6-5,198,35,31.7,0.7925,6.6,6.4,2.9,1.7,0.2,1.7,0.406,0.308,0.8,0.465,8.32807570977918,8.07570977917981,3.6593059936908516,2.145110410094637,0.25236593059936907,2.145110410094637,31,3,12.1,375.09999999999997,0.3025,1.7,1.9,1.0,0.6,0.2,0.2,0.43724279835390945,9.3,8.7,1.1,0.116,5.4,https://www.sports-reference.com/cbb/players/emmanuel-innocenti-1.html,https://www.sports-reference.com/cbb/players/emmanuel-innocenti-1.html
WCC,Khalif Battle,khalif battle,Arkansas,SEC,D1,Gonzaga,2024-25,2023-24,G,6-5,175,32,24.8,0.62,14.8,3.3,1.3,0.8,0.3,1.5,0.406,0.353,0.873,0.488,23.870967741935484,5.32258064516129,2.096774193548387,1.2903225806451613,0.48387096774193544,2.4193548387096775,35,31,26.8,938.0,0.67,13.6,3.7,1.5,1.1,0.1,1.5,0.6086645184389545,18.0,23.5,4.1,0.174,6.3,https://www.sports-reference.com/cbb/players/khalif-battle-1.html,https://www.sports-reference.com/cbb/players/khalif-battle-1.html
WCC,Michael Ajayi,michael ajayi,Pepperdine,WCC,D1,Gonzaga,2024-25,2023-24,G,6-7,220,33,34.7,0.8675,17.2,9.9,1.9,0.9,0.5,2.0,0.467,0.47,0.709,0.511,19.827089337175792,11.412103746397694,2.190201729106628,1.037463976945245,0.5763688760806917,2.3054755043227666,34,13,18.8,639.2,0.47000000000000003,6.5,5.4,0.8,0.7,0.4,0.7,0.5279402209226771,16.7,18.3,2.6,0.162,4.4,https://www.sports-reference.com/cbb/players/michael-ajayi-1.html,https://www.sports-reference.com/cbb/players/michael-ajayi-1.html
WCC,Adam Miller,adam miller,Arizona State,Big 12,D1,Gonzaga,2025-26,2024-25,G,6-3,180,30,29.7,0.7424999999999999,9.8,2.3,1.9,1.0,0.0,1.4,0.449,0.429,0.756,0.576,13.198653198653199,3.0976430976430978,2.558922558922559,1.3468013468013469,0.0,1.8855218855218856,35,25,19.4,679.0,0.485,7.3,1.6,1.0,0.7,0.0,0.5,0.5415430267062314,12.6,18.3,2.4,0.142,4.0,https://www.sports-reference.com/cbb/players/adam-miller-3.html,https://www.sports-reference.com/cbb/players/adam-miller-3.html
WCC,Braeden Smith,braeden smith,Colgate,Patriot,D1,Gonzaga,2025-26,2023-24,G,6-0,180,35,30.2,0.755,12.5,5.5,5.6,1.9,0.1,2.3,0.393,0.311,0.786,0.462,16.55629139072848,7.28476821192053,7.417218543046358,2.5165562913907285,0.13245033112582782,3.0463576158940397,35,18,17.1,598.5,0.42750000000000005,5.1,2.2,3.6,1.0,0.0,1.1,0.575880758807588,17.2,15.9,2.7,0.181,7.1,https://www.sports-reference.com/cbb/players/braeden-smith-1.html,https://www.sports-reference.com/cbb/players/braeden-smith-1.html
WCC,Jalen Warley,jalen warley,Florida State,ACC,D1,Gonzaga,2025-26,2023-24,G,6-6,200,33,24.1,0.6025,7.5,2.6,2.8,1.3,0.3,1.1,0.424,0.143,0.725,0.426,12.448132780082986,4.3153526970954355,4.647302904564315,2.1576763485477177,0.49792531120331945,1.8257261410788381,33,17,21.8,719.4,0.545,7.1,4.8,2.1,1.5,0.3,0.9,0.5992572586090479,18.7,15.6,3.6,0.202,8.4,https://www.sports-reference.com/cbb/players/jalen-warley-1.html,https://www.sports-reference.com/cbb/players/jalen-warley-1.html
WCC,Steele Venters,steele venters,Eastern Washington,Big Sky,D1,Gonzaga,2025-26,2022-23,G,6-7,175,34,31.5,0.7875,15.3,2.8,1.5,0.8,0.4,1.9,0.457,0.371,0.845,0.553,19.428571428571427,3.5555555555555554,1.9047619047619047,1.0158730158730158,0.5079365079365079,2.4126984126984126,27,10,15.1,407.7,0.3775,5.0,1.3,1.0,0.6,0.1,0.6,0.5712979890310785,11.3,16.4,1.4,0.138,3.9,https://www.sports-reference.com/cbb/players/steele-venters-1.html,https://www.sports-reference.com/cbb/players/steele-venters-1.html
