first_wcc_season,destination_school,player_name,sr_season,sr_team,sr_conf,class,position,games,games_started,mpg,minutes,minutes_share,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,ts_pct,three_rate,ft_rate,per,ts_pct_advanced,usg_pct,ows,dws,ws,ws_per_40,bpm,source_url
2022-23,BYU,Jaxson Robinson,2022-23,Brigham Young,WCC,SO,G,33,30,28.1,927.3000000000001,0.7025,8.5,2.9,1.8,0.8,0.5,1.5,0.386,0.343,0.68,0.502,0.508860153256705,0.675,0.1,10.6,0.511,17.0,0.7,1.3,2.0,0.086,2.2,https://www.sports-reference.com/cbb/players/jaxson-robinson-1.html
2022-23,BYU,Noah Waterman,2022-23,Brigham Young,WCC,JR,F,33,14,17.0,561.0,0.425,4.6,2.8,0.8,0.5,0.4,1.1,0.366,0.323,0.543,0.472,0.4807692307692307,0.6511627906976744,0.2558139534883721,8.3,0.482,17.0,0.0,0.9,0.9,0.067,-1.0,https://www.sports-reference.com/cbb/players/noah-waterman-1.html
2022-23,BYU,Rudi Williams,2022-23,Brigham Young,WCC,SR,G,34,13,23.5,799.0,0.5875,12.8,2.7,2.8,0.8,0.2,2.2,0.463,0.314,0.843,0.515,0.5923731951129212,0.3333333333333333,0.4555555555555555,20.3,0.581,27.5,2.2,1.1,3.3,0.164,5.2,https://www.sports-reference.com/cbb/players/rudi-williams-1.html
2022-23,Gonzaga,Efton Reid,2022-23,Gonzaga,WCC,SO,C,25,0,4.6,114.99999999999999,0.11499999999999999,2.1,1.0,0.1,0.1,0.1,0.6,0.622,0.0,0.538,0.622,0.6104651162790699,0.06666666666666667,0.3333333333333333,14.0,0.614,24.0,0.1,0.1,0.3,0.088,-7.3,https://www.sports-reference.com/cbb/players/efton-reid-1.html
2022-23,Gonzaga,Malachi Smith,2022-23,Gonzaga,WCC,SR,G,37,1,20.8,769.6,0.52,8.7,3.6,1.4,0.9,0.0,0.8,0.536,0.5,0.792,0.637,0.6618989653073645,0.39999999999999997,0.21666666666666667,21.0,0.656,17.4,2.5,1.0,3.5,0.184,8.2,https://www.sports-reference.com/cbb/players/malachi-smith-1.html
2023-24,Gonzaga,Ryan Nembhard,2023-24,Gonzaga,WCC,JR,G,35,35,35.8,1253.0,0.8949999999999999,12.6,4.0,6.9,1.2,0.0,2.3,0.445,0.321,0.752,0.492,0.530481643651061,0.29245283018867924,0.27358490566037735,16.6,0.526,19.8,2.8,1.8,4.6,0.148,4.4,https://www.sports-reference.com/cbb/players/ryan-nembhard-1.html
2024-25,Gonzaga,Emmanuel Innocenti,2024-25,Gonzaga,WCC,SO,F,31,3,12.1,375.09999999999997,0.3025,1.7,1.9,1.0,0.6,0.2,0.2,0.345,0.294,0.5,0.431,0.43724279835390945,0.5789473684210527,0.052631578947368425,9.3,0.434,8.7,0.3,0.7,1.1,0.116,5.4,https://www.sports-reference.com/cbb/players/emmanuel-innocenti-1.html
2024-25,Gonzaga,Khalif Battle,2024-25,Gonzaga,WCC,SR,G,35,31,26.8,938.0,0.67,13.6,3.7,1.5,1.1,0.1,1.5,0.44,0.347,0.932,0.527,0.6086645184389545,0.5052631578947369,0.39999999999999997,18.0,0.599,23.5,2.3,1.8,4.1,0.174,6.3,https://www.sports-reference.com/cbb/players/khalif-battle-1.html
2024-25,Gonzaga,Michael Ajayi,2024-25,Gonzaga,WCC,SR,G,34,13,18.8,639.2,0.47000000000000003,6.5,5.4,0.8,0.7,0.4,0.7,0.446,0.182,0.695,0.469,0.5279402209226771,0.25490196078431376,0.47058823529411764,16.7,0.516,18.3,1.2,1.4,2.6,0.162,4.4,https://www.sports-reference.com/cbb/players/michael-ajayi-1.html
2025-26,Gonzaga,Adam Miller,2025-26,Gonzaga,WCC,SR,G,35,25,19.4,679.0,0.485,7.3,1.6,1.0,0.7,0.0,0.5,0.425,0.302,0.75,0.514,0.5415430267062314,0.5873015873015873,0.15873015873015872,12.6,0.533,18.3,1.0,1.4,2.4,0.142,4.0,https://www.sports-reference.com/cbb/players/adam-miller-3.html
