first_wcc_season,destination_school,player_name,source_school,source_conference,source_level,source_season,class,position,games,mpg,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,source_url,candidate_action
2022-23,BYU,Jaxson Robinson,Arkansas,SEC,D1,2021-22,SO,G,16,10.2,3.4,1.3,0.4,0.1,0.3,0.4,.380,.326,1.000,.520,https://www.sports-reference.com/cbb/players/jaxson-robinson-1.html,add_transfer_row_and_d1_source_stats
2022-23,BYU,Noah Waterman,Detroit Mercy,Horizon,D1,2021-22,SO,F,21,25.3,8.0,4.0,0.5,0.8,0.7,0.9,.429,.375,.750,.564,https://www.sports-reference.com/cbb/players/noah-waterman-1.html,add_transfer_row_and_d1_source_stats
2022-23,BYU,Rudi Williams,Coastal Carolina,Sun Belt,D1,2021-22,SR,G,33,30.2,14.7,4.2,3.2,1.5,0.1,2.2,.509,.447,.735,.582,https://www.sports-reference.com/cbb/players/rudi-williams-1.html,add_transfer_row_and_d1_source_stats
2022-23,Gonzaga,Efton Reid,Louisiana State,SEC,D1,2021-22,FR,C,34,19.6,6.3,4.3,0.5,0.5,0.8,1.4,.519,.250,.483,.532,https://www.sports-reference.com/cbb/players/efton-reid-1.html,add_transfer_row_and_d1_source_stats
2022-23,Gonzaga,Malachi Smith,Chattanooga,Southern,D1,2021-22,JR,G,35,35.4,19.9,6.7,3.0,1.7,0.1,2.3,.493,.407,.827,.552,https://www.sports-reference.com/cbb/players/malachi-smith-1.html,add_transfer_row_and_d1_source_stats
2023-24,Gonzaga,Ryan Nembhard,Creighton,Big East,D1,2022-23,SO,G,37,34.0,12.1,4.0,4.8,0.7,0.1,2.1,.432,.356,.871,.503,https://www.sports-reference.com/cbb/players/ryan-nembhard-1.html,add_transfer_row_and_d1_source_stats
2024-25,Gonzaga,Emmanuel Innocenti,Tarleton State,WAC,D1,2023-24,FR,F,35,31.7,6.6,6.4,2.9,1.7,0.2,1.7,.406,.308,.800,.465,https://www.sports-reference.com/cbb/players/emmanuel-innocenti-1.html,add_transfer_row_and_d1_source_stats
2024-25,Gonzaga,Khalif Battle,Arkansas,SEC,D1,2023-24,SR,G,32,24.8,14.8,3.3,1.3,0.8,0.3,1.5,.406,.353,.873,.488,https://www.sports-reference.com/cbb/players/khalif-battle-1.html,add_transfer_row_and_d1_source_stats
2024-25,Gonzaga,Michael Ajayi,Pepperdine,WCC,D1,2023-24,JR,G,33,34.7,17.2,9.9,1.9,0.9,0.5,2.0,.467,.470,.709,.511,https://www.sports-reference.com/cbb/players/michael-ajayi-1.html,add_transfer_row_and_d1_source_stats
2025-26,Gonzaga,Adam Miller,Arizona State,Big 12,D1,2024-25,SR,G,30,29.7,9.8,2.3,1.9,1.0,0.0,1.4,.449,.429,.756,.576,https://www.sports-reference.com/cbb/players/adam-miller-3.html,add_transfer_row_and_d1_source_stats
2025-26,Gonzaga,Braeden Smith,Colgate,Patriot,D1,2023-24,SO,G,35,30.2,12.5,5.5,5.6,1.9,0.1,2.3,.393,.311,.786,.462,https://www.sports-reference.com/cbb/players/braeden-smith-1.html,add_transfer_row_and_d1_source_stats
2025-26,Gonzaga,Jalen Warley,Florida State,ACC,D1,2023-24,JR,G,33,24.1,7.5,2.6,2.8,1.3,0.3,1.1,.424,.143,.725,.426,https://www.sports-reference.com/cbb/players/jalen-warley-1.html,add_transfer_row_and_d1_source_stats
2025-26,Gonzaga,Steele Venters,Eastern Washington,Big Sky,D1,2022-23,JR,G,34,31.5,15.3,2.8,1.5,0.8,0.4,1.9,.457,.371,.845,.553,https://www.sports-reference.com/cbb/players/steele-venters-1.html,add_transfer_row_and_d1_source_stats
2025-26,Gonzaga,Tyon Grant-Foster,Grand Canyon,WAC,D1,2024-25,SR,G,26,27.5,14.8,5.9,2.1,1.7,1.5,2.7,.399,.232,.686,.438,https://www.sports-reference.com/cbb/players/tyon-grant-foster-1.html,add_transfer_row_and_d1_source_stats
2022-23,Loyola Marymount,Justin Ahrens,Ohio State,Big Ten,D1,2021-22,SR,F,32,20.1,4.8,2.3,0.8,0.3,0.0,0.7,.346,.354,.750,.515,https://www.sports-reference.com/cbb/players/justin-ahrens-1.html,add_transfer_row_and_d1_source_stats
2022-23,Loyola Marymount,Michael Graham,Elon,CAA,D1,2021-22,SO,F,32,20.6,9.3,6.8,0.8,0.4,1.3,1.3,.609,,.621,.609,https://www.sports-reference.com/cbb/players/michael-graham-2.html,add_transfer_row_and_d1_source_stats
2022-23,Loyola Marymount,Rick Issanza,Oklahoma,Big 12,D1,2021-22,SO,C,12,4.1,0.7,0.8,0.1,0.0,0.1,0.2,.375,,.333,.375,https://www.sports-reference.com/cbb/players/rick-issanza-1.html,add_transfer_row_and_d1_source_stats
2023-24,Loyola Marymount,Dominick Harris,Gonzaga,WCC,D1,2022-23,SO,G,13,4.5,1.5,0.6,0.5,0.1,0.1,0.2,.389,.273,1.000,.472,https://www.sports-reference.com/cbb/players/dominick-harris-1.html,add_transfer_row_and_d1_source_stats
2023-24,Loyola Marymount,Justice Hill,Louisiana State,SEC,D1,2022-23,JR,G,30,22.7,5.6,1.6,2.7,0.9,0.1,1.4,.290,.257,.576,.355,https://www.sports-reference.com/cbb/players/justice-hill-1.html,add_transfer_row_and_d1_source_stats
2023-24,Loyola Marymount,Justin Wright,North Carolina Central,MEAC,D1,2022-23,JR,G,30,33.4,16.1,5.1,2.2,1.3,0.1,2.6,.473,.414,.776,.524,https://www.sports-reference.com/cbb/players/justin-wright-2.html,add_transfer_row_and_d1_source_stats
2023-24,Loyola Marymount,Lars Thiemann,California,Pac-12,D1,2022-23,SR,F,31,25.1,9.5,5.4,0.6,0.5,0.6,1.8,.485,.000,.740,.485,https://www.sports-reference.com/cbb/players/lars-thiemann-1.html,add_transfer_row_and_d1_source_stats
