first_wcc_season,destination_school,destination_school_slug,player_name,player_key,class,position,height,weight,sports_reference_player_url,roster_cache_path,previous_team_roster_status,profile_cache_status,profile_prior_season,profile_prior_school,profile_prior_conf,profile_prior_level_guess,profile_transfer_candidate,candidate_action,audit_status
2022-23,BYU,brigham-young,Jaxson Robinson,jaxson robinson,SO,G,6-7,193,https://www.sports-reference.com/cbb/players/jaxson-robinson-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2023.html,not_on_previous_roster,cached,2021-22,Arkansas,SEC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2022-23,BYU,brigham-young,Noah Waterman,noah waterman,JR,F,6-11,210,https://www.sports-reference.com/cbb/players/noah-waterman-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2023.html,not_on_previous_roster,cached,2021-22,Detroit Mercy,Horizon,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2022-23,BYU,brigham-young,Rudi Williams,rudi williams,SR,G,6-3,182,https://www.sports-reference.com/cbb/players/rudi-williams-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2023.html,not_on_previous_roster,cached,2021-22,Coastal Carolina,Sun Belt,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2022-23,BYU,brigham-young,Tredyn Christensen,tredyn christensen,SR,G,6-7,235,https://www.sports-reference.com/cbb/players/tredyn-christensen-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2023.html,not_on_previous_roster,cached,2021-22,Did not play - non-major team,,D2,TRUE,find_source_stats_or_review,possible_transfer
2022-23,Gonzaga,gonzaga,Dominick Harris,dominick harris,SO,G,6-3,190,https://www.sports-reference.com/cbb/players/dominick-harris-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2023.html,not_on_previous_roster,cached,2021-22,Did not play - injury/redshirt,,NO_STATS,TRUE,find_source_stats_or_review,possible_transfer
2022-23,Gonzaga,gonzaga,Efton Reid,efton reid,SO,C,6-11,238,https://www.sports-reference.com/cbb/players/efton-reid-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2023.html,not_on_previous_roster,cached,2021-22,Louisiana State,SEC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2022-23,Gonzaga,gonzaga,Malachi Smith,malachi smith,SR,G,6-4,205,https://www.sports-reference.com/cbb/players/malachi-smith-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2023.html,not_on_previous_roster,cached,2021-22,Chattanooga,Southern,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2023-24,Gonzaga,gonzaga,Graham Ike,graham ike,JR,F,6-9,245,https://www.sports-reference.com/cbb/players/graham-ike-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2024.html,not_on_previous_roster,cached,2022-23,Did not play - injury/redshirt,,NO_STATS,TRUE,find_source_stats_or_review,possible_transfer
2023-24,Gonzaga,gonzaga,Joe Few,joe few,SO,G,6-0,160,https://www.sports-reference.com/cbb/players/joe-few-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2024.html,not_on_previous_roster,cached,2022-23,Did not play - injury/redshirt,,NO_STATS,TRUE,find_source_stats_or_review,possible_transfer
2023-24,Gonzaga,gonzaga,Jun Seok Yeo,jun seok yeo,SO,F,6-8,215,https://www.sports-reference.com/cbb/players/jun-seok-yeo-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2024.html,not_on_previous_roster,cached,2022-23,Did not play - overseas,,,TRUE,find_source_stats_or_review,possible_transfer
2023-24,Gonzaga,gonzaga,Ryan Nembhard,ryan nembhard,JR,G,6-0,167,https://www.sports-reference.com/cbb/players/ryan-nembhard-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2024.html,not_on_previous_roster,cached,2022-23,Creighton,Big East,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2024-25,Gonzaga,gonzaga,Emmanuel Innocenti,emmanuel innocenti,SO,F,6-5,198,https://www.sports-reference.com/cbb/players/emmanuel-innocenti-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2025.html,not_on_previous_roster,cached,2023-24,Tarleton State,WAC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2024-25,Gonzaga,gonzaga,Joaquim ArauzMoore,joaquim arauzmoore,SO,G,6-1,170,https://www.sports-reference.com/cbb/players/joaquim-arauzmoore-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2025.html,not_on_previous_roster,cached,2023-24,Did not play - dnp,,NO_STATS,TRUE,find_source_stats_or_review,possible_transfer
2024-25,Gonzaga,gonzaga,Khalif Battle,khalif battle,SR,G,6-5,175,https://www.sports-reference.com/cbb/players/khalif-battle-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2025.html,not_on_previous_roster,cached,2023-24,Arkansas,SEC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2024-25,Gonzaga,gonzaga,Michael Ajayi,michael ajayi,SR,G,6-7,220,https://www.sports-reference.com/cbb/players/michael-ajayi-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2025.html,not_on_previous_roster,cached,2023-24,Pepperdine,WCC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2024-25,Gonzaga,gonzaga,Noah Haaland,noah haaland,JR,F,6-9,245,https://www.sports-reference.com/cbb/players/noah-haaland-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2025.html,not_on_previous_roster,cached,2023-24,Did not play - juco,,JUCO,TRUE,find_source_stats_or_review,possible_transfer
2025-26,Gonzaga,gonzaga,Adam Miller,adam miller,SR,G,6-3,180,https://www.sports-reference.com/cbb/players/adam-miller-3.html,data/cache/sports_reference_wcc_schools/gonzaga_2026.html,not_on_previous_roster,cached,2024-25,Arizona State,Big 12,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2025-26,Gonzaga,gonzaga,Braeden Smith,braeden smith,SR,G,6-0,180,https://www.sports-reference.com/cbb/players/braeden-smith-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2026.html,not_on_previous_roster,cached,2023-24,Colgate,Patriot,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2025-26,Gonzaga,gonzaga,Jalen Warley,jalen warley,SR,G,6-6,200,https://www.sports-reference.com/cbb/players/jalen-warley-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2026.html,not_on_previous_roster,cached,2023-24,Florida State,ACC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2025-26,Gonzaga,gonzaga,Steele Venters,steele venters,SR,G,6-7,175,https://www.sports-reference.com/cbb/players/steele-venters-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2026.html,not_on_previous_roster,cached,2022-23,Eastern Washington,Big Sky,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2025-26,Gonzaga,gonzaga,Tyon Grant-Foster,tyon grant foster,SR,G,6-7,210,https://www.sports-reference.com/cbb/players/tyon-grant-foster-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2026.html,not_on_previous_roster,cached,2024-25,Grand Canyon,WAC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2022-23,Loyola Marymount,loyola-marymount,Justin Ahrens,justin ahrens,SR,F,6-6,195,https://www.sports-reference.com/cbb/players/justin-ahrens-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2023.html,not_on_previous_roster,cached,2021-22,Ohio State,Big Ten,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2022-23,Loyola Marymount,loyola-marymount,Michael Graham,michael graham,JR,F,6-8,214,https://www.sports-reference.com/cbb/players/michael-graham-2.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2023.html,not_on_previous_roster,cached,2021-22,Elon,CAA,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2022-23,Loyola Marymount,loyola-marymount,Rick Issanza,rick issanza,JR,C,7-1,245,https://www.sports-reference.com/cbb/players/rick-issanza-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2023.html,not_on_previous_roster,cached,2021-22,Oklahoma,Big 12,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2023-24,Loyola Marymount,loyola-marymount,Dominick Harris,dominick harris,JR,G,6-3,190,https://www.sports-reference.com/cbb/players/dominick-harris-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2024.html,not_on_previous_roster,cached,2022-23,Gonzaga,WCC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2023-24,Loyola Marymount,loyola-marymount,Justice Hill,justice hill,SR,G,6-0,170,https://www.sports-reference.com/cbb/players/justice-hill-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2024.html,not_on_previous_roster,cached,2022-23,Louisiana State,SEC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2023-24,Loyola Marymount,loyola-marymount,Justin Wright,justin wright,SR,G,6-1,210,https://www.sports-reference.com/cbb/players/justin-wright-2.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2024.html,not_on_previous_roster,cached,2022-23,North Carolina Central,MEAC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2023-24,Loyola Marymount,loyola-marymount,Kevin Carney,kevin carney,SO,G,5-11,160,https://www.sports-reference.com/cbb/players/kevin-carney-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2024.html,not_on_previous_roster,cached,2022-23,Did not play - dnp,,NO_STATS,TRUE,find_source_stats_or_review,possible_transfer
2023-24,Loyola Marymount,loyola-marymount,Lars Thiemann,lars thiemann,SR,F,7-0,248,https://www.sports-reference.com/cbb/players/lars-thiemann-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2024.html,not_on_previous_roster,cached,2022-23,California,Pac-12,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2023-24,Loyola Marymount,loyola-marymount,Noah Taitz,noah taitz,JR,G,6-3,185,https://www.sports-reference.com/cbb/players/noah-taitz-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2024.html,not_on_previous_roster,cached,2022-23,Did not play - injury/redshirt,,NO_STATS,TRUE,find_source_stats_or_review,possible_transfer
