first_wcc_season,destination_school,destination_school_slug,player_name,player_key,class,position,height,weight,sports_reference_player_url,roster_cache_path,previous_team_roster_status,profile_cache_status,profile_prior_season,profile_prior_school,profile_prior_conf,profile_prior_level_guess,profile_transfer_candidate,candidate_action,audit_status
2021-22,BYU,brigham-young,Alex Barcello,alex barcello,SR,G,6-2,180,https://www.sports-reference.com/cbb/players/alex-barcello-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2022.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
2021-22,BYU,brigham-young,Atiki Ally Atiki,atiki ally atiki,FR,F,6-9,213,https://www.sports-reference.com/cbb/players/atiki-allyatiki-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2022.html,no_previous_team_cache,cached,,,,,FALSE,,needs_prior_roster_cache
2021-22,BYU,brigham-young,Caleb Lohner,caleb lohner,SO,F,6-8,230,https://www.sports-reference.com/cbb/players/caleb-lohner-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2022.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
2021-22,BYU,brigham-young,Casey Brown,casey brown,FR,F,6-1,181,https://www.sports-reference.com/cbb/players/casey-brown-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2022.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
2021-22,BYU,brigham-young,Fousseyni Traore,fousseyni traore,FR,F,6-6,254,https://www.sports-reference.com/cbb/players/fousseyni-traore-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2022.html,no_previous_team_cache,cached,,,,,FALSE,,needs_prior_roster_cache
2021-22,BYU,brigham-young,Gavin Baxter,gavin baxter,SR,F,6-9,210,https://www.sports-reference.com/cbb/players/gavin-baxter-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2022.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
2021-22,BYU,brigham-young,Gideon George,gideon george,SR,F,6-6,190,https://www.sports-reference.com/cbb/players/gideon-george-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2022.html,no_previous_team_cache,cached,2020-21,Brigham Young,WCC,D1,FALSE,,needs_prior_roster_cache
2021-22,BYU,brigham-young,Hunter Erickson,hunter erickson,SO,G,6-3,194,https://www.sports-reference.com/cbb/players/hunter-erickson-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2022.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
2021-22,BYU,brigham-young,Nate Hansen,nate hansen,FR,G,6-3,178,https://www.sports-reference.com/cbb/players/nate-hansen-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2022.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
2021-22,BYU,brigham-young,Richard Harward,richard harward,SR,C,6-11,255,https://www.sports-reference.com/cbb/players/richard-harward-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2022.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
2021-22,BYU,brigham-young,Seneca Knight,seneca knight,SR,G,6-7,215,https://www.sports-reference.com/cbb/players/seneca-knight-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2022.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
2021-22,BYU,brigham-young,Spencer Johnson,spencer johnson,JR,G,6-5,175,https://www.sports-reference.com/cbb/players/spencer-johnson-2.html,data/cache/sports_reference_wcc_schools/brigham-young_2022.html,no_previous_team_cache,cached,2020-21,Brigham Young,WCC,D1,FALSE,,needs_prior_roster_cache
2021-22,BYU,brigham-young,Te'Jon Lucas,te jon lucas,SR,G,6-2,180,https://www.sports-reference.com/cbb/players/tejon-lucas-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2022.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
2021-22,BYU,brigham-young,Trevin Knell,trevin knell,JR,G,6-5,190,https://www.sports-reference.com/cbb/players/trevin-knell-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2022.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
2021-22,BYU,brigham-young,Trey Stewart,trey stewart,FR,G,6-2,189,https://www.sports-reference.com/cbb/players/trey-stewart-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2022.html,no_previous_team_cache,cached,,,,,FALSE,,needs_prior_roster_cache
2022-23,BYU,brigham-young,Atiki Ally Atiki,atiki ally atiki,SO,F,6-9,213,https://www.sports-reference.com/cbb/players/atiki-allyatiki-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2023.html,returning_same_roster,cached,2021-22,Brigham Young,WCC,D1,FALSE,,returning_or_freshman
2022-23,BYU,brigham-young,Dallin Hall,dallin hall,FR,G,6-4,200,https://www.sports-reference.com/cbb/players/dallin-hall-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2023.html,not_on_previous_roster,cached,,,,,FALSE,,returning_or_freshman
2022-23,BYU,brigham-young,Fousseyni Traore,fousseyni traore,SO,F,6-6,254,https://www.sports-reference.com/cbb/players/fousseyni-traore-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2023.html,returning_same_roster,cached,2021-22,Brigham Young,WCC,D1,FALSE,,returning_or_freshman
2022-23,BYU,brigham-young,Gideon George,gideon george,SR,F,6-6,190,https://www.sports-reference.com/cbb/players/gideon-george-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2023.html,returning_same_roster,cached,2021-22,Brigham Young,WCC,D1,FALSE,,returning_or_freshman
2022-23,BYU,brigham-young,Hao Dong,hao dong,FR,F,6-6,210,https://www.sports-reference.com/cbb/players/hao-dong-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2023.html,not_on_previous_roster,cached,,,,,FALSE,,returning_or_freshman
2022-23,BYU,brigham-young,Jared McGregor,jared mcgregor,FR,G,6-3,180,https://www.sports-reference.com/cbb/players/jared-mcgregor-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2023.html,not_on_previous_roster,cached,,,,,FALSE,,returning_or_freshman
2022-23,BYU,brigham-young,Jaxson Robinson,jaxson robinson,SO,G,6-7,193,https://www.sports-reference.com/cbb/players/jaxson-robinson-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2023.html,not_on_previous_roster,cached,2021-22,Arkansas,SEC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2022-23,BYU,brigham-young,Noah Waterman,noah waterman,JR,F,6-11,210,https://www.sports-reference.com/cbb/players/noah-waterman-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2023.html,not_on_previous_roster,cached,2021-22,Detroit Mercy,Horizon,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2022-23,BYU,brigham-young,Richie Saunders,richie saunders,FR,G,6-5,200,https://www.sports-reference.com/cbb/players/richie-saunders-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2023.html,not_on_previous_roster,cached,,,,,FALSE,,returning_or_freshman
