first_wcc_season,destination_school,destination_school_slug,player_name,player_key,class,position,height,weight,sports_reference_player_url,roster_cache_path,previous_team_roster_status,profile_cache_status,profile_prior_season,profile_prior_school,profile_prior_conf,profile_prior_level_guess,profile_transfer_candidate,candidate_action,audit_status,recommended_action
2022-23,BYU,brigham-young,Tredyn Christensen,tredyn christensen,SR,G,6-7,235,https://www.sports-reference.com/cbb/players/tredyn-christensen-1.html,data/cache/sports_reference_wcc_schools/brigham-young_2023.html,not_on_previous_roster,cached,2021-22,Did not play - non-major team,,D2,True,find_source_stats_or_review,possible_transfer,find source stats; include if D2 source stats available
2022-23,Gonzaga,gonzaga,Dominick Harris,dominick harris,SO,G,6-3,190,https://www.sports-reference.com/cbb/players/dominick-harris-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2023.html,not_on_previous_roster,cached,2021-22,Did not play - injury/redshirt,,NO_STATS,True,find_source_stats_or_review,possible_transfer,exclude unless earlier playable source season is found
2023-24,Gonzaga,gonzaga,Graham Ike,graham ike,JR,F,6-9,245,https://www.sports-reference.com/cbb/players/graham-ike-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2024.html,not_on_previous_roster,cached,2022-23,Did not play - injury/redshirt,,NO_STATS,True,find_source_stats_or_review,possible_transfer,exclude unless earlier playable source season is found
2023-24,Gonzaga,gonzaga,Joe Few,joe few,SO,G,6-0,160,https://www.sports-reference.com/cbb/players/joe-few-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2024.html,not_on_previous_roster,cached,2022-23,Did not play - injury/redshirt,,NO_STATS,True,find_source_stats_or_review,possible_transfer,exclude unless earlier playable source season is found
2023-24,Gonzaga,gonzaga,Jun Seok Yeo,jun seok yeo,SO,F,6-8,215,https://www.sports-reference.com/cbb/players/jun-seok-yeo-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2024.html,not_on_previous_roster,cached,2022-23,Did not play - overseas,,,True,find_source_stats_or_review,possible_transfer,manual classification needed
2024-25,Gonzaga,gonzaga,Joaquim ArauzMoore,joaquim arauzmoore,SO,G,6-1,170,https://www.sports-reference.com/cbb/players/joaquim-arauzmoore-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2025.html,not_on_previous_roster,cached,2023-24,Did not play - dnp,,NO_STATS,True,find_source_stats_or_review,possible_transfer,exclude unless earlier playable source season is found
2024-25,Gonzaga,gonzaga,Noah Haaland,noah haaland,JR,F,6-9,245,https://www.sports-reference.com/cbb/players/noah-haaland-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2025.html,not_on_previous_roster,cached,2023-24,Did not play - juco,,JUCO,True,find_source_stats_or_review,possible_transfer,exclude for first WCC model unless we decide to support JUCO
2023-24,Loyola Marymount,loyola-marymount,Kevin Carney,kevin carney,SO,G,5-11,160,https://www.sports-reference.com/cbb/players/kevin-carney-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2024.html,not_on_previous_roster,cached,2022-23,Did not play - dnp,,NO_STATS,True,find_source_stats_or_review,possible_transfer,exclude unless earlier playable source season is found
2023-24,Loyola Marymount,loyola-marymount,Noah Taitz,noah taitz,JR,G,6-3,185,https://www.sports-reference.com/cbb/players/noah-taitz-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2024.html,not_on_previous_roster,cached,2022-23,Did not play - injury/redshirt,,NO_STATS,True,find_source_stats_or_review,possible_transfer,exclude unless earlier playable source season is found
2024-25,Loyola Marymount,loyola-marymount,Jovan Ristic,jovan ristic,SO,F,6-5,205,https://www.sports-reference.com/cbb/players/jovan-ristic-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2025.html,not_on_previous_roster,cached,2023-24,Did not play - redshirt,,NO_STATS,True,find_source_stats_or_review,possible_transfer,exclude unless earlier playable source season is found
2022-23,Pacific,pacific,Cam Denson,cam denson,JR,F,6-7,210,https://www.sports-reference.com/cbb/players/cam-denson-1.html,data/cache/sports_reference_wcc_schools/pacific_2023.html,not_on_previous_roster,cached,2021-22,Did not play - juco,,JUCO,True,find_source_stats_or_review,possible_transfer,exclude for first WCC model unless we decide to support JUCO
2022-23,Pacific,pacific,Makai Richards,makai richards,FR,F,6-10,225,https://www.sports-reference.com/cbb/players/makai-richards-2.html,data/cache/sports_reference_wcc_schools/pacific_2023.html,not_on_previous_roster,cached,2021-22,Did not play - redshirt,,NO_STATS,True,find_source_stats_or_review,possible_transfer,exclude unless earlier playable source season is found
2024-25,Pacific,pacific,Andrew McKenna,andrew mckenna,SO,F,6-7,215,https://www.sports-reference.com/cbb/players/andrew-mckenna-1.html,data/cache/sports_reference_wcc_schools/pacific_2025.html,not_on_previous_roster,cached,2023-24,Did not play - juco,,JUCO,True,find_source_stats_or_review,possible_transfer,exclude for first WCC model unless we decide to support JUCO
2024-25,Pacific,pacific,Elias Ralph,elias ralph,SR,F,6-7,212,https://www.sports-reference.com/cbb/players/elias-ralph-1.html,data/cache/sports_reference_wcc_schools/pacific_2025.html,not_on_previous_roster,cached,2023-24,Did not play - canada,,,True,find_source_stats_or_review,possible_transfer,manual classification needed
2024-25,Pacific,pacific,Jefferson Koulibaly,jefferson koulibaly,JR,G,6-3,180,https://www.sports-reference.com/cbb/players/jefferson-koulibaly-1.html,data/cache/sports_reference_wcc_schools/pacific_2025.html,not_on_previous_roster,cached,2023-24,Did not play - injury/redshirt,,NO_STATS,True,find_source_stats_or_review,possible_transfer,exclude unless earlier playable source season is found
