player_name,target_conference,source_school,source_conference,source_level,destination_school,first_big_west_season,actual,cv_prediction,cv_error,abs_error,source_games,source_mpg,source_ppg,source_rpg,source_apg,source_pts_per_40,source_reb_per_40,source_ast_per_40,source_conf_power,destination_conf_power,conf_power_delta,position,height_in,weight_lbs,outcome_tier,initial_tags,suggested_review_reason,source_url,outcome_url
Jonathan Mogbo,WCC,Missouri State,MVC,D1,San Francisco,2023-24,8.46,1.7784879698236915,-6.681512030176309,6.681512030176309,30,24.4,8.0,7.0,1.4,13.114754098360656,11.475409836065577,2.295081967213115,31.81,34.66,2.849999999999998,F,6-8,225.0,Target-conference impact starter,under_predicted_breakout;real_prior_role_underweighted;star_outcome_missed,"Player already had real minutes, but model still missed the breakout.",https://www.sports-reference.com/cbb/players/jonathan-mogbo-1.html,https://www.sports-reference.com/cbb/players/jonathan-mogbo-1.html
Brandin Podziemski,WCC,Illinois,Big Ten,D1,Santa Clara,2022-23,6.78,0.4624813138460849,-6.317518686153916,6.317518686153916,16,4.3,1.4,0.9,0.3,13.023255813953488,8.372093023255815,2.7906976744186047,43.51,36.74,-6.769999999999996,G,6-5,200.0,Target-conference impact starter,under_predicted_breakout;low_source_minutes;star_outcome_missed,Prior box score understated player because source role was tiny.,https://www.sports-reference.com/cbb/players/brandin-podziemski-1.html,https://www.sports-reference.com/cbb/players/brandin-podziemski-1.html
Chuck Bailey,Mountain West,Evansville,MVC,D1,Nevada,2024-25,-3.29,2.352871229388199,5.642871229388199,5.642871229388199,34,18.5,8.4,2.6,0.8,18.16216216216216,5.621621621621622,1.7297297297297298,33.86,37.82,3.960000000000001,G,6-5,185.0,Limited target-conference role,over_predicted_translation;negative_outcome_overpredicted,"Model projected a playable outcome, but target-conference performance was negative.",https://www.sports-reference.com/cbb/players/chuck-bailey-iii-1.html,https://www.sports-reference.com/cbb/players/chuck-bailey-iii-1.html
Jalen Warley,WCC,Florida State,ACC,D1,Gonzaga,2025-26,6.86,2.0476678925984624,-4.812332107401538,4.812332107401538,33,24.1,7.5,2.6,2.8,12.448132780082986,4.3153526970954355,4.647302904564315,41.65,35.95,-5.699999999999996,G,6-6,200.0,Target-conference starter/plus rotation,under_predicted_breakout;real_prior_role_underweighted,"Player already had real minutes, but model still missed the breakout.",https://www.sports-reference.com/cbb/players/jalen-warley-1.html,https://www.sports-reference.com/cbb/players/jalen-warley-1.html
Assane Diop,WCC,Colorado,Big 12,D1,San Diego,2025-26,-0.93,3.8174956377093,4.7474956377093,4.7474956377093,35,15.1,3.8,3.7,0.8,10.066225165562914,9.80132450331126,2.119205298013245,45.35,35.95,-9.4,F,6-10,210.0,Limited target-conference role,over_predicted_translation,over_predicted_translation,https://www.sports-reference.com/cbb/players/assane-diop-2.html,https://www.sports-reference.com/cbb/players/assane-diop-2.html
Lesown Hallums,WCC,South Carolina State,MEAC,D1,Pacific,2023-24,-3.42,1.2186699913138608,4.6386699913138605,4.6386699913138605,24,26.5,10.6,3.2,2.0,16.0,4.830188679245283,3.018867924528302,22.52,34.66,12.139999999999995,G,6-2,180.0,Limited target-conference role,over_predicted_translation;large_jump_up_overvalued;negative_outcome_overpredicted,"Model projected a playable outcome, but target-conference performance was negative.",https://www.sports-reference.com/cbb/players/lesown-hallums-1.html,https://www.sports-reference.com/cbb/players/lesown-hallums-1.html
Nique Clifford,Mountain West,Colorado,Pac-12,D1,Colorado State,2023-24,6.32,1.8170557702830168,-4.5029442297169835,4.5029442297169835,35,21.8,5.9,3.9,1.5,10.825688073394495,7.155963302752293,2.7522935779816513,40.74,38.07,-2.6700000000000017,G,6-5,175.0,Target-conference impact starter,under_predicted_breakout;real_prior_role_underweighted;star_outcome_missed,"Player already had real minutes, but model still missed the breakout.",https://www.sports-reference.com/cbb/players/nique-clifford-1.html,https://www.sports-reference.com/cbb/players/nique-clifford-1.html
A.J. George,Big West,SMU,ACC,D1,Cal State Bakersfield,2025-26,-3.03,1.358448829840115,4.388448829840115,4.388448829840115,22,6.5,2.0,1.0,0.2,12.307692307692308,6.153846153846154,1.2307692307692308,40.65,29.37,-11.279999999999998,F,77.0,210.0,Limited target-conference role,over_predicted_translation;low_source_minutes;negative_outcome_overpredicted,"Model projected a playable outcome, but target-conference performance was negative.",https://www.sports-reference.com/cbb/schools/southern-methodist/men/2025.html,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2026.html
"Carl Daughtery, Jr.",Big West,Central Arkansas,ASUN,D1,UC Davis,2024-25,-3.43,0.8495839092379612,4.279583909237961,4.279583909237961,29,19.2,9.9,2.7,0.3,20.625,5.625,0.625,27.08,30.41,3.330000000000002,G,75.0,170.0,Limited target-conference role,over_predicted_translation;negative_outcome_overpredicted,"Model projected a playable outcome, but target-conference performance was negative.",https://www.sports-reference.com/cbb/schools/central-arkansas/men/2024.html,https://ucdavisaggies.com/sports/mens-basketball/stats/2024-25
Emmanuel Stephen,Mountain West,Arizona,Big 12,D1,UNLV,2025-26,-2.02,2.258431073539402,4.2784310735394016,4.2784310735394016,8,3.0,1.3,1.3,0.1,17.333333333333332,17.333333333333332,1.3333333333333333,45.35,37.82,-7.530000000000001,F,6-11,230.0,Limited target-conference role,over_predicted_translation;low_source_minutes;negative_outcome_overpredicted,"Model projected a playable outcome, but target-conference performance was negative.",https://www.sports-reference.com/cbb/players/emmanuel-stephen-1.html,https://www.sports-reference.com/cbb/players/emmanuel-stephen-1.html
