target_conference,player_name,source_school,source_conference,source_level,destination_school,first_big_west_season,target,actual,cv_prediction,cv_error,best_model,player_slug,source_season,source_stat_source,position,height_in,weight_lbs,source_games,source_mpg,source_minutes_share,source_ppg,source_rpg,source_apg,source_pts_per_40,source_reb_per_40,source_ast_per_40,source_conf_power,destination_conf_power,conf_power_delta,outcome_tier,source_url,outcome_url,abs_error,under_predicted,over_predicted
Big West,E.J. Anosike,Tennessee,SEC,D1,Cal State Fullerton,2021-22,bpr,3.23,0.3679365682679409,-2.862063431732059,histgb_lr_0.03_leaves_4_l2_1.0,ej-anosike,2020-21,target_conference_common_box,F,79.0,236.0,22,8.5,0.2125,1.7,1.9,0.3,8.0,8.941176470588236,1.411764705882353,40.37,28.77,-11.599999999999998,Target-conference impact starter,https://www.sports-reference.com/cbb/schools/tennessee/men/2021.html,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2022.html,2.862063431732059,True,False
Big West,Hamad Mousa,Dayton,Atlantic 10,D1,Cal Poly,2025-26,bpr,2.08,-1.051891658451619,-3.131891658451619,histgb_lr_0.03_leaves_4_l2_1.0,hamad-mousa,2024-25,target_conference_common_box,G,80.0,190.0,20,7.6,0.19,1.3,0.5,0.4,6.842105263157895,2.6315789473684212,2.1052631578947367,34.66,29.37,-5.289999999999996,Target-conference impact starter,https://www.sports-reference.com/cbb/schools/dayton/men/2025.html,https://www.sports-reference.com/cbb/schools/cal-poly/men/2026.html,3.131891658451619,True,False
Big West,Dominic Brewton,Alcorn State,SWAC,D1,Cal State Fullerton,2023-24,bpr,0.53,1.0570205354720397,0.5270205354720396,histgb_lr_0.03_leaves_4_l2_1.0,dominic-brewton,2022-23,target_conference_common_box,G,75.0,185.0,27,25.7,0.6425,12.0,3.7,1.7,18.67704280155642,5.7587548638132295,2.6459143968871595,21.82,29.59,7.77,Target-conference impact starter,https://www.sports-reference.com/cbb/schools/alcorn-state/men/2023.html,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2024.html,0.5270205354720396,False,True
Big West,"Larry Hughes, Jr.",Saint Louis,Atlantic 10,D1,Cal State Northridge,2025-26,bpr,1.53,0.151555218531049,-1.3784447814689509,histgb_lr_0.03_leaves_4_l2_1.0,larry-hughes-jr,2024-25,target_conference_common_box,G,76.0,175.0,7,15.1,0.3775,4.7,2.1,0.7,12.450331125827814,5.562913907284768,1.8543046357615895,34.66,29.37,-5.289999999999996,Target-conference impact starter,https://www.sports-reference.com/cbb/schools/saint-louis/men/2025.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2026.html,1.3784447814689509,True,False
Big West,Stephan Swenson,Stetson,ASUN,D1,UC Santa Barbara,2024-25,bpr,5.0,3.097997750808496,-1.902002249191504,histgb_lr_0.03_leaves_4_l2_1.0,stephan-swenson,2023-24,target_conference_common_box,G,74.0,195.0,35,33.3,0.8324999999999999,13.9,4.7,5.8,16.696696696696698,5.645645645645646,6.966966966966967,27.08,30.41,3.330000000000002,Target-conference impact starter,https://www.sports-reference.com/cbb/schools/stetson/men/2024.html,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2025.html,1.902002249191504,True,False
Big West,Aniwaniwa Tait-Jones,Hawaii–Hilo,PacWest,D2,UC San Diego,2023-24,bpr,2.55,0.9535776058201156,-1.5964223941798843,histgb_lr_0.03_leaves_4_l2_1.0,aniwaniwa-tait-jones,2022-23,target_conference_common_box,W,78.0,205.0,23,32.73913043478261,0.8184782608695652,17.608695652173914,9.173913043478262,3.4782608695652173,21.51394422310757,11.208499335989378,4.249667994687915,13.16,29.59,16.43,Target-conference impact starter,https://hiloathletics.com/sports/mens-basketball/stats/2022-23,https://www.sports-reference.com/cbb/players/aniwaniwa-tait-jones-1.html,1.5964223941798843,True,False
Big West,Joel Murray,West Texas A&M,LSC,D2,Long Beach State,2021-22,bpr,1.5,1.0892370661268829,-0.4107629338731171,histgb_lr_0.03_leaves_4_l2_1.0,joel-murray,2020-21,target_conference_common_box,G,72.0,170.0,22,35.45454545454545,0.8863636363636364,23.318181818181817,6.181818181818182,4.181818181818182,26.307692307692307,6.9743589743589745,4.717948717948717,13.24,28.77,15.53,Target-conference impact starter,https://gobuffsgo.com/sports/mens-basketball/stats/2020-21,https://www.sports-reference.com/cbb/players/joel-murray-1.html,0.4107629338731171,True,False
Big West,"Marcus Adams, Jr.",Brigham Young,Big XII,D1,Cal State Northridge,2024-25,bpr,4.1,1.2107612584139402,-2.889238741586059,histgb_lr_0.03_leaves_4_l2_1.0,marcus-adams-jr,2023-24,target_conference_common_box,F,80.0,195.0,1,8.0,0.2,2.0,2.0,1.0,10.0,10.0,5.0,44.56,30.41,-14.150000000000002,Target-conference impact starter,https://www.sports-reference.com/cbb/schools/brigham-young/men/2024.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2025.html,2.889238741586059,True,False
Big West,Max Jones,Tampa,SSC,D2,Cal State Fullerton,2022-23,bpr,1.8,-0.0726037499243788,-1.8726037499243788,histgb_lr_0.03_leaves_4_l2_1.0,max-jones,2021-22,target_conference_common_box,G,77.0,205.0,21,33.04761904761905,0.8261904761904763,21.904761904761905,4.476190476190476,2.7142857142857144,26.51296829971181,5.4178674351585006,3.2853025936599423,16.99,29.79,12.8,Target-conference impact starter,https://www.tampaspartans.com/sports/mbkb/2021-22/players/maxjonesdgr9?view=career,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2023.html,1.8726037499243788,True,False
Big West,Devin Askew,California,PAC 12,D1,Long Beach State,2024-25,bpr,0.58,0.1400291426138247,-0.4399708573861752,histgb_lr_0.03_leaves_4_l2_1.0,devin-askew,2023-24,target_conference_common_box,G,77.0,195.0,6,24.3,0.6075,6.2,4.2,2.5,10.205761316872428,6.91358024691358,4.11522633744856,41.26,30.41,-10.849999999999998,Target-conference impact starter,https://www.sports-reference.com/cbb/schools/california/men/2024.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2025.html,0.4399708573861752,True,False
Big West,Owen Koonce,Colorado Mesa,RMAC,D2,Cal Poly,2024-25,bpr,2.02,1.946179612073183,-0.0738203879268173,histgb_lr_0.03_leaves_4_l2_1.0,owen-koonce,2023-24,target_conference_common_box,G,77.0,195.0,34,24.558823529411764,0.6139705882352942,13.235294117647058,3.911764705882353,1.7647058823529411,21.556886227544908,6.37125748502994,2.874251497005988,14.68,30.41,15.73,Target-conference impact starter,https://cmumavericks.com/sports/mens-basketball/stats/2023-24,https://www.sports-reference.com/cbb/players/owen-koonce-1.html,0.0738203879268173,True,False
Big West,Petar Majstorović,Syracuse,ACC,D1,Long Beach State,2025-26,bpr,2.52,1.4086069531939125,-1.1113930468060875,histgb_lr_0.03_leaves_4_l2_1.0,petar-majstorovi,2024-25,target_conference_common_box,F,80.0,215.0,31,13.3,0.3325,2.6,3.2,0.7,7.819548872180451,9.62406015037594,2.1052631578947367,40.65,29.37,-11.279999999999998,Target-conference impact starter,https://www.sports-reference.com/cbb/schools/syracuse/men/2025.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2026.html,1.1113930468060875,True,False
Big West,Hayden Gray,Azusa Pacific,PacWest,D2,UC San Diego,2023-24,bpr,2.18,2.250382465650477,0.0703824656504767,histgb_lr_0.03_leaves_4_l2_1.0,hayden-gray,2022-23,target_conference_common_box,G,76.0,185.0,30,26.833333333333332,0.6708333333333333,10.0,3.033333333333333,3.8,14.906832298136647,4.521739130434782,5.6645962732919255,13.16,29.59,16.43,Target-conference impact starter,https://athletics.apu.edu/sports/mens-basketball/stats/2022-23,https://www.sports-reference.com/cbb/players/hayden-gray-1.html,0.0703824656504767,False,True
Big West,Joshua Ward,Palm Beach Atlantic,SSC,D2,Cal State Fullerton,2025-26,bpr,1.52,1.827294741481967,0.3072947414819666,histgb_lr_0.03_leaves_4_l2_1.0,joshua-ward,2024-25,target_conference_common_box,G,73.0,175.0,29,32.13793103448276,0.803448275862069,14.96551724137931,5.0344827586206895,4.0344827586206895,18.626609442060083,6.266094420600858,5.021459227467811,14.22,29.37,15.15,Target-conference impact starter,https://pbasailfish.com/sports/mens-basketball/stats/2024-25,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2026.html,0.3072947414819666,False,True
Big West,Tom Beattie,Hawaii,Big West,D1,UC San Diego,2025-26,bpr,1.77,-0.4011870812155876,-2.171187081215588,histgb_lr_0.03_leaves_4_l2_1.0,tom-beattie,2024-25,target_conference_common_box,G,77.0,195.0,31,26.1,0.6525000000000001,7.4,2.5,1.6,11.340996168582375,3.8314176245210727,2.4521072796934864,30.41,29.37,-1.0399999999999991,Target-conference impact starter,https://www.sports-reference.com/cbb/schools/hawaii/men/2025.html,https://www.sports-reference.com/cbb/schools/california-san-diego/men/2026.html,2.171187081215588,True,False
Big West,Justin McKoy,North Carolina,ACC,D1,Hawaii,2023-24,bpr,1.42,0.743691974968353,-0.6763080250316469,histgb_lr_0.03_leaves_4_l2_1.0,justin-mckoy,2022-23,target_conference_common_box,F,80.0,220.0,11,5.4,0.135,1.7,1.2,0.1,12.592592592592592,8.888888888888888,0.7407407407407407,39.87,29.59,-10.279999999999998,Target-conference impact starter,https://www.sports-reference.com/cbb/schools/north-carolina/men/2023.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2024.html,0.6763080250316469,True,False
Big West,Aidan Mahaney,Connecticut,Big East,D1,UC Santa Barbara,2025-26,bpr,0.93,1.0750038637418533,0.1450038637418532,histgb_lr_0.03_leaves_4_l2_1.0,aidan-mahaney,2024-25,target_conference_common_box,G,75.0,185.0,34,12.4,0.31,4.5,0.8,1.3,14.516129032258064,2.5806451612903225,4.193548387096774,43.33,29.37,-13.959999999999996,Target-conference impact starter,https://www.sports-reference.com/cbb/schools/connecticut/men/2025.html,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2026.html,0.1450038637418532,False,True
Big West,Andrew Henderson,Cal State San Bernardino,CCAA,D2,UC Riverside,2025-26,bpr,0.16,0.7608631199137345,0.6008631199137344,histgb_lr_0.03_leaves_4_l2_1.0,andrew-henderson,2024-25,target_conference_common_box,G,77.0,210.0,35,33.8,0.845,17.257142857142856,6.8,1.5142857142857142,20.422654268808113,8.04733727810651,1.7920540997464076,13.01,29.37,16.36,Target-conference starter/plus rotation,https://csusbathletics.com/sports/mens-basketball/stats/2024-25,https://www.sports-reference.com/cbb/players/andrew-henderson-1.html,0.6008631199137344,False,True
Big West,Isaac Jessup,Colorado Mesa,RMAC,D2,Cal Poly,2024-25,bpr,3.46,0.8982341703593947,-2.5617658296406054,histgb_lr_0.03_leaves_4_l2_1.0,isaac-jessup,2023-24,target_conference_common_box,G,74.0,194.0,34,24.941176470588236,0.6235294117647059,10.147058823529411,2.764705882352941,2.4411764705882355,16.27358490566038,4.433962264150944,3.915094339622642,14.68,30.41,15.73,Target-conference impact starter,https://cmumavericks.com/sports/mens-basketball/stats/2023-24,https://www.sports-reference.com/cbb/players/isaac-jessup-1.html,2.5617658296406054,True,False
