target,source_conference,rows,mae,median_abs_error,mean_error,actual_mean,prediction_mean
bpm,Mountain East,1,5.926070732439545,5.926070732439545,5.926070732439545,-7.3,-1.3739292675604546
bpm,PAC 12,9,5.530542215223113,1.7175640772255985,-3.7319089888186188,2.777777777777778,-0.9541312110408404
bpm,West Coast,10,4.997904080568621,3.3249965532670838,3.1329249564122077,-3.47,-0.33707504358779267
bpm,United East,1,4.557451678769047,4.557451678769047,4.557451678769047,-9.0,-4.442548321230953
bpm,Southern,7,4.536477749760139,2.3653352926597813,1.4685752305772743,-1.128571428571429,0.3400038020058451
bpm,Big Ten,21,4.3351878586227794,4.093223635262992,-0.34290877968065653,0.7571428571428572,0.41423407746220064
bpm,SIAC,1,3.87882636018353,3.87882636018353,3.87882636018353,-4.7,-0.82117363981647
bpm,Mountain West,9,3.7560744099493197,4.46431985809558,-0.07505493128364232,-1.2666666666666666,-1.341721597950309
bpm,MWC,34,3.6764285535761907,2.408856443082913,1.4991337994514669,-0.6647058823529411,0.8344279170985258
bpm,Big Sky,13,3.560959070776352,3.1757231312585223,0.6382059678856071,-1.0769230769230769,-0.43871710903746997
bpm,GAC,2,3.404774307581099,3.404774307581099,-1.1671883748868146,1.35,0.18281162511318533
bpm,OVC,6,3.388647937298298,3.0912432959006173,0.8700320960312607,-0.06666666666666672,0.803365429364594
bpm,SEC,19,3.3710880559534586,3.227729600058395,-0.8286303584541288,1.068421052631579,0.23979069417745005
bpm,Big XII,5,3.3529896294233508,3.021464863666238,-2.9604003332308793,2.94,-0.020400333230879353
bpm,MVC,12,3.3524303315104618,1.629923178807442,1.2071999459585727,-0.4416666666666667,0.7655332792919061
bpm,Patriot,9,3.2286148416598714,3.945383795266797,-1.0444724027524777,1.1222222222222222,0.07774981946974456
bpm,MEAC,4,3.204513137599981,3.2170749676317127,3.019195873288876,-3.4,-0.38080412671112374
bpm,American,4,3.1809492723109187,2.944722701913933,0.07285010683370796,-1.5499999999999998,-1.4771498931662919
bpm,Ivy,4,3.0866187669909038,3.3126290293370984,1.2085368494764168,-1.7999999999999998,-0.591463150523583
bpm,WAC,18,2.978318597676126,1.7682163547965195,-1.2473353928375948,2.038888888888889,0.7915534960512942
bpm,GLVC,3,2.977846333802148,2.0866365499859407,0.9188893010685572,-1.2333333333333334,-0.3144440322647761
bpm,Big 12,19,2.904613593694512,2.5220827612462906,-0.8849831121171001,1.894736842105263,1.0097537299881632
bpm,CUSA,11,2.8683981950603723,3.1957817110714632,-0.08590784603766446,0.8818181818181817,0.7959103357805174
bpm,Atlantic 10,9,2.7925567616409754,2.5652786124042892,-2.091788069181692,-0.1222222222222222,-2.2140102914039144
bpm,Missouri Valley,4,2.727984854596392,2.9260199553438064,2.727984854596392,-3.8249999999999997,-1.0970151454036081
bpm,AAC,13,2.6560320960572334,2.421981545263365,-1.6798529780177334,1.7846153846153845,0.1047624065976512
bpm,CCAA,7,2.6119110325416903,2.008681370042245,0.6610526855526538,-1.8714285714285717,-1.2103758858759175
bpm,MAAC,12,2.609163068159803,2.3536988200275966,0.29332345080368727,7.401486830834377e-17,0.2933234508036872
bpm,LSC,3,2.5961979336936243,1.5602726093322288,1.7949415825827912,-2.1666666666666665,-0.37172508408387533
bpm,Ind,1,2.5164294096896573,2.5164294096896573,2.5164294096896573,-1.0,1.5164294096896571
bpm,CAA,6,2.4633276172196643,2.0758536523270648,0.9956878934180594,-0.9333333333333332,0.062354560084726084
bpm,Pac-12,27,2.4416697063150985,1.7001437959099637,0.853006695489258,-0.24074074074074064,0.6122659547485172
bpm,SWAC,5,2.4330942281869077,2.515134607190826,0.12414995358320331,-2.5,-2.3758500464167964
bpm,ACC,20,2.4254720498521563,2.184923647385215,-1.040459173990688,1.405,0.3645408260093118
bpm,Big West,26,2.321393078147585,1.9980956343090233,-0.12985884490319025,-0.40384615384615385,-0.5337049987493441
