target,target_conference,source_level,rows,mae,median_abs_error,mean_error,actual_mean,prediction_mean
bpm,Atlantic 10,D1,60,3.5021615005036093,2.089631099953911,1.265224490390634,-0.6449999999999999,0.620224490390634
bpm,WCC,D2,6,3.4142137736007743,2.963285730314421,1.5611091306978542,-3.75,-2.1888908693021456
bpm,Big West,D1,114,2.9376193994534754,1.9245218324335172,0.017844487147402686,-1.087719298245614,-1.0698748110982113
bpm,Mountain West,D1,145,2.8890508695337753,2.350654639165831,-0.95051932688721,1.8379310344827586,0.8874117075955487
bpm,American,D1,10,2.648387493960999,2.8052686138734533,0.7514698972091932,-0.20999999999999988,0.5414698972091934
bpm,WCC,D1,127,2.484135176880573,1.854040674561051,0.13827187425570128,0.17637795275590554,0.3146498270116068
bpm,Big West,D2,31,2.400685518910657,2.0866365499859407,0.004427016444024259,-0.6548387096774194,-0.6504116932333951
bpm,Missouri Valley,D1,9,2.0001600351146376,2.30019743474089,1.1858264787687882,-0.5777777777777778,0.6080487009910105
bpm_percentile,WCC,D2,6,36.361628193205135,38.742903608935414,11.377778807414648,28.336653386454184,39.71443219386884
bpm_percentile,Atlantic 10,D1,60,23.266348328832724,23.2686730337612,-0.29897756951756055,53.082669322709165,52.783691753191604
bpm_percentile,American,D1,10,22.405396237154825,22.74716814785007,3.19991365713096,45.50796812749004,48.707881784621
bpm_percentile,Mountain West,D1,145,21.639926107669492,18.729385455748584,-1.9924971592313545,62.889133122681685,60.896635963450336
bpm_percentile,Big West,D2,31,20.62811263411877,21.282886372568537,2.5934599445842084,43.56123891530652,46.15469885989072
bpm_percentile,WCC,D1,127,20.511174773037137,19.556410202529676,2.6561214715147017,48.47695830849829,51.13307978001299
bpm_percentile,Big West,D1,114,20.108619471324154,16.754324410712332,0.9251304184452224,38.081882994338436,39.00701341278366
bpm_percentile,Missouri Valley,D1,9,18.783808721825096,22.490151336006363,1.0492454877397046,41.412129260734844,42.46137474847454
bpr,WCC,D2,2,2.0521447775737545,2.0521447775737545,2.0521447775737545,-0.5249999999999999,1.5271447775737548
bpr,WCC,D1,92,1.6117431845821457,1.4295684181714141,0.12445518450152215,1.2415217391304347,1.365976923631957
bpr,Mountain West,D1,106,1.5252794893476869,1.2870213384676805,-0.2377341186023624,2.0815094339622644,1.843775315359902
bpr,Big West,D1,97,1.4816169152561633,1.1013068071371976,0.1958782483534356,0.14484536082474228,0.34072360917817784
bpr,Atlantic 10,D1,44,1.378451017869534,1.2104762167674252,-0.3288187219540308,1.9020454545454546,1.5732267325914238
bpr,American,D1,6,1.2138511503277993,0.9403182832821477,0.12453195640762683,0.8983333333333333,1.0228652897409602
bpr,Big West,D2,24,1.1412705836202843,0.8152060593050837,0.16804921260374164,0.7466666666666667,0.9147158792704083
bpr,Missouri Valley,D1,8,1.0178538487765803,1.0187536683849223,-0.31775234492774385,0.9325,0.6147476550722561
porpag,American,D1,10,1.1545657733962522,1.0956189689807407,0.15282006505807016,1.34307197,1.4958920350580702
porpag,Mountain West,D1,140,1.0256168994182189,0.894979321791057,-0.11647773515480765,1.497792848,1.3813151128451924
porpag,Big West,D2,30,0.9362200968981542,0.7526334112745465,-0.06142054240279585,1.11478734,1.053366797597204
porpag,Big West,D1,111,0.9332744282394398,0.887394318022928,0.03979642430525179,0.9661896981981982,1.00598612250345
porpag,WCC,D1,122,0.8763506805445724,0.7710975870203656,0.08645992594039462,1.2605921179590165,1.347052043899411
porpag,Atlantic 10,D1,58,0.835264453587161,0.7728634548457332,0.07964365506573977,1.3449743637931035,1.4246180188588433
porpag,Missouri Valley,D1,9,0.7473484277261743,0.753689431012827,0.21478422741640307,1.2089606666666668,1.4237448940830697
porpag,WCC,D2,6,0.5993200201428686,0.6258303776380572,0.27937548035085497,0.14206516666666663,0.4214406470175216
