target_conference,player_name,source_school,source_conference,source_level,destination_school,first_big_west_season,target,actual,cv_prediction,cv_error,best_model,player_slug,source_season,source_stat_source,position,height_in,weight_lbs,source_games,source_mpg,source_minutes_share,source_ppg,source_rpg,source_apg,source_pts_per_40,source_reb_per_40,source_ast_per_40,source_conf_power,destination_conf_power,conf_power_delta,outcome_tier,source_url,outcome_url,abs_error,under_predicted,over_predicted
Atlantic 10,Connor Odom,Utah State,MWC,D1,VCU,2023-24,bpm,-41.3,-3.4650405165479303,37.83495948345207,elastic_alpha_0.3_l1_0.35,connor odom,2022-23,target_conference_common_box,G,5-11,155.0,4,0.8,0.02,0.0,0.0,0.0,0.0,0.0,0.0,38.01,35.42,-2.5899999999999963,Limited target-conference role,https://www.sports-reference.com/cbb/players/connor-odom-1.html,https://www.sports-reference.com/cbb/players/connor-odom-1.html,37.83495948345207,False,True
Big West,Ryan Rapp,Washington State,PAC 12,D1,Hawaii,2022-23,bpm,35.2,-2.6124425530381115,-37.81244255303812,elastic_alpha_0.3_l1_0.35,ryan-rapp,2021-22,target_conference_common_box,G,77.0,189.0,16,4.6,0.1149999999999999,1.2,0.8,0.2,10.434782608695652,6.9565217391304355,1.7391304347826089,40.79,29.79,-11.0,Limited target-conference role,https://www.sports-reference.com/cbb/schools/washington-state/men/2022.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2023.html,37.81244255303812,True,False
Big West,Matija Svetozarević,Portland,West Coast,D1,Hawaii,2022-23,bpm,-25.6,-1.6219556625686986,23.978044337431303,elastic_alpha_0.3_l1_0.35,matija-svetozarevi,2021-22,target_conference_common_box,G,79.0,215.0,23,9.7,0.2425,2.6,1.7,0.5,10.721649484536083,7.010309278350516,2.061855670103093,36.71,29.79,-6.920000000000002,Limited target-conference role,https://www.sports-reference.com/cbb/schools/portland/men/2022.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2023.html,23.978044337431303,False,True
Mountain West,Braden Housley,Southern Utah,WAC,D1,Utah State,2024-25,bpm,21.3,1.208428582379817,-20.091571417620184,elastic_alpha_0.3_l1_0.35,braden housley,2023-24,target_conference_common_box,G,6-4,180.0,31,34.7,0.8675,10.8,3.5,3.6,12.449567723342938,4.034582132564841,4.14985590778098,31.41,37.82,6.41,Limited target-conference role,https://www.sports-reference.com/cbb/players/braden-housley-1.html,https://www.sports-reference.com/cbb/players/braden-housley-1.html,20.091571417620184,True,False
Atlantic 10,Richard Amaefule,East Tennessee State,Southern,D1,Dayton,2022-23,bpm,-20.8,-2.0294907817618917,18.77050921823811,elastic_alpha_0.3_l1_0.35,richard amaefule,2020-21,target_conference_common_box,F,6-9,230.0,19,8.3,0.2075,1.5,2.4,0.2,7.228915662650602,11.566265060240962,0.9638554216867468,31.55,34.48,2.929999999999996,Limited target-conference role,https://www.sports-reference.com/cbb/players/richard-amaefule-1.html,https://www.sports-reference.com/cbb/players/richard-amaefule-1.html,18.77050921823811,False,True
Atlantic 10,Dominick Harris,UCLA,Big Ten,D1,Loyola Chicago,2025-26,bpm,-14.7,-0.8462361154990534,13.853763884500946,elastic_alpha_0.3_l1_0.35,dominick harris,2024-25,target_conference_common_box,G,6-3,190.0,11,7.4,0.185,1.1,0.6,0.1,5.945945945945946,3.243243243243243,0.5405405405405405,45.57,34.66,-10.910000000000004,Limited target-conference role,https://www.sports-reference.com/cbb/players/dominick-harris-1.html,https://www.sports-reference.com/cbb/players/dominick-harris-1.html,13.853763884500946,False,True
Atlantic 10,Jarvis Moss,Stanford,Pac-12,D1,Davidson,2023-24,bpm,-12.7,-0.2398112818890161,12.460188718110984,elastic_alpha_0.3_l1_0.35,jarvis moss,2022-23,target_conference_common_box,G,6-4,190.0,12,3.8,0.095,1.8,0.8,0.1,18.947368421052634,8.421052631578947,1.0526315789473684,40.74,35.42,-5.32,Limited target-conference role,https://www.sports-reference.com/cbb/players/jarvis-moss-1.html,https://www.sports-reference.com/cbb/players/jarvis-moss-1.html,12.460188718110984,False,True
Mountain West,Jace Whiting,Boise State,MWC,D1,UNLV,2024-25,bpm,-10.0,1.633649235337142,11.633649235337142,elastic_alpha_0.3_l1_0.35,jace whiting,2023-24,target_conference_common_box,G,6-2,185.0,33,14.3,0.3575,3.3,1.7,1.1,9.23076923076923,4.755244755244755,3.0769230769230766,38.07,37.82,-0.25,Limited target-conference role,https://www.sports-reference.com/cbb/players/jace-whiting-1.html,https://www.sports-reference.com/cbb/players/jace-whiting-1.html,11.633649235337142,False,True
Mountain West,Nigel Burris,Idaho,Big Sky,D1,Utah State,2023-24,bpm,-10.5,0.6178382120220238,11.117838212022024,elastic_alpha_0.3_l1_0.35,nigel burris,2022-23,target_conference_common_box,F,6-7,222.0,32,24.6,0.615,8.8,5.0,0.5,14.308943089430894,8.130081300813007,0.8130081300813008,29.15,38.07,8.920000000000002,Limited target-conference role,https://www.sports-reference.com/cbb/players/nigel-burris-1.html,https://www.sports-reference.com/cbb/players/nigel-burris-1.html,11.117838212022024,False,True
WCC,Brandin Podziemski,Illinois,Big Ten,D1,Santa Clara,2022-23,bpm,10.6,-0.358215668415365,-10.958215668415365,elastic_alpha_0.3_l1_0.35,brandin podziemski,2021-22,target_conference_common_box,G,6-5,200.0,16,4.3,0.1075,1.4,0.9,0.3,13.023255813953488,8.372093023255815,2.7906976744186047,43.51,36.74,-6.769999999999996,Target-conference impact starter,https://www.sports-reference.com/cbb/players/brandin-podziemski-1.html,https://www.sports-reference.com/cbb/players/brandin-podziemski-1.html,10.958215668415365,True,False
WCC,Jonathan Mogbo,Missouri State,MVC,D1,San Francisco,2023-24,bpm,11.1,0.7706952590708928,-10.329304740929109,elastic_alpha_0.3_l1_0.35,jonathan mogbo,2022-23,target_conference_common_box,F,6-8,225.0,30,24.4,0.61,8.0,7.0,1.4,13.114754098360656,11.475409836065577,2.295081967213115,31.81,34.66,2.849999999999998,Target-conference impact starter,https://www.sports-reference.com/cbb/players/jonathan-mogbo-1.html,https://www.sports-reference.com/cbb/players/jonathan-mogbo-1.html,10.329304740929109,True,False
WCC,Efton Reid,Louisiana State,SEC,D1,Gonzaga,2022-23,bpm,-7.3,1.6472733469162637,8.947273346916264,elastic_alpha_0.3_l1_0.35,efton reid,2021-22,target_conference_common_box,C,6-11,238.0,34,19.6,0.49,6.3,4.3,0.5,12.857142857142856,8.775510204081632,1.020408163265306,43.14,36.74,-6.399999999999999,Limited target-conference role,https://www.sports-reference.com/cbb/players/efton-reid-1.html,https://www.sports-reference.com/cbb/players/efton-reid-1.html,8.947273346916264,False,True
Mountain West,JT Rock,Iowa State,Big 12,D1,New Mexico,2025-26,bpm,6.6,-2.190695554213485,-8.790695554213485,elastic_alpha_0.3_l1_0.35,jt rock,2024-25,target_conference_common_box,C,7-1,255.0,9,2.3,0.0574999999999999,0.7,0.7,0.0,12.173913043478262,12.173913043478262,0.0,45.35,37.82,-7.530000000000001,Target-conference rotation,https://www.sports-reference.com/cbb/players/jt-rock-1.html,https://www.sports-reference.com/cbb/players/jt-rock-1.html,8.790695554213485,True,False
WCC,Stephen Olowoniyi,Southern Indiana,OVC,D1,Oregon State,2025-26,bpm,-8.5,0.2479920757128652,8.747992075712865,elastic_alpha_0.3_l1_0.35,stephen olowoniyi,2024-25,target_conference_common_box,F,6-8,195.0,30,27.0,0.675,13.9,6.8,0.5,20.59259259259259,10.074074074074074,0.7407407407407407,24.35,35.95,11.6,Limited target-conference role,https://www.sports-reference.com/cbb/players/stephen-olowoniyi-1.html,https://www.sports-reference.com/cbb/players/stephen-olowoniyi-1.html,8.747992075712865,False,True
WCC,Aidan Braccia,Belmont,MVC,D1,San Francisco,2025-26,bpm,-11.4,-2.7695558541423875,8.630444145857613,elastic_alpha_0.3_l1_0.35,aidan braccia,2024-25,target_conference_common_box,G,6-2,165.0,2,4.0,0.1,1.5,0.0,0.5,15.0,0.0,5.0,34.04,35.95,1.9100000000000037,Limited target-conference role,https://www.sports-reference.com/cbb/players/aidan-braccia-1.html,https://www.sports-reference.com/cbb/players/aidan-braccia-1.html,8.630444145857613,False,True
Big West,"Marcus Adams, Jr.",Brigham Young,Big XII,D1,Cal State Northridge,2024-25,bpm,4.3,-3.976084444947948,-8.276084444947948,elastic_alpha_0.3_l1_0.35,marcus-adams-jr,2023-24,target_conference_common_box,F,80.0,195.0,1,8.0,0.2,2.0,2.0,1.0,10.0,10.0,5.0,44.56,30.41,-14.150000000000002,Target-conference impact starter,https://www.sports-reference.com/cbb/schools/brigham-young/men/2024.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2025.html,8.276084444947948,True,False
Big West,Chris Mitchell,Cal State San Bernardino,CCAA,D2,UC Santa Barbara,2024-25,bpm,-9.4,-1.1498400294094693,8.25015997059053,elastic_alpha_0.3_l1_0.35,chris-mitchell,2023-24,target_conference_common_box,G,76.0,200.0,35,31.3,0.7825,16.3,7.3,1.8,20.83067092651757,9.329073482428116,2.3003194888178915,14.85,30.41,15.56,Limited target-conference role,https://csusbathletics.com/sports/mens-basketball/roster/chris-mitchell/4103,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2025.html,8.25015997059053,False,True
