side,player_name,season,team,source_level,target_conference,destination_school
source,E.J. Anosike,2020-21,Tennessee,D1,Big West,Cal State Fullerton
source,Hamad Mousa,2024-25,Dayton,D1,Big West,Cal Poly
source,"Larry Hughes, Jr.",2024-25,Saint Louis,D1,Big West,Cal State Northridge
source,"Marcus Adams, Jr.",2023-24,Brigham Young,D1,Big West,Cal State Northridge
source,Devin Askew,2023-24,California,D1,Big West,Long Beach State
source,Justin McKoy,2022-23,North Carolina,D1,Big West,Hawaii
source,Lassina Traoré,2021-22,Saint Louis,D1,Big West,Long Beach State
source,Chris Howell,2023-24,Saint Mary's,D1,Big West,UC San Diego
source,Isaac Johnson,2024-25,Utah State,D1,Big West,Hawaii
source,Derin Saran,2024-25,Stanford,D1,Big West,UC Irvine
source,Marcus Wilson,2024-25,Washington State,D1,Big West,UC Davis
source,Kamaka Hepa,2020-21,Texas,D1,Big West,Hawaii
source,DeSean Allen-Eikens,2021-22,New Orleans,D1,Big West,Cal State Northridge
source,Yohan Traore,2022-23,Auburn,D1,Big West,UC Santa Barbara
source,Trevon Taylor,2020-21,James Madison,D1,Big West,Cal Poly
source,Ty Johnson,2021-22,Loyola Chicago,D1,Big West,UC Davis
target,J.P. Moorman II,2021-22,UC Riverside,D1,Big West,UC Riverside
source,Kyle Owens,2021-22,Montana,D1,Big West,UC Riverside
source,Dre Bullock,2024-25,South Dakota,D1,Big West,Hawaii
source,Harrison Carrington,2024-25,Colorado,D1,Big West,UC Irvine
source,Dionte Bostick,2021-22,Murray State,D1,Big West,Cal State Northridge
source,Onyi Eyisi,2020-21,Fordham,D1,Big West,Cal State Northridge
source,Jarred Hyder,2021-22,California,D1,Big West,Cal Poly
source,Jordan Brinson,2022-23,Fresno State,D1,Big West,Cal State Northridge
source,Colin Smith,2023-24,Vanderbilt,D1,Big West,UC Santa Barbara
source,Kyle Evans,2023-24,Colorado State,D1,Big West,UC Irvine
source,Justin Rochelin,2023-24,Oregon State,D1,Big West,UC San Diego
source,B.J. Kolly,2024-25,Montana State,D1,Big West,UC Riverside
source,Derrick Michael Xzavierro,2023-24,GCU,D1,Big West,Long Beach State
target,Jacob Davison,2021-22,Cal Poly,D1,Big West,Cal Poly
source,Luke Turner,2021-22,Wofford,D1,Big West,UC Riverside
source,Emmanuel Tshimanga,2021-22,UC Irvine,D1,Big West,UC San Diego
source,Max Murrell,2023-24,Stanford,D1,Big West,UC Santa Barbara
source,A.J. George,2024-25,SMU,D1,Big West,Cal State Bakersfield
source,Modestas Kancleris,2021-22,Creighton,D1,Big West,Cal State Bakersfield
target,Modestas Kancleris,2022-23,Cal State Bakersfield,D1,Big West,Cal State Bakersfield
source,Kobe Young,2023-24,Boise State,D1,Big West,Cal State Fullerton
source,"Pierre Geneste, Jr.",2024-25,Fresno State,D1,Big West,Cal State Bakersfield
source,Julien Franklin,2020-21,Oregon State,D1,Big West,Cal Poly
target,Yacine Toumi,2025-26,Hawaii,D1,Big West,Hawaii
source,Rikus Schulte,2023-24,Davidson,D1,Big West,UC Riverside
source,Christian Gray,2020-21,Fresno State,D1,Big West,Cal State Northridge
source,Ryan Rapp,2021-22,Washington State,D1,Big West,Hawaii
target,Ryan Rapp,2022-23,Hawaii,D1,Big West,Hawaii
source,Luka Tarlać,2023-24,Utah,D1,Big West,Cal Poly
source,"Shay Johnson, Jr.",2024-25,San Diego State,D1,Big West,Long Beach State
source,Jasman Sangha,2022-23,Texas A&M–Corpus Christi,D1,Big West,Cal State Northridge
source,Kaleb Brown,2023-24,Missouri,D1,Big West,Cal State Fullerton
source,Dearon Tucker,2021-22,Indiana State,D1,Big West,Cal State Northridge
source,Aleks Szymczyk,2024-25,Charlotte,D1,Big West,Cal State Northridge
target,Aleks Szymczyk,2025-26,Cal State Northridge,D1,Big West,Cal State Northridge
target,Judson Martindale,2024-25,Cal State Northridge,D1,Big West,Cal State Northridge
source,Paul Bizimana,2022-23,Eastern Illinois,D1,Big West,Cal Poly
target,Lathaniel Bastian,2022-23,Cal State Fullerton,D2,Big West,Cal State Fullerton
target,Miloš Vićentić,2024-25,UC San Diego,D2,Big West,UC San Diego
target,Caleb McCarty,2025-26,Cal State Bakersfield,D1,Big West,Cal State Bakersfield
target,Kieran Elliott,2024-25,Cal Poly,D2,Big West,Cal Poly
target,Jalen Cooper,2023-24,Cal State Fullerton,D2,Big West,Cal State Fullerton
target,Ethan Menzies,2024-25,Cal Poly,D2,Big West,Cal Poly
source,Ben Shtolzberg,2022-23,Creighton,D1,Big West,UC Santa Barbara
target,Denzel Hines,2025-26,UC Riverside,D1,Big West,UC Riverside
source,Jared Barnett,2022-23,San Diego State,D1,Big West,Cal State Northridge
source,Isaac Spears,2021-22,Montana State,D1,Big West,Cal Poly
target,Isaac Spears,2022-23,Cal Poly,D1,Big West,Cal Poly
target,Dylan Godfrey,2025-26,UC Riverside,D1,Big West,UC Riverside
target,Jerome Palm,2024-25,Hawaii,D1,Big West,Hawaii
target,Jalen Myers,2025-26,Hawaii,D1,Big West,Hawaii
target,Sydney Shipp,2023-24,Cal State Fullerton,D2,Big West,Cal State Fullerton
source,Festus Ndumanya,2023-24,Southern,D1,Big West,Cal State Northridge
target,Festus Ndumanya,2024-25,Cal State Northridge,D1,Big West,Cal State Northridge
source,Derek Sangster,2023-24,Princeton,D1,Big West,UC Davis
