target_conference,player_name,source_school,source_conference,source_level,destination_school,first_big_west_season,height_in,weight_lbs,position,position_bucket,height_bucket,source_role_bucket,source_games,source_mpg,source_ppg,source_rpg,source_apg,source_conf_power,destination_conf_power,conf_power_delta,source_team_power,destination_team_power,team_power_delta,seasons_played_before_transfer,source_class
Big West,Joel Murray,West Texas A&M,LSC,D2,Long Beach State,2021-22,72.0,170.0,G,guard,small_guard,high_usage_role,22,35.45454545454545,23.318181818181817,6.181818181818182,4.181818181818182,13.24,28.77,15.53,,30.39,,3.0,JR
Big West,Petar Majstorović,Syracuse,ACC,D1,Long Beach State,2025-26,80.0,215.0,F,forward,forward,rotation,31,13.3,2.6,3.2,0.7,40.65,29.37,-11.279999999999998,37.59,26.2,-11.390000000000004,,unknown
Big West,Lassina Traoré,Saint Louis,Atlantic 10,D1,Long Beach State,2022-23,81.0,245.0,F,forward,forward,bench,19,7.8,2.4,2.9,0.3,35.45,29.79,-5.660000000000004,39.92,30.99,-8.930000000000003,,unknown
Big West,Tanner Christensen,Utah Tech,WAC,D1,Hawaii,2024-25,82.0,260.0,F,forward,big_forward,high_usage_role,31,30.3,11.5,6.8,2.0,31.41,30.41,-1.0,26.28,29.67,3.390000000000001,,unknown
Big West,T.J. Wainwright,Robert Morris,Horizon,D1,Long Beach State,2024-25,75.0,180.0,G,guard,wing_guard,starter,27,22.6,10.0,2.1,1.4,27.17,30.41,3.2399999999999984,24.36,26.72,2.359999999999999,,unknown
Big West,Josh O'Garro,Texas State,Sun Belt,D1,Cal State Northridge,2025-26,78.0,175.0,G,guard,wing_guard,high_usage_role,32,30.1,9.6,7.0,1.6,29.29,29.37,0.0800000000000018,30.35,29.25,-1.1000000000000014,,unknown
Big West,Ty Johnson,Loyola Chicago,Atlantic 10,D1,UC Davis,2022-23,75.0,190.0,G,guard,wing_guard,bench,13,4.0,0.8,0.5,0.3,35.45,29.79,-5.660000000000004,42.66,30.86,-11.799999999999995,,unknown
Big West,Dailin Smith,Alabama A&M,SWAC,D1,Cal State Bakersfield,2025-26,78.0,195.0,G,guard,wing_guard,starter,28,24.6,10.5,2.6,1.1,21.82,29.37,7.550000000000001,21.06,22.12,1.0600000000000025,,unknown
Big West,Dre Bullock,South Dakota,Summit League,D1,Hawaii,2025-26,78.0,190.0,G,guard,wing_guard,starter,30,22.8,12.1,3.6,1.6,28.72,29.37,0.6500000000000021,26.86,33.4,6.539999999999999,,unknown
Big West,Ronald Jessamy,Tennessee State,Ohio Valley,D1,Cal State Bakersfield,2025-26,80.0,220.0,F,forward,forward,rotation,26,18.7,8.9,5.8,0.7,24.35,29.37,5.02,26.17,22.12,-4.050000000000001,,unknown
Big West,Marcus Tsohonis,VCU,Atlantic 10,D1,Long Beach State,2022-23,75.0,190.0,G,guard,wing_guard,rotation,29,14.4,5.1,1.7,1.1,35.45,29.79,-5.660000000000004,41.23,30.99,-10.239999999999998,,unknown
Big West,B.J. Kolly,Montana State,Big Sky,D1,UC Riverside,2025-26,80.0,200.0,F,forward,forward,bench,24,8.6,2.3,1.5,0.6,28.35,29.37,1.0199999999999996,30.1,26.75,-3.3500000000000014,,unknown
