column,non_null,missing,coverage_pct,kind
height_in,502,0,100.0,feature
weight_lbs,502,0,100.0,feature
position,502,0,100.0,feature
position_bucket,502,0,100.0,feature
height_bucket,502,0,100.0,feature
source_role_bucket,502,0,100.0,feature
source_games,502,0,100.0,feature
source_mpg,502,0,100.0,feature
source_ppg,502,0,100.0,feature
source_rpg,502,0,100.0,feature
source_apg,502,0,100.0,feature
source_conf_power,502,0,100.0,feature
destination_conf_power,502,0,100.0,feature
conf_power_delta,502,0,100.0,feature
source_team_power,501,1,99.800796812749,feature
destination_team_power,502,0,100.0,feature
team_power_delta,501,1,99.800796812749,feature
seasons_played_before_transfer,469,33,93.42629482071713,feature
source_class,502,0,100.0,feature
big_west_bpr,379,123,75.4980079681275,target
big_west_obpr,379,123,75.4980079681275,target
big_west_dbpr,379,123,75.4980079681275,target
big_west_bpm,502,0,100.0,target
target_porpag,486,16,96.81274900398407,target
target_barttorvik_bpm,485,17,96.61354581673307,target
